ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.043195,-0.034427,0.179197,-0.047492,-0.321797,-0.023994,-0.082034,0.093205,-0.992262
-0.059252,-0.054378,0.201711,-0.269951,-0.390542,-0.122396,-0.085737,0.094662,-0.991811
-0.062701,-0.057118,0.166317,-0.572744,-0.305211,-0.197411,-0.089490,0.098698,-0.991085
-0.053917,-0.042182,0.084979,-0.871199,-0.045428,-0.192551,-0.091515,0.105720,-0.990176
-0.041275,-0.024367,0.007617,-1.133248,0.212893,-0.142980,-0.090820,0.115569,-0.989139
-0.020215,-0.028096,-0.000992,-1.316286,0.402801,-0.065633,-0.087833,0.127706,-0.987915
0.003033,-0.031875,0.034733,-1.472111,0.413134,0.032597,-0.083661,0.141525,-0.986393
0.012456,-0.038434,0.118131,-1.710496,0.211831,0.092499,-0.080358,0.157270,-0.984281
0.018273,-0.048195,0.196965,-2.111917,-0.102996,0.069938,-0.079629,0.176110,-0.981144
0.040406,-0.093856,0.205081,-2.687417,-0.486094,-0.014050,-0.082505,0.199676,-0.976382
-0.000417,-0.101219,0.100852,-3.345394,-0.650791,-0.165009,-0.088374,0.229103,-0.969382
-0.091335,0.007165,-0.206750,-3.859132,-0.840079,-0.335641,-0.096134,0.264045,-0.959708
-0.183835,0.183807,-0.590186,-3.836748,-0.934128,-0.564114,-0.106113,0.300904,-0.947732
-0.237960,0.449634,-1.196432,-2.958424,-0.882996,-0.769762,-0.116929,0.332960,-0.935663
-0.216692,0.677490,-1.922818,-1.035560,-0.580530,-0.834456,-0.126753,0.351212,-0.927677
-0.133057,0.824325,-2.542268,1.450912,-0.082062,-0.638694,-0.132614,0.348404,-0.927916
0.019406,1.033970,-2.858553,3.807204,0.625126,-0.150078,-0.131665,0.322964,-0.937208
0.133246,1.200245,-2.830451,5.598651,1.586484,0.593285,-0.120596,0.278103,-0.952951
0.105372,1.249354,-2.387195,6.632747,2.547986,1.262632,-0.098262,0.219488,-0.970654
-0.087529,1.157197,-1.577145,6.857284,3.373585,1.440338,-0.066295,0.153716,-0.985889
-0.305803,0.915962,-0.569321,6.481536,3.608190,1.161398,-0.029448,0.087701,-0.995712
-0.359987,0.527711,0.512512,5.994046,3.305550,0.727049,0.006090,0.025191,-0.999664
-0.271996,0.084112,1.367071,5.574818,2.659069,0.413539,0.036186,-0.032995,-0.998800
-0.150020,-0.101129,2.012363,5.206370,1.602519,0.347154,0.057735,-0.087271,-0.994510
-0.043559,-0.074473,2.692557,4.554885,-0.027784,0.480379,0.065334,-0.136479,-0.988486
0.045375,-0.042846,3.225502,3.391147,-1.501199,0.703129,0.056386,-0.176560,-0.982673
0.042997,-0.055100,3.239244,1.760877,-1.837624,0.860084,0.037661,-0.202620,-0.978533
-0.074829,-0.115428,2.827169,-0.315364,-1.263452,0.773475,0.020248,-0.210179,-0.977453
-0.184223,-0.222536,2.448865,-2.379156,-0.487531,0.526605,0.010456,-0.196790,-0.980390
-0.257400,-0.222874,2.174754,-3.861721,-0.227646,0.244700,0.006607,-0.165508,-0.986186
-0.293120,-0.080343,1.945053,-4.641134,-0.591480,-0.070866,0.002730,-0.122766,-0.992432
-0.262460,0.064291,1.606981,-4.745838,-1.219393,-0.315781,-0.006140,-0.075415,-0.997133
-0.242928,0.172787,1.076161,-4.331312,-1.666820,-0.477563,-0.020622,-0.029644,-0.999348
-0.226585,0.279653,0.452194,-3.671628,-1.754988,-0.533425,-0.038017,0.010508,-0.999222
-0.193565,0.361531,-0.090561,-3.042931,-1.552508,-0.534314,-0.054894,0.043880,-0.997528
-0.140000,0.369159,-0.453703,-2.635576,-1.233573,-0.531284,-0.069213,0.071835,-0.995012
-0.092348,0.371718,-0.656591,-2.419601,-0.852065,-0.541757,-0.080107,0.096636,-0.992091
-0.043278,0.381786,-0.790955,-2.202612,-0.488425,-0.509993,-0.087337,0.119267,-0.989013
0.014796,0.349459,-0.872153,-1.894227,-0.170011,-0.434276,-0.091212,0.139250,-0.986048
0.062498,0.292702,-0.901252,-1.494348,0.107246,-0.322049,-0.092070,0.155739,-0.983498
0.083764,0.231482,-0.888747,-1.057785,0.354281,-0.199033,-0.090203,0.168130,-0.981629
0.087292,0.161489,-0.834270,-0.638707,0.535776,-0.064976,-0.085980,0.176356,-0.980564
0.060509,0.126208,-0.721552,-0.286076,0.565094,0.070107,-0.080422,0.180860,-0.980215
0.030929,0.106963,-0.548742,-0.045108,0.446109,0.161685,-0.075164,0.182512,-0.980326
0.004618,0.051286,-0.391569,0.081491,0.321473,0.169957,-0.071085,0.182387,-0.980654
-0.034120,-0.012289,-0.304351,0.123674,0.205214,0.094394,-0.068221,0.181433,-0.981034
-0.061360,-0.061913,-0.238459,0.160712,0.093976,-0.024035,-0.066677,0.180077,-0.981390
-0.072389,-0.095606,-0.187385,0.234193,-0.048206,-0.162139,-0.066573,0.178095,-0.981759
-0.070070,-0.111346,-0.134137,0.337281,-0.202672,-0.295339,-0.068206,0.175128,-0.982180
-0.059580,-0.106937,-0.089431,0.471105,-0.355534,-0.410949,-0.071615,0.170902,-0.982682
