ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.002429,0.003256,-0.058893,-0.120089,-0.234577,-0.010885,-0.020846,-0.011587,-0.999716
0.001863,0.003962,-0.052531,-0.190475,-0.188759,0.018153,-0.023011,-0.010050,-0.999685
-0.001720,0.008593,-0.047118,-0.277305,-0.141716,0.047001,-0.024678,-0.007693,-0.999666
-0.004652,0.010769,-0.040201,-0.352164,-0.090035,0.045957,-0.025866,-0.004482,-0.999655
0.000645,-0.008652,-0.056044,-0.353681,-0.022684,0.044611,-0.026417,-0.000869,-0.999651
-0.003564,-0.015557,-0.083528,-0.284406,0.019159,0.027435,-0.026419,0.002389,-0.999648
-0.007780,-0.015368,-0.095934,-0.161355,0.030119,-0.005531,-0.026140,0.004656,-0.999647
0.000365,-0.019421,-0.088935,-0.030692,-0.040169,-0.018668,-0.026138,0.005597,-0.999643
0.004665,-0.009013,-0.055665,0.044422,-0.153921,-0.021644,-0.027110,0.005473,-0.999617
0.008633,0.007355,-0.033551,0.038878,-0.259206,-0.018364,-0.029202,0.005005,-0.999561
0.013776,0.004026,-0.034267,-0.039902,-0.328594,-0.015901,-0.032178,0.004962,-0.999470
0.004209,-0.005322,-0.044085,-0.205007,-0.387596,-0.018179,-0.035764,0.006131,-0.999341
-0.004309,0.002225,-0.042454,-0.432382,-0.438617,-0.016344,-0.039987,0.009311,-0.999157
-0.016343,-0.001248,-0.067059,-0.704813,-0.504736,-0.024964,-0.044677,0.014966,-0.998889
-0.035032,0.003580,-0.107499,-1.017522,-0.535567,-0.060886,-0.049929,0.023626,-0.998473
-0.031962,0.008632,-0.228197,-1.195724,-0.523171,-0.127193,-0.055303,0.034825,-0.997862
-0.039591,-0.002733,-0.411765,-1.094819,-0.414010,-0.214007,-0.060156,0.046419,-0.997109
-0.058223,0.026699,-0.617005,-0.706171,-0.260679,-0.261431,-0.063695,0.055424,-0.996429
-0.060043,0.103315,-0.773488,-0.136327,-0.120442,-0.280367,-0.065705,0.059589,-0.996058
-0.034253,0.176299,-0.875119,0.634126,-0.001033,-0.247531,-0.066455,0.057039,-0.996158
-0.015946,0.243907,-0.967097,1.628531,0.177594,-0.161551,-0.065796,0.045705,-0.996786
-0.014264,0.280314,-1.074372,2.773945,0.508443,-0.061930,-0.062427,0.023565,-0.997771
-0.010140,0.310761,-1.078442,3.821608,0.770642,0.054530,-0.055961,-0.009674,-0.998386
0.010308,0.348820,-0.903463,4.638770,0.975085,0.222163,-0.047127,-0.052234,-0.997522
-0.017627,0.381652,-0.634522,5.106347,1.017401,0.328154,-0.037290,-0.101165,-0.994171
-0.063340,0.379665,-0.262964,5.164401,0.918504,0.354761,-0.028014,-0.152507,-0.987905
-0.106980,0.356835,0.095901,4.865704,0.738554,0.312232,-0.020370,-0.202233,-0.979126
-0.133905,0.264567,0.416632,4.267804,0.459929,0.144052,-0.015021,-0.247080,-0.968879
-0.139481,0.104385,0.697237,3.483737,0.202076,-0.126518,-0.011901,-0.284698,-0.958543
-0.110222,-0.040277,0.873099,2.620291,0.112927,-0.384463,-0.009727,-0.314031,-0.949363
-0.085896,-0.100577,0.943909,1.778994,0.194118,-0.524086,-0.006832,-0.334939,-0.942215
-0.055089,-0.080276,0.955110,1.072593,0.334091,-0.540235,-0.002482,-0.348344,-0.937364
-0.036160,-0.021495,0.977925,0.493071,0.483440,-0.444424,0.003155,-0.355672,-0.934606
-0.013185,0.043313,1.016550,-0.058576,0.594120,-0.273562,0.009523,-0.357705,-0.933786
0.013324,0.070929,1.066508,-0.621767,0.669009,-0.115499,0.016186,-0.354498,-0.934917
0.021951,0.039858,1.109819,-1.181264,0.682667,-0.038081,0.022819,-0.345994,-0.937959
0.009280,-0.020352,1.144702,-1.732222,0.566088,-0.070720,0.029019,-0.332187,-0.942767
0.013598,-0.068288,1.153451,-2.160314,0.278979,-0.143153,0.033445,-0.313502,-0.948999
0.015268,-0.059441,1.082510,-2.336568,-0.028112,-0.190127,0.035147,-0.291755,-0.955847
-0.010754,-0.002348,0.939327,-2.367420,-0.352122,-0.217559,0.033932,-0.268968,-0.962551
-0.016336,0.045623,0.812738,-2.409625,-0.727507,-0.226138,0.029290,-0.245727,-0.968897
-0.012604,0.104998,0.678506,-2.487818,-1.002900,-0.200933,0.021210,-0.221728,-0.974878
-0.018083,0.172973,0.472933,-2.558703,-1.104121,-0.148263,0.011141,-0.196884,-0.980364
-0.024530,0.215101,0.240079,-2.577115,-1.018427,-0.108749,0.000741,-0.171430,-0.985196
-0.019463,0.225858,-0.003276,-2.509834,-0.711062,-0.070204,-0.007805,-0.146146,-0.989232
-0.004393,0.214708,-0.220981,-2.375835,-0.347360,-0.027371,-0.012986,-0.121766,-0.992474
0.018324,0.195025,-0.331325,-2.192867,-0.062369,0.022859,-0.014967,-0.098909,-0.994984
0.041749,0.174072,-0.360303,-1.981574,0.082582,0.066144,-0.014817,-0.077987,-0.996844
0.053554,0.162048,-0.349340,-1.755633,0.123997,0.095772,-0.013805,-0.059234,-0.998149
0.051232,0.157313,-0.341874,-1.532366,0.120419,0.103054,-0.012597,-0.042719,-0.999008
