ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.050558,-0.047884,0.005975,-0.237462,0.154920,0.080764,-0.042719,0.146380,-0.988306
-0.057792,-0.053183,0.021760,-0.459617,0.243945,0.004490,-0.040658,0.149863,-0.987870
-0.046336,-0.058396,0.019691,-0.628881,0.264565,-0.070511,-0.038121,0.155320,-0.987128
-0.022822,-0.047251,0.004749,-0.630752,0.210668,-0.102531,-0.035878,0.161661,-0.986194
-0.010545,-0.021116,-0.006045,-0.446088,0.124571,-0.114120,-0.034377,0.167052,-0.985349
0.006551,-0.005822,-0.009504,-0.180731,-0.021621,-0.104519,-0.034017,0.170129,-0.984834
0.020523,0.003549,0.008524,0.043342,-0.188085,-0.076509,-0.035218,0.170722,-0.984690
0.027532,0.016617,0.018075,0.137785,-0.309907,-0.042835,-0.037832,0.169723,-0.984765
0.027921,0.027392,0.006179,0.099179,-0.337039,-0.011487,-0.041150,0.168470,-0.984847
0.018922,0.024555,-0.018495,-0.043301,-0.286925,0.019088,-0.044251,0.168133,-0.984771
0.001846,0.012202,-0.033077,-0.276564,-0.201287,0.021054,-0.046646,0.169683,-0.984394
-0.005049,-0.006325,-0.046347,-0.556222,-0.107655,0.023858,-0.048128,0.173790,-0.983606
-0.003398,-0.025836,-0.067858,-0.856558,-0.035530,0.032116,-0.048757,0.180789,-0.982313
0.001344,-0.040870,-0.127539,-1.129194,-0.050448,0.026231,-0.049104,0.190635,-0.980432
0.020557,-0.032805,-0.212713,-1.291881,-0.077141,0.043000,-0.049655,0.202651,-0.977991
0.028706,0.015779,-0.329299,-1.378521,-0.191568,0.073290,-0.050755,0.215819,-0.975113
0.016177,0.109581,-0.428842,-1.457753,-0.419814,0.104509,-0.053531,0.229744,-0.971778
0.007992,0.230147,-0.555270,-1.538094,-0.628497,0.142450,-0.058376,0.244432,-0.967908
-0.013890,0.353546,-0.723677,-1.532333,-0.774933,0.178593,-0.064861,0.259552,-0.963548
-0.020951,0.392284,-0.940473,-1.202166,-0.648406,0.200719,-0.071426,0.273183,-0.959307
-0.034777,0.343930,-1.213623,-0.364857,-0.193424,0.222388,-0.075071,0.281192,-0.956711
-0.063925,0.293940,-1.379248,0.832530,0.375098,0.205041,-0.073526,0.279226,-0.957406
-0.075429,0.263143,-1.352477,2.115083,0.678320,0.190593,-0.067668,0.265116,-0.961839
-0.068431,0.272289,-1.091229,3.281672,0.602728,0.196355,-0.060765,0.238926,-0.969135
-0.060139,0.295822,-0.714928,4.249380,0.377351,0.187093,-0.055507,0.202027,-0.977806
-0.094539,0.302690,-0.355341,4.920330,0.092331,0.120756,-0.052891,0.156615,-0.986242
-0.140851,0.269654,-0.011663,5.277696,-0.155980,-0.030817,-0.053180,0.105697,-0.992975
-0.163526,0.218320,0.276805,5.350131,-0.375242,-0.242653,-0.055956,0.052249,-0.997065
-0.163609,0.146419,0.528150,5.160977,-0.491454,-0.470600,-0.060527,-0.000850,-0.998166
-0.139053,0.085912,0.706247,4.771003,-0.404367,-0.639803,-0.064957,-0.051152,-0.996576
-0.105815,0.084847,0.849730,4.197263,-0.223646,-0.722122,-0.067616,-0.096580,-0.993026
-0.053888,0.104860,0.989506,3.508947,-0.026157,-0.747503,-0.068015,-0.135515,-0.988438
-0.001492,0.107002,1.119222,2.794240,0.129239,-0.739953,-0.066303,-0.167274,-0.983679
0.068143,0.087253,1.242113,2.120601,0.143628,-0.704706,-0.063535,-0.191973,-0.979341
0.137706,0.061640,1.362266,1.507333,0.002273,-0.604791,-0.061427,-0.210184,-0.975730
0.186474,0.073089,1.435891,0.942149,-0.233712,-0.442262,-0.061337,-0.222502,-0.973001
0.216984,0.112568,1.457741,0.396826,-0.511968,-0.261066,-0.064182,-0.229267,-0.971245
0.233317,0.120507,1.420571,-0.113425,-0.743385,-0.111633,-0.069957,-0.230736,-0.970498
0.218580,0.093721,1.313620,-0.551160,-0.841207,0.020339,-0.077650,-0.227495,-0.970678
0.193706,0.079639,1.178077,-1.001397,-0.849410,0.170467,-0.086163,-0.219867,-0.971717
0.164896,0.098069,1.043948,-1.525591,-0.799041,0.327777,-0.094827,-0.207321,-0.973666
0.138646,0.102940,0.883595,-2.114549,-0.570998,0.496149,-0.102482,-0.189091,-0.976597
0.112977,0.107332,0.674611,-2.754220,-0.217143,0.674957,-0.107422,-0.164537,-0.980504
0.091807,0.121898,0.488214,-3.384793,0.187046,0.819989,-0.108744,-0.133342,-0.985086
0.078804,0.112495,0.310395,-3.923438,0.585651,0.901230,-0.105858,-0.096046,-0.989732
0.058061,0.099349,0.149431,-4.291758,0.847929,0.906103,-0.099290,-0.053985,-0.993593
0.051452,0.079219,0.008658,-4.339112,0.926217,0.878273,-0.090590,-0.009700,-0.995841
0.011799,0.083876,-0.117884,-3.994695,0.994959,0.762504,-0.080906,0.033006,-0.996175
-0.018918,0.087289,-0.264528,-3.367076,1.006211,0.583052,-0.070423,0.070488,-0.995024
-0.034836,0.092344,-0.344719,-2.683806,0.847109,0.413519,-0.060623,0.101031,-0.993035
