ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.037111,-0.057610,0.076324,0.114946,0.014921,0.036039,-0.022414,0.032952,-0.999206
-0.034870,-0.062858,0.062548,0.076507,0.012513,-0.005209,-0.022274,0.032020,-0.999239
-0.030264,-0.070810,0.059476,0.076885,0.002468,-0.035650,-0.022196,0.031275,-0.999264
-0.025452,-0.070184,0.063437,0.091322,-0.019127,-0.060549,-0.022277,0.030405,-0.999289
-0.019813,-0.059121,0.080133,0.083187,-0.059346,-0.070451,-0.022683,0.029489,-0.999308
-0.013148,-0.047440,0.094981,0.025757,-0.078035,-0.071737,-0.023412,0.028901,-0.999308
-0.013831,-0.043585,0.089569,-0.095987,-0.057565,-0.075712,-0.024133,0.029196,-0.999282
-0.023355,-0.032362,0.077071,-0.259153,-0.016068,-0.081351,-0.024527,0.030944,-0.999220
-0.027848,-0.022974,0.063609,-0.411436,0.019346,-0.091069,-0.024536,0.034311,-0.999110
-0.021920,-0.031067,0.040735,-0.530489,0.025316,-0.115931,-0.024329,0.039048,-0.998941
-0.008470,-0.046793,0.002950,-0.591455,0.019267,-0.158210,-0.024153,0.044703,-0.998708
0.003656,-0.053056,-0.051026,-0.578747,-0.014596,-0.197307,-0.024194,0.050570,-0.998427
0.010205,-0.041891,-0.104286,-0.534341,-0.078944,-0.244012,-0.024777,0.056128,-0.998116
0.015234,-0.005936,-0.180747,-0.446830,-0.146332,-0.257252,-0.026053,0.061021,-0.997796
0.024996,0.040227,-0.273414,-0.355202,-0.239687,-0.212850,-0.028124,0.064967,-0.997491
0.035263,0.081717,-0.361305,-0.311701,-0.319448,-0.143593,-0.031082,0.068231,-0.997185
0.041652,0.107663,-0.469699,-0.315862,-0.370819,-0.077368,-0.034617,0.071307,-0.996853
0.031014,0.116821,-0.593944,-0.306460,-0.374313,-0.076680,-0.038522,0.074463,-0.996479
-0.004849,0.149902,-0.776243,-0.104340,-0.220917,-0.132948,-0.041675,0.076645,-0.996187
-0.032717,0.218510,-1.008645,0.379518,0.043789,-0.207735,-0.042738,0.075390,-0.996238
-0.031403,0.274433,-1.193480,1.171808,0.392485,-0.205862,-0.040756,0.067700,-0.996873
-0.012289,0.314648,-1.289243,2.147342,0.744334,-0.118832,-0.035105,0.051029,-0.998080
0.010115,0.349422,-1.221598,3.024593,0.906819,0.006781,-0.026686,0.024892,-0.999334
0.020953,0.389269,-0.971227,3.648003,0.965768,0.146721,-0.017321,-0.008776,-0.999811
0.003475,0.397687,-0.737225,4.043416,1.079862,0.259822,-0.007152,-0.047543,-0.998844
-0.039458,0.370881,-0.530061,4.204072,1.229818,0.282493,0.004272,-0.089066,-0.996017
-0.102611,0.331827,-0.277897,4.166177,1.324757,0.212124,0.016796,-0.131021,-0.991237
-0.143773,0.275391,-0.002484,4.031791,1.259341,0.109549,0.029545,-0.171829,-0.984684
-0.152219,0.220403,0.311833,3.858807,0.994400,-0.008957,0.040646,-0.210775,-0.976689
-0.138822,0.175726,0.588972,3.688391,0.716566,-0.095201,0.049085,-0.247655,-0.967604
-0.133405,0.144552,0.767509,3.430538,0.584727,-0.149044,0.055616,-0.282155,-0.957755
-0.147523,0.102923,0.898395,2.996458,0.569458,-0.170334,0.061585,-0.312944,-0.947773
-0.145864,0.066932,1.030191,2.435408,0.567183,-0.190517,0.067556,-0.338645,-0.938486
-0.137340,0.036381,1.157559,1.793865,0.597396,-0.205760,0.073727,-0.358418,-0.930646
-0.140317,0.050016,1.247199,1.102050,0.651300,-0.215373,0.080304,-0.371778,-0.924842
-0.110064,0.065666,1.304327,0.426775,0.702849,-0.170623,0.087374,-0.378684,-0.921392
-0.076873,0.066536,1.346295,-0.196818,0.672082,-0.092028,0.094314,-0.379600,-0.920331
-0.046407,0.073248,1.395172,-0.772973,0.494577,-0.038835,0.100057,-0.375021,-0.921601
-0.026879,0.081404,1.416653,-1.258512,0.209270,0.002874,0.103417,-0.365507,-0.925046
-0.003018,0.077839,1.379042,-1.611124,-0.146328,0.069557,0.103619,-0.352070,-0.930220
-0.003347,0.092422,1.280720,-1.831432,-0.502771,0.133916,0.100210,-0.335968,-0.936527
-0.014952,0.122452,1.145028,-2.020116,-0.851486,0.174291,0.093260,-0.317917,-0.943521
-0.019616,0.146053,0.996727,-2.251250,-1.141424,0.210478,0.083123,-0.297771,-0.951012
-0.023956,0.174627,0.819088,-2.519226,-1.305187,0.223966,0.070648,-0.275060,-0.958828
-0.028554,0.177235,0.612206,-2.819086,-1.313992,0.191437,0.057301,-0.249363,-0.966713
-0.030378,0.152569,0.397541,-3.095330,-1.169951,0.121552,0.044736,-0.220531,-0.974353
-0.025814,0.120256,0.174250,-3.261748,-0.959725,0.048586,0.034054,-0.189195,-0.981349
-0.026486,0.126008,-0.031821,-3.230386,-0.759468,-0.020087,0.025555,-0.156906,-0.987283
-0.019289,0.150463,-0.206395,-2.962274,-0.637490,-0.066971,0.018739,-0.125927,-0.991863
-0.003717,0.166411,-0.342178,-2.508832,-0.615435,-0.070354,0.012613,-0.098509,-0.995056
