ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.050039,-0.072384,0.115768,-0.024533,-0.269490,-0.131247,-0.020671,0.080182,-0.996566
-0.048545,-0.076501,0.078924,-0.193189,-0.124104,-0.156303,-0.022836,0.081216,-0.996435
-0.044076,-0.064870,0.030363,-0.393389,0.063001,-0.159060,-0.023261,0.084127,-0.996184
-0.041109,-0.041210,0.031141,-0.550987,0.218966,-0.143697,-0.021955,0.088863,-0.995802
-0.028212,-0.031527,0.052654,-0.655880,0.285608,-0.127465,-0.019472,0.094897,-0.995297
-0.009878,-0.027504,0.088316,-0.691894,0.234025,-0.114209,-0.016947,0.101678,-0.994673
0.009392,-0.025947,0.117327,-0.644533,0.097542,-0.111011,-0.015359,0.108390,-0.993990
0.018209,-0.026851,0.124340,-0.534160,-0.090750,-0.131224,-0.015447,0.114284,-0.993328
0.019014,-0.032317,0.120453,-0.421948,-0.303355,-0.157194,-0.017580,0.119018,-0.992736
0.017290,-0.035102,0.120209,-0.389126,-0.488622,-0.192957,-0.021776,0.122962,-0.992172
0.012984,-0.028985,0.106312,-0.495817,-0.611345,-0.224334,-0.027572,0.127236,-0.991489
0.009762,-0.019359,0.079100,-0.733304,-0.664844,-0.235683,-0.034314,0.133221,-0.990492
-0.001358,-0.017163,0.039934,-1.092390,-0.578172,-0.256352,-0.040940,0.142133,-0.989001
-0.018171,-0.019641,-0.051969,-1.551961,-0.369594,-0.264235,-0.046038,0.155139,-0.986819
-0.025498,-0.023478,-0.182600,-1.914400,-0.186850,-0.259635,-0.049209,0.172313,-0.983812
-0.017783,-0.012903,-0.311468,-2.022658,-0.042703,-0.253531,-0.050744,0.191767,-0.980128
-0.010090,0.014327,-0.438924,-1.920364,-0.077893,-0.245700,-0.051708,0.211152,-0.976085
-0.010782,0.091611,-0.537272,-1.641145,-0.262840,-0.258066,-0.053900,0.228565,-0.972036
-0.026124,0.191787,-0.686490,-1.129588,-0.444982,-0.329483,-0.058074,0.242112,-0.968509
-0.034041,0.287723,-0.959490,-0.234248,-0.544897,-0.442779,-0.063951,0.248791,-0.966444
-0.055564,0.413028,-1.314352,1.177482,-0.300567,-0.532507,-0.069528,0.244184,-0.967233
-0.054165,0.514345,-1.680486,2.900654,0.165015,-0.501599,-0.071415,0.223952,-0.971980
-0.035815,0.592405,-1.754782,4.367405,0.456928,-0.359570,-0.069196,0.187671,-0.979792
0.006361,0.673413,-1.542081,5.354816,0.788036,-0.076065,-0.063490,0.139118,-0.988238
0.002782,0.718948,-1.297053,5.881311,1.193896,0.235108,-0.053563,0.082841,-0.995122
-0.049736,0.710522,-0.979205,6.024188,1.593832,0.479115,-0.039329,0.023090,-0.998959
-0.131378,0.628736,-0.567570,5.866199,1.774901,0.539960,-0.022247,-0.036664,-0.999080
-0.210273,0.476625,-0.066695,5.443348,1.728332,0.370300,-0.004860,-0.093507,-0.995607
-0.274192,0.303452,0.385864,4.797109,1.463041,0.020609,0.010947,-0.144730,-0.989411
-0.270743,0.118128,0.781734,4.070874,1.116842,-0.365614,0.024039,-0.188669,-0.981746
-0.188763,-0.057487,1.045548,3.359062,0.930215,-0.616614,0.034955,-0.225029,-0.973725
-0.122548,-0.126876,1.144681,2.639172,1.047819,-0.654453,0.046041,-0.254059,-0.966092
-0.076374,-0.065031,1.218986,1.817429,1.276179,-0.521111,0.058826,-0.275408,-0.959526
-0.058488,0.007349,1.377249,0.870052,1.479681,-0.341572,0.073350,-0.288126,-0.954779
-0.046862,0.028870,1.536919,-0.095544,1.569466,-0.181691,0.088794,-0.291580,-0.952416
-0.059659,0.005863,1.653668,-0.895713,1.510643,-0.112569,0.104092,-0.286563,-0.952390
-0.053138,-0.074511,1.716799,-1.383415,1.103630,-0.161259,0.117255,-0.275250,-0.954195
-0.038942,-0.130027,1.750530,-1.425657,0.371623,-0.240544,0.125032,-0.261269,-0.957134
-0.043882,-0.113751,1.726244,-1.214191,-0.584289,-0.311094,0.124815,-0.248141,-0.960649
-0.051071,-0.073416,1.678721,-1.079252,-1.530880,-0.351622,0.115265,-0.236780,-0.964702
-0.067757,0.013874,1.548764,-1.329735,-2.169711,-0.293260,0.097817,-0.225010,-0.969434
-0.093370,0.154484,1.319819,-2.079776,-2.447023,-0.111114,0.075457,-0.208424,-0.975123
-0.114819,0.296762,1.044834,-3.130058,-2.296692,0.120822,0.051785,-0.182886,-0.981769
-0.124589,0.357873,0.682386,-4.095404,-1.729358,0.287712,0.031327,-0.146966,-0.988645
-0.138545,0.358735,0.304940,-4.812816,-0.997165,0.334652,0.017284,-0.102417,-0.994591
-0.134591,0.286878,0.014395,-5.175233,-0.363788,0.208266,0.010384,-0.052122,-0.998587
-0.098141,0.204274,-0.185872,-5.049900,-0.072530,-0.012455,0.008434,-0.000385,-0.999964
-0.070456,0.159952,-0.314261,-4.394133,-0.160443,-0.259168,0.007346,0.047400,-0.998849
-0.022765,0.160770,-0.390574,-3.423912,-0.480928,-0.479293,0.004027,0.086758,-0.996221
0.031877,0.207738,-0.437919,-2.387769,-0.988006,-0.608777,-0.003831,0.115810,-0.993264
