ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.006189,0.001265,0.032471,-0.006401,-0.032094,0.014577,-0.040747,0.013033,-0.999084
-0.010144,-0.002776,0.028905,-0.059249,0.002929,-0.002437,-0.040896,0.013350,-0.999074
-0.010851,-0.006608,0.019408,-0.100309,0.019547,-0.011118,-0.040770,0.014161,-0.999068
-0.009233,-0.006451,0.021339,-0.110470,0.023202,-0.013131,-0.040556,0.015240,-0.999061
-0.006694,-0.002416,0.020079,-0.091304,0.010974,-0.010659,-0.040379,0.016256,-0.999052
-0.002155,-0.001216,0.020707,-0.056706,-0.012019,-0.000831,-0.040386,0.017009,-0.999039
0.000071,-0.001957,0.022065,-0.033290,-0.026998,0.006946,-0.040583,0.017445,-0.999024
-0.001360,-0.004606,0.025950,-0.047402,-0.043570,0.008946,-0.040937,0.017821,-0.999003
-0.006117,-0.009074,0.034826,-0.116385,-0.056989,-0.000688,-0.041444,0.018611,-0.998967
-0.009586,-0.014269,0.038673,-0.230973,-0.059769,-0.028603,-0.042050,0.020312,-0.998909
-0.010018,-0.021186,0.031868,-0.372866,-0.061767,-0.053554,-0.042656,0.023322,-0.998818
-0.002293,-0.031276,0.025813,-0.521503,-0.106823,-0.077050,-0.043499,0.027766,-0.998668
-0.002509,-0.036853,0.028338,-0.695435,-0.184331,-0.102702,-0.044976,0.033832,-0.998415
-0.000438,-0.033287,0.016344,-0.867057,-0.317331,-0.118203,-0.047505,0.041634,-0.998003
0.009935,-0.023605,-0.035873,-0.978009,-0.466004,-0.135862,-0.051515,0.050873,-0.997376
0.004543,-0.008671,-0.154097,-1.009800,-0.612565,-0.186192,-0.057003,0.060780,-0.996522
0.005606,0.004884,-0.299017,-0.964502,-0.757581,-0.260756,-0.064031,0.070602,-0.995447
-0.026738,0.046813,-0.500995,-0.757487,-0.815524,-0.366153,-0.072200,0.079149,-0.994245
-0.059864,0.110447,-0.767764,-0.235459,-0.664319,-0.481076,-0.080120,0.084026,-0.993237
-0.063870,0.183013,-1.092887,0.661750,-0.331671,-0.526056,-0.085635,0.081667,-0.992974
-0.067934,0.276103,-1.334831,1.766193,0.100544,-0.484357,-0.087263,0.069157,-0.993782
-0.026683,0.366131,-1.427563,2.860015,0.601482,-0.313080,-0.083974,0.045566,-0.995426
-0.002619,0.427692,-1.367942,3.686064,1.090644,-0.042540,-0.075567,0.012433,-0.997063
0.014602,0.462422,-1.188449,4.237257,1.643957,0.327843,-0.061873,-0.027378,-0.997708
-0.007520,0.504724,-0.942131,4.526121,2.133783,0.689575,-0.043124,-0.071206,-0.996529
-0.051442,0.511840,-0.607476,4.580532,2.455728,0.960891,-0.020793,-0.116637,-0.992957
-0.115626,0.478620,-0.195052,4.419522,2.329705,1.091215,0.001978,-0.161451,-0.986879
-0.151870,0.401637,0.320476,4.156288,1.699004,1.048225,0.020171,-0.204036,-0.978756
-0.122261,0.246841,0.778425,3.820841,0.736215,0.839835,0.030098,-0.243377,-0.969465
-0.107503,0.049609,1.071382,3.451698,-0.195261,0.486910,0.030812,-0.278903,-0.959825
-0.107672,-0.101082,1.194304,2.985322,-0.706461,0.100306,0.025290,-0.309929,-0.950423
-0.116623,-0.149919,1.124799,2.435137,-0.707328,-0.152286,0.018417,-0.335753,-0.941770
-0.126624,-0.099812,1.027141,1.773967,-0.375667,-0.247326,0.013892,-0.355678,-0.934505
-0.117297,-0.029663,1.007432,0.931642,0.170056,-0.207298,0.013690,-0.368438,-0.929551
-0.100502,0.031130,1.016289,-0.040159,0.739206,-0.111714,0.018593,-0.372606,-0.927803
-0.082578,0.057108,1.070991,-0.933770,1.079210,-0.053741,0.027570,-0.367914,-0.929451
-0.061973,0.022730,1.140689,-1.488415,1.069310,-0.059638,0.038017,-0.356302,-0.933597
-0.057493,-0.011758,1.164451,-1.655487,0.819957,-0.116735,0.047315,-0.341270,-0.938774
-0.054910,-0.005918,1.122181,-1.586994,0.344912,-0.195291,0.053476,-0.325747,-0.943944
-0.044921,0.009438,1.080583,-1.443334,-0.276152,-0.274168,0.054580,-0.311196,-0.948777
-0.036735,0.035819,1.012485,-1.390958,-0.868044,-0.340813,0.049965,-0.297584,-0.953387
-0.055890,0.082255,0.873290,-1.533430,-1.233872,-0.400719,0.040768,-0.283472,-0.958113
-0.064784,0.140441,0.655665,-1.816929,-1.379990,-0.419489,0.029139,-0.267181,-0.963206
-0.059227,0.186297,0.426041,-2.091553,-1.298736,-0.386586,0.017036,-0.248049,-0.968598
-0.053832,0.208439,0.173995,-2.265136,-1.018263,-0.349821,0.006515,-0.226658,-0.973953
-0.032319,0.187998,-0.052825,-2.305345,-0.681978,-0.306035,-0.001113,-0.204126,-0.978944
-0.001079,0.160891,-0.197994,-2.236056,-0.400611,-0.246241,-0.005864,-0.181673,-0.983342
0.032201,0.141508,-0.275294,-2.096597,-0.219155,-0.180022,-0.008504,-0.160185,-0.987050
0.054281,0.129471,-0.313261,-1.891302,-0.153705,-0.115162,-0.010046,-0.140335,-0.990053
0.060065,0.122017,-0.328493,-1.630713,-0.180486,-0.072787,-0.011526,-0.122765,-0.992369
