ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.008645,-0.019598,0.019495,-0.011387,-0.013687,0.048164,-0.033515,0.121970,-0.991968
-0.016245,-0.026078,0.002208,0.001903,-0.024203,0.029944,-0.033666,0.122041,-0.991954
-0.020971,-0.037759,-0.003130,0.016295,-0.028800,0.014573,-0.033899,0.121958,-0.991956
-0.019356,-0.040666,-0.001816,0.033480,-0.043806,0.008418,-0.034248,0.121721,-0.991973
-0.010737,-0.041615,0.007877,0.052837,-0.070845,0.017166,-0.034810,0.121281,-0.992008
-0.006069,-0.045588,0.009585,0.030352,-0.068050,0.014155,-0.035512,0.120830,-0.992038
-0.009951,-0.051012,-0.000355,-0.041832,-0.033780,-0.007339,-0.036009,0.120868,-0.992015
-0.011146,-0.056805,-0.007356,-0.141946,-0.013270,-0.024801,-0.036263,0.121762,-0.991897
-0.017720,-0.052933,-0.007248,-0.251284,0.004002,-0.039857,-0.036358,0.123703,-0.991653
-0.020266,-0.034975,-0.018322,-0.343799,-0.006683,-0.037506,-0.036405,0.126681,-0.991275
-0.014120,-0.031145,-0.031283,-0.404198,-0.049025,-0.037209,-0.036722,0.130404,-0.990781
-0.014265,-0.045657,-0.054746,-0.460489,-0.108147,-0.064474,-0.037554,0.134692,-0.990176
-0.003274,-0.054153,-0.095960,-0.516242,-0.205188,-0.090148,-0.039176,0.139526,-0.989443
0.007863,-0.042703,-0.134906,-0.595434,-0.356810,-0.126433,-0.042119,0.144983,-0.988537
0.011407,-0.015266,-0.195618,-0.716830,-0.530804,-0.149467,-0.046701,0.151420,-0.987366
0.010740,0.032831,-0.276731,-0.823565,-0.721534,-0.127937,-0.053129,0.159033,-0.985843
0.007620,0.081357,-0.388699,-0.841331,-0.896367,-0.068364,-0.061331,0.167300,-0.983996
-0.009991,0.118995,-0.533364,-0.727055,-1.039957,-0.042455,-0.071003,0.175103,-0.981986
-0.052705,0.154057,-0.705453,-0.453216,-0.998514,-0.091167,-0.081374,0.181011,-0.980109
-0.081935,0.173831,-0.960104,0.061318,-0.739234,-0.160912,-0.090260,0.182966,-0.978967
-0.109864,0.199800,-1.176706,0.751874,-0.345941,-0.271519,-0.096069,0.178832,-0.979178
-0.106601,0.213769,-1.302316,1.497741,0.153216,-0.334935,-0.097592,0.167441,-0.981040
-0.088825,0.263440,-1.328263,2.186025,0.615187,-0.311173,-0.094235,0.148852,-0.984359
-0.089220,0.353630,-1.208472,2.756278,0.936852,-0.227255,-0.086836,0.124016,-0.988473
-0.075193,0.412728,-1.002415,3.222773,1.170769,-0.082523,-0.076480,0.094047,-0.992626
-0.067831,0.440962,-0.780780,3.580533,1.336647,0.075552,-0.063929,0.059954,-0.996152
-0.051445,0.426536,-0.557726,3.823253,1.473590,0.212210,-0.049721,0.022805,-0.998503
-0.065346,0.391396,-0.306728,3.904042,1.511121,0.291073,-0.034645,-0.016014,-0.999271
-0.102668,0.353681,0.014929,3.818203,1.425571,0.267111,-0.019921,-0.054822,-0.998297
-0.127333,0.294780,0.344145,3.611563,1.211047,0.183312,-0.006807,-0.092112,-0.995725
-0.126097,0.231719,0.638025,3.316738,1.014820,0.088886,0.004103,-0.126784,-0.991922
-0.099607,0.170681,0.814227,2.977418,0.948081,0.059412,0.013670,-0.158138,-0.987322
-0.061304,0.126345,0.899610,2.598609,1.052551,0.128415,0.023309,-0.185793,-0.982312
-0.031313,0.092248,0.947391,2.178708,1.269751,0.253930,0.034349,-0.209420,-0.977222
-0.032831,0.081817,1.027068,1.734352,1.402921,0.352297,0.046869,-0.228713,-0.972365
-0.054860,0.065514,1.180883,1.296207,1.305453,0.382884,0.059361,-0.243675,-0.968039
-0.075166,0.038822,1.377733,0.911623,0.902958,0.331418,0.069383,-0.254596,-0.964555
-0.069918,-0.007105,1.552809,0.614480,0.273629,0.196535,0.074481,-0.262121,-0.962157
-0.073398,-0.070473,1.644526,0.358591,-0.373708,-0.011287,0.073658,-0.266914,-0.960901
-0.099253,-0.095769,1.617925,0.037753,-0.833331,-0.240105,0.068064,-0.268794,-0.960790
-0.094142,-0.073942,1.511621,-0.361486,-1.118678,-0.406230,0.059397,-0.267061,-0.961847
-0.069427,-0.033804,1.379478,-0.826261,-1.206028,-0.452641,0.049178,-0.261102,-0.964058
-0.066568,0.023987,1.219279,-1.361340,-1.162562,-0.410566,0.038767,-0.250320,-0.967387
-0.053380,0.089122,1.074844,-1.905480,-1.084058,-0.318855,0.028722,-0.234233,-0.971756
-0.047922,0.143614,0.936738,-2.352194,-1.028024,-0.232273,0.018961,-0.213209,-0.976823
-0.047745,0.162152,0.764574,-2.622526,-0.908233,-0.153420,0.009781,-0.188565,-0.982012
-0.040285,0.167793,0.560482,-2.746262,-0.772522,-0.070096,0.001680,-0.161949,-0.986798
-0.023178,0.168740,0.377596,-2.824197,-0.552967,0.041317,-0.004975,-0.134224,-0.990938
-0.008992,0.171610,0.174480,-2.906772,-0.244469,0.180381,-0.009089,-0.105616,-0.994365
-0.000064,0.188151,0.007899,-2.990813,0.005520,0.294861,-0.010419,-0.076044,-0.997050
