ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.003787,-0.001488,0.018139,-0.121838,-0.057429,-0.028188,-0.020444,-0.021079,-0.999569
-0.003884,0.003045,0.006670,-0.168794,-0.026683,-0.016545,-0.020866,-0.019615,-0.999590
-0.005950,-0.000103,-0.002421,-0.215014,0.008272,-0.007339,-0.020951,-0.017689,-0.999624
-0.007650,-0.001829,-0.005612,-0.268637,0.024384,-0.008181,-0.020777,-0.015260,-0.999668
-0.004382,-0.006407,-0.002929,-0.298717,-0.004447,-0.009271,-0.020642,-0.012376,-0.999710
-0.000587,-0.021820,-0.003406,-0.290838,-0.055669,-0.015300,-0.020928,-0.009384,-0.999737
0.000061,-0.018776,-0.014755,-0.262126,-0.119189,-0.035041,-0.021805,-0.006600,-0.999740
0.001552,-0.017299,-0.032537,-0.237721,-0.177357,-0.052551,-0.023311,-0.004109,-0.999720
0.004615,-0.018095,-0.056430,-0.241528,-0.228557,-0.055595,-0.025352,-0.001741,-0.999677
0.013860,-0.018187,-0.076666,-0.288202,-0.253358,-0.049254,-0.027807,0.000884,-0.999613
0.014235,-0.017624,-0.106179,-0.386001,-0.224099,-0.029878,-0.030226,0.004227,-0.999534
0.011881,-0.013916,-0.146343,-0.527522,-0.188016,0.001451,-0.032297,0.008790,-0.999440
0.007721,-0.010536,-0.189700,-0.695087,-0.148283,0.027106,-0.033997,0.014931,-0.999310
0.000939,0.001879,-0.261316,-0.847604,-0.104055,0.079781,-0.035241,0.022718,-0.999121
0.005471,0.019584,-0.366433,-0.950201,-0.028924,0.152905,-0.035928,0.031838,-0.998847
-0.021401,0.041133,-0.533792,-0.967457,0.144394,0.226294,-0.035301,0.041601,-0.998511
-0.020659,0.059064,-0.723812,-0.817288,0.230940,0.254961,-0.033205,0.050784,-0.998158
0.003197,0.071052,-0.836221,-0.422490,0.108788,0.219093,-0.031242,0.057260,-0.997870
0.024700,0.070854,-0.883869,0.212036,-0.133664,0.123812,-0.031246,0.058495,-0.997799
0.018898,0.095437,-0.922223,0.950281,-0.421194,-0.019196,-0.033943,0.052681,-0.998034
-0.006400,0.103765,-0.900408,1.578807,-0.658539,-0.196283,-0.039483,0.039820,-0.998426
-0.034813,0.127052,-0.843865,2.002296,-0.631414,-0.342127,-0.046272,0.021599,-0.998695
-0.064361,0.153989,-0.838296,2.243130,-0.282246,-0.431630,-0.051087,-0.000012,-0.998694
-0.073151,0.163948,-0.807733,2.330031,0.274718,-0.413800,-0.051148,-0.023277,-0.998420
-0.072347,0.235288,-0.700151,2.352919,0.907401,-0.270403,-0.045115,-0.046964,-0.997877
-0.069909,0.324208,-0.520673,2.377070,1.485755,-0.027359,-0.032936,-0.070744,-0.996951
-0.060137,0.368385,-0.268575,2.419333,1.859359,0.246580,-0.016080,-0.094749,-0.995371
-0.069890,0.360352,0.096369,2.446380,1.787726,0.444893,0.002080,-0.119065,-0.992884
-0.074932,0.297452,0.587655,2.400358,1.278353,0.473423,0.016964,-0.143354,-0.989526
-0.057056,0.150938,1.025295,2.196791,0.595988,0.317758,0.025623,-0.166380,-0.985729
-0.038931,-0.022880,1.261626,1.870944,0.075099,0.097215,0.028417,-0.186607,-0.982023
-0.044648,-0.077952,1.325460,1.486476,-0.165108,-0.111565,0.027833,-0.203160,-0.978750
-0.045901,-0.060750,1.299684,1.078665,-0.127405,-0.241772,0.026629,-0.215724,-0.976091
-0.013890,-0.020552,1.249158,0.664046,0.003883,-0.258504,0.026616,-0.224199,-0.974180
0.027007,0.052112,1.261375,0.257180,0.034473,-0.178620,0.027406,-0.228656,-0.973121
0.061349,0.121186,1.330649,-0.126609,-0.077765,-0.033715,0.027518,-0.229233,-0.972983
0.086144,0.147470,1.377792,-0.426564,-0.292725,0.107744,0.025657,-0.226480,-0.973678
0.083367,0.127831,1.367376,-0.614780,-0.539582,0.172024,0.021247,-0.221336,-0.974966
0.061029,0.077110,1.287818,-0.702817,-0.744497,0.151362,0.014548,-0.214851,-0.976538
0.031549,0.020694,1.171399,-0.779240,-0.935850,0.087990,0.006049,-0.207613,-0.978192
0.008367,-0.006638,1.079597,-0.996098,-1.022065,0.040873,-0.003835,-0.199020,-0.979988
-0.005451,0.024214,0.946906,-1.467733,-0.975712,0.091083,-0.013866,-0.187009,-0.982260
-0.013226,0.106678,0.793569,-2.075685,-0.849850,0.197484,-0.023212,-0.169452,-0.985265
-0.023048,0.155016,0.619493,-2.665257,-0.722173,0.319815,-0.031426,-0.145785,-0.988817
-0.029747,0.172170,0.415920,-3.047807,-0.605674,0.434162,-0.038505,-0.117025,-0.992382
-0.037957,0.168762,0.195792,-3.153448,-0.549538,0.494940,-0.044715,-0.085647,-0.995322
-0.052444,0.148875,-0.011570,-2.969054,-0.532594,0.462812,-0.050476,-0.054560,-0.997234
-0.064820,0.112855,-0.215880,-2.559114,-0.538243,0.375450,-0.056015,-0.026490,-0.998078
-0.077535,0.100492,-0.383335,-2.046823,-0.533827,0.246992,-0.061473,-0.003171,-0.998104
-0.082286,0.090654,-0.510631,-1.585604,-0.521093,0.115745,-0.066762,0.015105,-0.997655
