ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.032141,-0.046405,-0.038707,0.206350,0.239639,0.160810,-0.081293,0.073902,-0.993947
-0.037602,-0.065408,-0.011141,0.154943,0.249073,0.130307,-0.078746,0.072214,-0.994276
-0.036150,-0.073274,0.008725,0.101428,0.242575,0.097577,-0.076139,0.071016,-0.994565
-0.032634,-0.079851,0.027961,0.037492,0.180012,0.065967,-0.073964,0.070391,-0.994774
-0.031961,-0.075748,0.057928,-0.033154,0.101302,0.035504,-0.072516,0.070408,-0.994879
-0.033290,-0.066994,0.070140,-0.106696,0.009273,0.001688,-0.071950,0.071129,-0.994869
-0.032565,-0.059365,0.067011,-0.183579,-0.054677,-0.024457,-0.072202,0.072580,-0.994746
-0.022408,-0.066487,0.041427,-0.275757,-0.098893,-0.038291,-0.072990,0.074834,-0.994521
-0.011435,-0.065024,0.007122,-0.384119,-0.123277,-0.053014,-0.074167,0.078101,-0.994183
-0.004996,-0.049261,-0.064048,-0.439104,-0.133903,-0.052222,-0.075479,0.082220,-0.993752
-0.000245,-0.023538,-0.160416,-0.419000,-0.219024,-0.056639,-0.077224,0.086496,-0.993255
-0.010243,0.027837,-0.239425,-0.359546,-0.364158,-0.048682,-0.080181,0.090357,-0.992676
-0.013557,0.066564,-0.325481,-0.314394,-0.499565,-0.032123,-0.084526,0.093669,-0.992009
-0.020890,0.069577,-0.435707,-0.295641,-0.627855,-0.056677,-0.090209,0.096683,-0.991219
-0.037807,0.079100,-0.571249,-0.189134,-0.639179,-0.108683,-0.096715,0.099108,-0.990366
-0.070384,0.130506,-0.778081,0.102958,-0.541062,-0.173117,-0.102788,0.099536,-0.989711
-0.100404,0.212535,-1.003976,0.646664,-0.314130,-0.232769,-0.107344,0.095754,-0.989600
-0.093065,0.283467,-1.207129,1.401234,0.000877,-0.215292,-0.109145,0.085399,-0.990351
-0.089408,0.351061,-1.318544,2.207950,0.410939,-0.133380,-0.107278,0.067183,-0.991957
-0.073979,0.401249,-1.315507,2.876097,0.817166,-0.018553,-0.101146,0.041576,-0.994003
-0.069199,0.423149,-1.177580,3.326877,1.117210,0.086119,-0.091400,0.010461,-0.995759
-0.082385,0.427994,-0.951292,3.607377,1.407258,0.156017,-0.078748,-0.024261,-0.996599
-0.091432,0.407126,-0.730747,3.778171,1.702614,0.181502,-0.063231,-0.061193,-0.996121
-0.099188,0.350845,-0.491746,3.893062,1.879699,0.174702,-0.045312,-0.099532,-0.994002
-0.125670,0.303882,-0.160882,3.916019,1.792295,0.119114,-0.026948,-0.138492,-0.989997
-0.154119,0.264398,0.246602,3.864564,1.469567,0.003607,-0.010752,-0.177179,-0.984120
-0.141737,0.194116,0.614604,3.685918,0.983231,-0.138430,0.001539,-0.214487,-0.976726
-0.105877,0.121730,0.905873,3.390235,0.518900,-0.246870,0.009258,-0.249156,-0.968419
-0.071820,0.064628,1.074888,2.993177,0.259486,-0.282207,0.013577,-0.280127,-0.959867
-0.041785,0.035762,1.136962,2.514242,0.255471,-0.243172,0.016715,-0.306605,-0.951690
-0.030465,0.049456,1.178688,1.961567,0.397154,-0.187734,0.020455,-0.327928,-0.944481
-0.030813,0.061278,1.256816,1.357737,0.522829,-0.163088,0.025427,-0.343626,-0.938762
-0.025676,0.070063,1.359679,0.719420,0.628011,-0.128944,0.031382,-0.353388,-0.934950
-0.004993,0.073086,1.425355,0.083891,0.689149,-0.066963,0.037952,-0.357112,-0.933290
0.022317,0.060206,1.474653,-0.552917,0.689985,0.017683,0.044577,-0.354914,-0.933836
0.023525,0.055281,1.520593,-1.230037,0.535341,0.071688,0.050282,-0.346586,-0.936669
0.015025,0.066167,1.570732,-1.890885,0.182176,0.055382,0.053548,-0.331807,-0.941826
0.020304,0.064186,1.559135,-2.377318,-0.260936,0.021065,0.053060,-0.311393,-0.948799
0.010559,0.080148,1.433558,-2.654823,-0.748639,-0.011800,0.048263,-0.287179,-0.956660
-0.009297,0.102165,1.259652,-2.766202,-1.243450,-0.061643,0.038716,-0.260886,-0.964593
-0.018163,0.125532,1.054635,-2.779523,-1.636973,-0.092121,0.024800,-0.233823,-0.971963
-0.031185,0.166812,0.813023,-2.798900,-1.774867,-0.089850,0.008098,-0.206500,-0.978413
-0.038540,0.203935,0.537644,-2.941745,-1.632180,-0.057171,-0.008777,-0.178239,-0.983948
-0.043208,0.233459,0.275111,-3.208248,-1.256206,0.007667,-0.023152,-0.147780,-0.988749
-0.032405,0.245951,0.047869,-3.464096,-0.817014,0.077464,-0.033544,-0.114465,-0.992861
-0.026744,0.236713,-0.130268,-3.570352,-0.400384,0.107203,-0.039692,-0.079120,-0.996075
-0.030378,0.220342,-0.278567,-3.450834,-0.113705,0.121756,-0.042223,-0.043721,-0.998151
-0.024102,0.213951,-0.375444,-3.132720,-0.054022,0.117446,-0.042945,-0.010490,-0.999022
-0.021953,0.216668,-0.410924,-2.688791,-0.183937,0.104030,-0.044071,0.018837,-0.998851
-0.022940,0.228055,-0.439140,-2.236097,-0.380191,0.087076,-0.046884,0.043598,-0.997948
