ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.023408,0.002565,-0.235771,0.394470,-0.286372,0.104221,-0.082748,0.168090,-0.982293
-0.038935,0.022343,-0.279941,0.285531,-0.366509,0.020013,-0.085897,0.164761,-0.982586
-0.065474,0.032586,-0.385643,0.223733,-0.341202,-0.075285,-0.089509,0.162300,-0.982673
-0.092199,0.050516,-0.539400,0.273064,-0.245008,-0.113761,-0.092554,0.159797,-0.982801
-0.070886,0.064451,-0.676987,0.392644,-0.184539,0.032160,-0.094702,0.156527,-0.983123
-0.036340,0.117988,-0.754737,0.661559,-0.083420,-0.021320,-0.096060,0.151437,-0.983788
-0.123290,0.359254,-0.772850,1.090020,0.096086,-0.137696,-0.096192,0.142776,-0.985070
-0.190156,0.467934,-0.796291,1.590997,0.404322,-0.058491,-0.093917,0.129356,-0.987141
-0.159331,0.391001,-0.789881,1.968600,0.689612,0.081625,-0.088441,0.111578,-0.989812
-0.092742,0.297699,-0.726504,2.262314,0.998812,0.174369,-0.079957,0.090592,-0.992673
-0.068087,0.254850,-0.634027,2.543493,1.325115,0.226102,-0.068128,0.066714,-0.995443
-0.067169,0.254635,-0.462056,2.762215,1.468764,0.248505,-0.053879,0.040227,-0.997737
-0.068876,0.260770,-0.217514,2.925224,1.507535,0.232340,-0.038836,0.011768,-0.999176
-0.068083,0.238602,-0.006418,3.053318,1.456314,0.201083,-0.023882,-0.018249,-0.999548
-0.039664,0.217438,0.189057,3.129251,1.327612,0.192583,-0.009942,-0.049302,-0.998734
-0.008185,0.190773,0.367988,3.185377,1.173352,0.218675,0.002494,-0.081001,-0.996711
-0.021011,0.174249,0.543220,3.192443,1.067754,0.242807,0.013397,-0.112985,-0.993506
-0.043791,0.140221,0.693747,3.088335,1.037019,0.252394,0.023573,-0.144432,-0.989234
-0.051881,0.074504,0.845339,2.805019,1.001867,0.256180,0.033265,-0.173854,-0.984209
-0.038209,-0.012152,0.989036,2.340073,0.912555,0.224592,0.042314,-0.199442,-0.978996
-0.003901,-0.056009,1.121874,1.800576,0.735196,0.192387,0.050028,-0.219869,-0.974246
0.015562,-0.044315,1.242085,1.333357,0.503987,0.204613,0.055666,-0.235241,-0.970342
0.016436,-0.021800,1.339497,0.943658,0.214383,0.255599,0.058622,-0.246450,-0.967381
0.005624,0.008402,1.413936,0.542633,-0.075503,0.256712,0.058616,-0.253855,-0.965465
0.007976,0.054501,1.447416,0.093970,-0.367967,0.196680,0.055897,-0.257107,-0.964765
-0.000637,0.044800,1.458230,-0.441654,-0.749363,0.147930,0.050075,-0.255570,-0.965493
-0.010372,0.012354,1.448923,-1.085085,-1.139513,0.072049,0.040584,-0.248255,-0.967844
0.024668,0.004544,1.337613,-1.742361,-1.440184,0.021841,0.027807,-0.234418,-0.971738
0.009721,0.020190,1.123177,-2.240808,-1.596377,0.032805,0.012801,-0.214816,-0.976571
-0.031464,0.045817,0.853275,-2.557723,-1.483688,0.108169,-0.002700,-0.191080,-0.981571
-0.036759,0.080060,0.616569,-2.773468,-1.168648,0.390018,-0.016356,-0.164578,-0.986229
-0.021497,0.050689,0.405384,-2.748765,-0.526690,1.160915,-0.025989,-0.137053,-0.990223
-0.005706,-0.007546,0.189381,-2.988190,-0.118653,1.241055,-0.030290,-0.108298,-0.993657
0.042197,0.251431,0.068180,-3.404064,-0.345213,0.697283,-0.033439,-0.075894,-0.996555
-0.008242,0.372215,0.089171,-3.451255,-0.332978,0.382445,-0.037397,-0.041038,-0.998457
-0.054291,0.331491,-0.049702,-3.176290,-0.191661,0.464334,-0.040009,-0.007456,-0.999171
-0.031843,0.208162,-0.185071,-2.777515,-0.318487,0.601358,-0.042376,0.022719,-0.998843
-0.015632,0.122614,-0.239219,-2.370971,-0.485434,0.630262,-0.046273,0.048834,-0.997734
0.002510,0.079423,-0.360444,-1.999709,-0.523055,0.608769,-0.051033,0.071014,-0.996169
-0.008911,0.098458,-0.465967,-1.704416,-0.407318,0.614213,-0.055313,0.089820,-0.994421
-0.033819,0.166975,-0.529645,-1.515709,-0.152119,0.628552,-0.057536,0.106203,-0.992678
-0.034305,0.212775,-0.561908,-1.420853,0.050343,0.602579,-0.057278,0.121164,-0.990979
-0.028416,0.208744,-0.537309,-1.347134,0.167992,0.493608,-0.055415,0.135281,-0.989256
0.000152,0.175540,-0.492832,-1.223999,0.179038,0.380585,-0.052993,0.148344,-0.987515
0.014124,0.178946,-0.418536,-1.033472,0.040788,0.325672,-0.051279,0.159769,-0.985822
0.008994,0.201476,-0.365689,-0.792070,-0.125011,0.311024,-0.051200,0.168993,-0.984287
0.007278,0.202696,-0.357685,-0.529087,-0.235638,0.305195,-0.052505,0.175692,-0.983044
-0.001696,0.166992,-0.360980,-0.270919,-0.218578,0.305549,-0.054288,0.179794,-0.982205
-0.016543,0.101542,-0.361120,-0.053636,-0.123162,0.332397,-0.055418,0.181540,-0.981821
-0.019889,0.042532,-0.329787,0.097267,-0.037279,0.354010,-0.055535,0.181467,-0.981828
