ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.011746,-0.038145,0.151613,-0.166387,-0.309838,-0.041781,-0.059613,0.003111,-0.998217
0.010707,-0.047006,0.128747,-0.251225,-0.275522,-0.062810,-0.062602,0.005167,-0.998025
0.003187,-0.043517,0.083381,-0.347337,-0.189145,-0.073575,-0.064955,0.008132,-0.997855
-0.002995,-0.017618,0.042220,-0.408615,-0.084625,-0.068829,-0.066356,0.011911,-0.997725
-0.001078,0.000173,0.006065,-0.418958,0.003032,-0.040619,-0.066732,0.016047,-0.997642
0.008259,0.010794,-0.003594,-0.390751,0.024183,-0.006470,-0.066548,0.020105,-0.997581
0.014089,0.019577,0.010356,-0.337796,-0.005755,0.022000,-0.066426,0.023774,-0.997508
0.019291,0.017594,0.024551,-0.280439,-0.066780,0.040396,-0.066777,0.026901,-0.997405
0.010495,0.006759,0.039398,-0.223243,-0.127942,0.033231,-0.067746,0.029435,-0.997268
0.006199,-0.012024,0.048936,-0.189012,-0.171561,0.009403,-0.069248,0.031494,-0.997102
0.004535,-0.031318,0.062522,-0.198001,-0.197476,-0.015940,-0.071109,0.033409,-0.996909
0.006683,-0.045389,0.084919,-0.260942,-0.228930,-0.035724,-0.073242,0.035639,-0.996677
0.007266,-0.059920,0.111213,-0.429869,-0.239302,-0.052690,-0.075610,0.038985,-0.996375
0.006825,-0.052429,0.121049,-0.715653,-0.267545,-0.031042,-0.078160,0.044617,-0.995942
0.006877,-0.028621,0.114516,-1.118237,-0.297903,0.016346,-0.080959,0.053722,-0.995269
0.000640,-0.011702,0.053138,-1.602841,-0.339748,0.107743,-0.084091,0.067366,-0.994178
-0.007692,0.038435,-0.096250,-2.070945,-0.624385,0.238337,-0.088607,0.085878,-0.992358
-0.033436,0.121594,-0.266825,-2.539673,-1.131378,0.369276,-0.096920,0.109104,-0.989294
-0.056458,0.297109,-0.585156,-2.849793,-1.760200,0.495948,-0.110824,0.136592,-0.984409
-0.094070,0.462063,-1.185892,-2.418925,-1.878933,0.358273,-0.128586,0.163700,-0.978094
-0.220362,0.486845,-2.060512,-1.177316,-1.221608,0.050510,-0.144033,0.182086,-0.972676
-0.389017,0.534342,-2.879444,0.567928,0.485296,-0.252403,-0.148458,0.184988,-0.971463
-0.339260,0.483094,-3.387512,2.342594,2.413428,-0.248691,-0.134358,0.170349,-0.976181
-0.206671,0.506607,-3.078009,4.087699,3.341008,0.002509,-0.105600,0.138367,-0.984735
-0.142044,0.662786,-1.976446,5.340923,3.604813,0.458186,-0.070511,0.091105,-0.993342
-0.121804,0.709687,-0.846783,5.570995,3.344517,0.924014,-0.034904,0.036133,-0.998737
-0.171516,0.648072,0.319100,4.851048,2.877317,1.147462,-0.003624,-0.016587,-0.999856
-0.203267,0.448806,1.166772,3.734678,2.793845,1.100826,0.024068,-0.059829,-0.997918
-0.228323,0.155875,1.490295,2.860900,3.058690,0.970502,0.052526,-0.093024,-0.994277
-0.206520,-0.032589,1.701036,2.421392,3.097151,0.911997,0.082588,-0.119724,-0.989366
-0.161460,-0.057902,2.098225,2.297723,2.391118,0.941836,0.109046,-0.143971,-0.983555
-0.136109,-0.015134,2.640355,2.034687,1.210855,0.999584,0.125428,-0.166674,-0.978002
-0.136358,0.011120,2.958456,1.511545,0.081776,0.895176,0.129904,-0.185421,-0.974035
-0.215464,-0.059750,2.948187,0.726392,-0.676589,0.568694,0.125254,-0.197513,-0.972265
-0.298015,-0.170286,2.662863,-0.222225,-1.036988,0.170002,0.115992,-0.200441,-0.972815
-0.370267,-0.192050,2.263949,-1.137013,-1.350041,-0.167061,0.104322,-0.193783,-0.975482
-0.396751,-0.150633,1.947062,-2.113842,-1.622155,-0.422643,0.090126,-0.177553,-0.979976
-0.376027,-0.038134,1.543389,-3.073824,-1.554473,-0.506516,0.075002,-0.151426,-0.985619
-0.339849,0.086640,0.973042,-3.796138,-1.244696,-0.578626,0.061742,-0.116700,-0.991246
-0.294889,0.146068,0.422786,-4.036284,-0.909097,-0.705403,0.051648,-0.076808,-0.995707
-0.215897,0.182383,-0.059335,-3.637779,-0.740002,-0.850087,0.043946,-0.037547,-0.998328
-0.135215,0.172491,-0.433883,-2.696882,-0.777497,-0.973911,0.036673,-0.005163,-0.999314
-0.062413,0.165081,-0.645046,-1.675377,-0.995493,-0.999500,0.027745,0.017048,-0.999470
-0.003744,0.209000,-0.733091,-0.940908,-1.138716,-0.926123,0.016638,0.030152,-0.999407
0.031591,0.256008,-0.793134,-0.617896,-1.073475,-0.803481,0.005137,0.037846,-0.999270
0.033751,0.267343,-0.807565,-0.567319,-0.944031,-0.680531,-0.005323,0.043708,-0.999030
0.018679,0.251393,-0.753944,-0.583516,-0.700162,-0.592439,-0.013933,0.049419,-0.998681
0.036835,0.190608,-0.727415,-0.557652,-0.488462,-0.504649,-0.020096,0.055119,-0.998278
0.053466,0.131389,-0.653322,-0.390220,-0.450627,-0.440234,-0.024994,0.059880,-0.997893
0.070092,0.062174,-0.533705,-0.112806,-0.497307,-0.403488,-0.030007,0.062307,-0.997606
