ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.006323,-0.031255,-0.051202,0.126369,-0.133152,-0.168253,-0.066248,0.165304,-0.984015
0.002179,-0.031789,-0.038410,0.186819,-0.183364,-0.137193,-0.068082,0.163610,-0.984173
0.009932,-0.024208,-0.018628,0.190452,-0.211314,-0.092092,-0.070265,0.161629,-0.984347
0.010757,-0.020370,-0.005763,0.136441,-0.187685,-0.043102,-0.072388,0.159928,-0.984471
0.007464,-0.022403,-0.007111,0.042865,-0.092754,-0.006757,-0.073855,0.159000,-0.984512
-0.001439,-0.030380,-0.016272,-0.087288,0.042198,0.008540,-0.074092,0.159210,-0.984461
-0.002853,-0.041386,-0.012279,-0.229319,0.128340,0.000302,-0.073182,0.160787,-0.984272
0.001254,-0.046852,0.009271,-0.344107,0.135159,-0.012817,-0.071872,0.163658,-0.983896
0.007923,-0.039678,0.021046,-0.396466,0.095152,-0.026602,-0.070743,0.167349,-0.983356
0.019306,-0.030133,0.011459,-0.390895,0.033895,-0.033460,-0.070164,0.171247,-0.982727
0.024064,-0.028419,-0.010582,-0.359711,-0.014949,-0.027567,-0.070146,0.174934,-0.982078
0.029378,-0.022457,-0.044968,-0.346256,-0.058263,-0.006514,-0.070531,0.178387,-0.981429
0.032347,-0.012810,-0.074159,-0.387467,-0.100533,0.016406,-0.071318,0.181984,-0.980712
0.032322,-0.005254,-0.113275,-0.481861,-0.113781,0.027279,-0.072346,0.186254,-0.979834
0.033570,0.008000,-0.172979,-0.613988,-0.133789,0.050861,-0.073487,0.191647,-0.978709
0.021484,0.041050,-0.252597,-0.773313,-0.084608,0.065233,-0.074523,0.198513,-0.977261
-0.014873,0.104036,-0.415705,-0.857164,0.075990,0.105308,-0.074437,0.206664,-0.975576
-0.043739,0.184479,-0.591314,-0.789328,0.250952,0.167632,-0.072517,0.214935,-0.973932
-0.067719,0.281692,-0.743751,-0.534705,0.353007,0.223984,-0.069106,0.221696,-0.972664
-0.074319,0.381865,-0.921402,0.045814,0.523623,0.298248,-0.064323,0.224489,-0.972351
-0.088263,0.424696,-1.125182,0.988245,0.801072,0.381762,-0.057123,0.219835,-0.973863
-0.093251,0.443277,-1.264759,2.201257,1.069030,0.475299,-0.046993,0.204520,-0.977734
-0.076703,0.435101,-1.223546,3.457260,1.166340,0.594881,-0.034808,0.176762,-0.983638
-0.054817,0.409053,-0.987939,4.524154,1.050753,0.702961,-0.022652,0.137181,-0.990287
-0.056298,0.377839,-0.657418,5.295834,0.823881,0.756378,-0.012428,0.088042,-0.996039
-0.084551,0.346195,-0.299850,5.690308,0.517239,0.699166,-0.005186,0.032711,-0.999451
-0.139923,0.295923,0.074568,5.678030,0.110984,0.480804,-0.001923,-0.024682,-0.999694
-0.195206,0.206850,0.435682,5.284839,-0.393938,0.090367,-0.003433,-0.079942,-0.996794
-0.193555,0.077041,0.721831,4.626963,-0.954134,-0.395208,-0.010028,-0.129607,-0.991515
-0.158378,-0.050172,0.911015,3.880409,-1.286865,-0.836139,-0.020425,-0.172011,-0.984883
-0.084974,-0.122605,0.939803,3.127614,-1.287225,-1.088549,-0.031451,-0.206816,-0.977874
-0.014991,-0.093796,0.881233,2.467224,-0.997549,-1.070005,-0.040368,-0.234572,-0.971260
0.040998,0.012850,0.847738,1.893016,-0.549183,-0.853061,-0.045545,-0.256197,-0.965551
0.098192,0.109445,0.867567,1.319190,-0.124882,-0.525870,-0.046922,-0.272118,-0.961119
0.146307,0.154669,0.945710,0.700658,0.162677,-0.201857,-0.045629,-0.282049,-0.958314
0.170176,0.130564,1.037786,0.083355,0.251005,0.008663,-0.043269,-0.285852,-0.957296
0.169167,0.041941,1.117839,-0.471972,0.122224,0.061328,-0.041451,-0.283899,-0.957958
0.163014,-0.033101,1.144004,-0.879694,-0.153963,0.042069,-0.041738,-0.277248,-0.959891
0.126315,-0.023318,1.098129,-1.082473,-0.381213,0.015574,-0.044451,-0.267636,-0.962494
0.091643,0.015228,0.995009,-1.159417,-0.548544,0.014171,-0.049025,-0.256729,-0.965239
0.071496,0.032542,0.888418,-1.264857,-0.656918,0.053595,-0.055032,-0.244990,-0.967963
0.063448,0.066412,0.771250,-1.516261,-0.648557,0.149430,-0.061708,-0.231481,-0.970880
0.052232,0.129933,0.630770,-1.936442,-0.505253,0.256006,-0.067888,-0.214542,-0.974353
0.050186,0.157891,0.468637,-2.456950,-0.274439,0.331087,-0.072372,-0.192772,-0.978571
0.045396,0.148640,0.283909,-2.884467,0.059532,0.375256,-0.074144,-0.166050,-0.983326
0.034592,0.128209,0.098410,-3.121690,0.490042,0.359499,-0.072006,-0.135883,-0.988105
0.021292,0.088644,-0.060889,-3.150054,0.807575,0.319565,-0.065863,-0.104284,-0.992364
0.004119,0.068172,-0.130525,-3.014495,0.983462,0.253431,-0.057082,-0.073222,-0.995681
0.005352,0.071611,-0.168821,-2.795720,0.944504,0.156452,-0.047360,-0.043932,-0.997911
0.016746,0.100205,-0.163804,-2.523270,0.748710,0.048431,-0.038826,-0.017151,-0.999099
