ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.032167,-0.087139,-0.136516,0.453218,0.005208,-0.003043,-0.062666,0.138180,-0.988423
-0.043620,-0.078076,-0.081920,0.295455,0.085631,-0.025043,-0.062215,0.134396,-0.988973
-0.046829,-0.082953,-0.028095,0.084853,0.132823,-0.042937,-0.061142,0.132468,-0.989300
-0.042614,-0.096756,0.026628,-0.131499,0.140239,-0.066023,-0.059849,0.132675,-0.989351
-0.035284,-0.095303,0.061100,-0.326245,0.127767,-0.073570,-0.058542,0.134931,-0.989124
-0.029900,-0.088133,0.079728,-0.481471,0.055965,-0.081266,-0.057731,0.138930,-0.988618
-0.020039,-0.090726,0.089139,-0.589198,-0.003462,-0.100588,-0.057613,0.144224,-0.987867
-0.020144,-0.095765,0.047259,-0.644307,-0.013912,-0.137443,-0.057905,0.150316,-0.986941
-0.032341,-0.089829,-0.023265,-0.649844,-0.000879,-0.186159,-0.058204,0.156663,-0.985936
-0.031436,-0.072274,-0.075951,-0.620706,-0.051549,-0.236379,-0.058743,0.162850,-0.984901
-0.023773,-0.048022,-0.095779,-0.571416,-0.185267,-0.289803,-0.060303,0.168582,-0.983841
-0.012678,-0.017808,-0.104841,-0.573940,-0.387257,-0.330867,-0.063661,0.174013,-0.982683
-0.008660,0.031981,-0.127385,-0.672694,-0.587452,-0.350842,-0.069098,0.179887,-0.981257
-0.017620,0.090306,-0.188440,-0.828989,-0.763884,-0.374382,-0.076450,0.187022,-0.979376
-0.026197,0.127887,-0.308110,-0.908879,-0.787519,-0.405960,-0.084994,0.195340,-0.977046
-0.050098,0.133341,-0.518806,-0.800373,-0.601678,-0.428881,-0.092724,0.203482,-0.974678
-0.068979,0.165940,-0.736622,-0.494369,-0.411627,-0.465293,-0.098608,0.209518,-0.972820
-0.061345,0.237762,-0.885146,0.060606,-0.187190,-0.465451,-0.102580,0.211335,-0.972016
-0.059005,0.320785,-1.017872,0.832189,0.083109,-0.383831,-0.104004,0.206605,-0.972881
-0.038616,0.377605,-1.078681,1.681356,0.342865,-0.260329,-0.102528,0.193944,-0.975640
-0.014017,0.398877,-1.040068,2.443486,0.522941,-0.106202,-0.098593,0.173389,-0.979906
0.002330,0.438444,-0.924837,3.070826,0.671600,0.094071,-0.092677,0.146075,-0.984923
0.001198,0.466532,-0.778325,3.586288,0.791174,0.302294,-0.085167,0.113119,-0.989925
0.007513,0.467467,-0.602915,3.964315,0.898225,0.483530,-0.076315,0.075686,-0.994207
0.009949,0.448499,-0.422734,4.232301,0.955036,0.619951,-0.066742,0.034976,-0.997157
0.010960,0.404947,-0.224110,4.372684,1.110630,0.694337,-0.056370,-0.007882,-0.998379
-0.022471,0.372721,-0.050534,4.375140,1.306017,0.730296,-0.044424,-0.051508,-0.997684
-0.060357,0.343195,0.160783,4.265925,1.415028,0.715417,-0.031241,-0.094583,-0.995027
-0.090763,0.295577,0.422455,4.080672,1.359994,0.644523,-0.018078,-0.136138,-0.990525
-0.096968,0.224072,0.691074,3.823455,1.144193,0.521950,-0.006456,-0.175350,-0.984485
-0.072744,0.131725,0.914108,3.521589,0.812001,0.413741,0.002325,-0.211589,-0.977356
-0.051334,0.060083,1.072895,3.195094,0.432418,0.322463,0.007587,-0.244485,-0.969623
-0.033645,0.021519,1.195155,2.857709,0.025428,0.215524,0.009094,-0.273914,-0.961711
-0.022801,0.014519,1.305389,2.460201,-0.400934,0.067087,0.006917,-0.299599,-0.954040
-0.032950,0.008754,1.409789,1.954438,-0.799761,-0.108141,0.001166,-0.320765,-0.947158
-0.017775,-0.012682,1.454937,1.350885,-1.039130,-0.286750,-0.007006,-0.336531,-0.941647
-0.002984,-0.042094,1.422371,0.635491,-1.101478,-0.422296,-0.015998,-0.346028,-0.938088
0.001040,-0.044577,1.357226,-0.189765,-0.983696,-0.469774,-0.024355,-0.348275,-0.937076
0.034961,-0.026372,1.256437,-1.053657,-0.780045,-0.404976,-0.031116,-0.342524,-0.938994
0.054105,0.002391,1.158848,-1.853397,-0.610083,-0.266977,-0.036557,-0.328822,-0.943684
0.040732,0.029847,1.033181,-2.536060,-0.392683,-0.142475,-0.040716,-0.307923,-0.950540
-0.003949,0.048510,0.867617,-3.150760,-0.169131,-0.085996,-0.043094,-0.280626,-0.958849
-0.032600,0.050875,0.708153,-3.682706,-0.028764,-0.072180,-0.043755,-0.247484,-0.967904
-0.042961,0.075915,0.567312,-4.045782,-0.022794,-0.118984,-0.043740,-0.209582,-0.976812
-0.048070,0.096656,0.394616,-4.122156,-0.059080,-0.182495,-0.043834,-0.169165,-0.984612
-0.045068,0.113586,0.198602,-3.924047,-0.159935,-0.230518,-0.044577,-0.129135,-0.990625
-0.025251,0.122991,0.026139,-3.529821,-0.295129,-0.264170,-0.046557,-0.091939,-0.994676
0.005726,0.145617,-0.123403,-3.036178,-0.466608,-0.274797,-0.050160,-0.059145,-0.996988
0.026103,0.192996,-0.262194,-2.475014,-0.579173,-0.226698,-0.055324,-0.031589,-0.997969
0.028406,0.226142,-0.403769,-1.895322,-0.604042,-0.164136,-0.061304,-0.009772,-0.998071
