ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.035340,-0.004281,-0.304366,-0.060012,0.135822,0.159552,-0.082671,0.082025,-0.993196
-0.030508,-0.026426,-0.231172,-0.039570,0.138583,0.168803,-0.081140,0.082655,-0.993270
-0.032222,-0.050749,-0.165838,-0.028074,0.108657,0.158527,-0.079762,0.083128,-0.993342
-0.037813,-0.074427,-0.119091,-0.013580,0.075883,0.129050,-0.078718,0.083461,-0.993397
-0.047879,-0.086873,-0.087040,-0.005655,0.036600,0.088493,-0.078052,0.083639,-0.993435
-0.056328,-0.084566,-0.063669,-0.000694,-0.000869,0.031885,-0.077843,0.083712,-0.993445
-0.063243,-0.075324,-0.048804,-0.014801,-0.020024,-0.024470,-0.077931,0.083778,-0.993432
-0.059406,-0.070216,-0.040326,-0.053871,-0.037343,-0.071929,-0.078274,0.084071,-0.993381
-0.050412,-0.072304,-0.032203,-0.118976,-0.034755,-0.112615,-0.078724,0.084847,-0.993279
-0.043783,-0.077340,-0.034043,-0.213102,-0.008672,-0.145469,-0.079081,0.086389,-0.993118
-0.036725,-0.072255,-0.045835,-0.322938,0.030306,-0.149001,-0.079089,0.088949,-0.992891
-0.032377,-0.059421,-0.060733,-0.425087,0.054624,-0.145187,-0.078814,0.092579,-0.992581
-0.035828,-0.044972,-0.079243,-0.504771,0.061099,-0.136338,-0.078353,0.097126,-0.992183
-0.024837,-0.040036,-0.123477,-0.543875,0.007510,-0.126250,-0.078160,0.102277,-0.991681
-0.020225,-0.039747,-0.181003,-0.558649,-0.048714,-0.142196,-0.078469,0.107664,-0.991086
-0.029207,-0.026376,-0.270029,-0.603139,-0.202650,-0.233443,-0.079863,0.113290,-0.990347
-0.027558,0.005090,-0.364703,-0.610422,-0.376072,-0.324861,-0.083084,0.119163,-0.989392
-0.059699,0.097153,-0.529509,-0.493944,-0.487108,-0.425578,-0.087884,0.124435,-0.988328
-0.078026,0.207373,-0.732420,-0.153400,-0.445123,-0.483320,-0.093254,0.127389,-0.987459
-0.073336,0.287879,-0.972046,0.425136,-0.179018,-0.479458,-0.097089,0.125711,-0.987305
-0.054403,0.346301,-1.206427,1.227496,0.321811,-0.398001,-0.097071,0.117215,-0.988351
-0.032838,0.371382,-1.368526,2.197398,0.900518,-0.224207,-0.091246,0.099917,-0.990803
-0.018397,0.404264,-1.316885,3.104170,1.292913,-0.019701,-0.080343,0.073229,-0.994074
-0.012214,0.443368,-1.076263,3.763701,1.609394,0.215741,-0.065728,0.038734,-0.997086
-0.014178,0.455702,-0.827566,4.141156,1.847876,0.424396,-0.048261,-0.000928,-0.998834
-0.050033,0.438045,-0.550371,4.258615,2.047717,0.556185,-0.028824,-0.043086,-0.998655
-0.101597,0.407090,-0.285920,4.167687,2.259700,0.618097,-0.007550,-0.085358,-0.996322
-0.144411,0.355026,-0.034831,3.980025,2.298174,0.619115,0.014711,-0.126144,-0.991903
-0.185325,0.278852,0.270803,3.776797,2.103737,0.502604,0.035911,-0.164868,-0.985662
-0.222435,0.179950,0.578659,3.575824,1.673906,0.231812,0.054023,-0.201358,-0.978027
-0.235746,0.068376,0.876426,3.339247,1.021592,-0.126983,0.067243,-0.235291,-0.969596
-0.207966,-0.027113,1.131123,3.022912,0.304766,-0.451712,0.074360,-0.266023,-0.961094
-0.141749,-0.074103,1.254365,2.589657,-0.155612,-0.629824,0.076395,-0.292672,-0.953156
-0.087350,-0.069198,1.205901,2.067234,-0.222759,-0.623587,0.076303,-0.314469,-0.946196
-0.066567,-0.015171,1.111512,1.465433,0.022186,-0.520866,0.077049,-0.330837,-0.940537
-0.061404,0.041100,1.063151,0.784769,0.436710,-0.378680,0.080692,-0.341164,-0.936534
-0.045952,0.059634,1.083375,0.033744,0.813138,-0.231825,0.087730,-0.344790,-0.934571
-0.030100,0.057493,1.172535,-0.710312,0.914545,-0.134105,0.096705,-0.341413,-0.934925
-0.018630,0.051734,1.274145,-1.287758,0.728856,-0.116413,0.104964,-0.331717,-0.937521
-0.008971,0.051512,1.291104,-1.576679,0.358521,-0.092740,0.110548,-0.317930,-0.941647
-0.013771,0.072846,1.263606,-1.745484,-0.149843,-0.065088,0.111824,-0.302048,-0.946711
-0.012421,0.102280,1.204472,-1.923535,-0.612376,-0.062170,0.108292,-0.284470,-0.952549
-0.005653,0.121727,1.055756,-2.114190,-0.991468,-0.069666,0.100746,-0.265007,-0.958969
-0.016073,0.137003,0.889114,-2.297631,-1.215521,-0.065666,0.090124,-0.243585,-0.965683
-0.028459,0.169136,0.690080,-2.488573,-1.222796,-0.044586,0.078248,-0.220222,-0.972306
-0.021311,0.194046,0.479844,-2.691975,-1.101182,-0.003300,0.066874,-0.194793,-0.978562
-0.007844,0.188975,0.321009,-2.900506,-0.967316,0.037078,0.056657,-0.167200,-0.984294
-0.005114,0.176542,0.213730,-3.107667,-0.886029,0.045014,0.047412,-0.137403,-0.989380
0.000212,0.176423,0.122321,-3.272569,-0.848350,0.021874,0.038759,-0.105546,-0.993659
0.011622,0.170999,0.009825,-3.269965,-0.868006,0.005207,0.030157,-0.072655,-0.996901
