ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.031954,-0.012516,-0.190408,0.197737,0.113982,0.227183,-0.101133,0.223301,-0.969489
-0.047354,-0.012263,-0.146481,0.148263,0.162376,0.214116,-0.099298,0.221813,-0.970020
-0.060119,-0.015441,-0.122921,0.068817,0.204061,0.181354,-0.097062,0.220931,-0.970448
-0.056302,-0.028943,-0.101160,-0.019843,0.225486,0.137681,-0.094592,0.220853,-0.970709
-0.045289,-0.044237,-0.077965,-0.093697,0.217901,0.103382,-0.092147,0.221544,-0.970787
-0.038595,-0.053091,-0.058997,-0.134659,0.182527,0.083328,-0.089961,0.222769,-0.970712
-0.030432,-0.057341,-0.044214,-0.134170,0.119106,0.064102,-0.088312,0.224165,-0.970542
-0.022418,-0.059990,-0.029377,-0.113786,0.041802,0.054236,-0.087384,0.225426,-0.970334
-0.019988,-0.059252,-0.018793,-0.122497,-0.051693,0.040690,-0.087312,0.226596,-0.970068
-0.022914,-0.055269,-0.010262,-0.212588,-0.134880,0.004221,-0.088201,0.228197,-0.969612
-0.030101,-0.055525,-0.049525,-0.368337,-0.114032,-0.059558,-0.089544,0.230971,-0.968832
-0.045827,-0.053210,-0.163505,-0.559865,-0.049901,-0.124075,-0.090556,0.235385,-0.967674
-0.056165,-0.018737,-0.259335,-0.764970,-0.030916,-0.151227,-0.091235,0.241699,-0.966053
-0.060792,0.038537,-0.330212,-0.955611,-0.098738,-0.158018,-0.092178,0.249916,-0.963870
-0.068412,0.105729,-0.402124,-1.116563,-0.260626,-0.169665,-0.094308,0.259842,-0.961035
-0.078165,0.176193,-0.515141,-1.137276,-0.435620,-0.185956,-0.098166,0.270676,-0.957652
-0.072237,0.234683,-0.729427,-0.826889,-0.461265,-0.198868,-0.103193,0.280195,-0.954380
-0.078459,0.277859,-1.046679,-0.088837,-0.151988,-0.177134,-0.106890,0.284611,-0.952665
-0.073626,0.315735,-1.341282,0.935630,0.313452,-0.143527,-0.106702,0.280518,-0.953900
-0.040987,0.339377,-1.434675,2.002551,0.872564,-0.080557,-0.101256,0.266184,-0.958589
-0.025585,0.380554,-1.365033,2.837008,1.218015,0.016601,-0.091068,0.242554,-0.965854
-0.046759,0.471208,-1.102984,3.418560,1.349146,0.136101,-0.078302,0.211974,-0.974133
-0.074011,0.504223,-0.790167,3.819271,1.468168,0.164340,-0.064142,0.176365,-0.982233
-0.085156,0.438698,-0.520270,4.024151,1.457966,0.107686,-0.049304,0.137444,-0.989282
-0.103208,0.377072,-0.231297,4.095641,1.449062,0.052365,-0.034778,0.096912,-0.994685
-0.108620,0.317276,-0.020265,4.093221,1.544564,0.043183,-0.019783,0.055832,-0.998244
-0.137298,0.271090,0.171311,4.002090,1.622996,0.021636,-0.003800,0.015089,-0.999879
-0.160032,0.216421,0.415278,3.797590,1.614047,-0.057509,0.012510,-0.024206,-0.999629
-0.166034,0.140050,0.654982,3.485785,1.568090,-0.148963,0.028553,-0.060826,-0.997740
-0.155928,0.078980,0.827980,3.111627,1.537559,-0.198675,0.044218,-0.093827,-0.994606
-0.137439,0.052132,0.941054,2.747184,1.519943,-0.202831,0.059726,-0.122948,-0.990614
-0.122303,0.060155,1.059175,2.424416,1.401735,-0.188396,0.074573,-0.148473,-0.986101
-0.110751,0.079116,1.196201,2.139933,1.163663,-0.178315,0.087618,-0.170882,-0.981388
-0.075629,0.085279,1.307168,1.887646,0.820585,-0.122775,0.097739,-0.190549,-0.976800
-0.032026,0.083301,1.401586,1.625879,0.381905,-0.015765,0.103834,-0.207721,-0.972662
0.000416,0.083688,1.469932,1.338511,-0.137610,0.090490,0.104977,-0.222253,-0.969321
0.018176,0.092144,1.507617,1.015530,-0.656092,0.185864,0.100766,-0.233883,-0.967029
0.030320,0.110573,1.486766,0.651436,-1.083417,0.290612,0.091659,-0.242241,-0.965877
0.044085,0.123208,1.400867,0.206389,-1.353560,0.395903,0.078916,-0.246773,-0.965855
0.035864,0.118797,1.299498,-0.370975,-1.466859,0.498656,0.064005,-0.246391,-0.967055
0.018663,0.123765,1.163809,-1.098713,-1.436566,0.596723,0.048445,-0.239624,-0.969656
-0.006761,0.137984,0.995967,-1.890918,-1.294577,0.666081,0.033540,-0.225264,-0.973720
-0.032894,0.132234,0.814857,-2.574831,-1.054535,0.666422,0.020534,-0.203431,-0.978874
-0.041810,0.100117,0.614157,-3.109409,-0.834946,0.624102,0.009980,-0.175343,-0.984457
-0.041983,0.082975,0.424743,-3.412166,-0.660663,0.567695,0.001654,-0.142835,-0.989745
-0.045028,0.090171,0.243526,-3.416916,-0.593694,0.503807,-0.005204,-0.108572,-0.994075
-0.043330,0.090048,0.087425,-3.156755,-0.646839,0.431541,-0.011801,-0.075475,-0.997078
-0.028061,0.095225,-0.041640,-2.713334,-0.770122,0.364199,-0.019119,-0.045862,-0.998765
-0.015683,0.092646,-0.149809,-2.204992,-0.931210,0.326576,-0.027789,-0.021067,-0.999392
-0.019140,0.087526,-0.234392,-1.771783,-1.068864,0.285436,-0.037897,-0.001069,-0.999281
