ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.005203,0.012823,-0.321952,-0.314380,0.199319,0.133117,-0.052719,0.147852,-0.987603
0.001188,-0.015945,-0.261111,-0.273587,0.095014,0.091396,-0.051084,0.150818,-0.987241
-0.000761,-0.041677,-0.227707,-0.241023,0.027709,0.033931,-0.050417,0.153402,-0.986877
-0.008228,-0.060450,-0.226718,-0.208492,0.024370,-0.017730,-0.050183,0.155635,-0.986539
-0.007080,-0.061150,-0.236068,-0.174278,0.039211,-0.036884,-0.049927,0.157525,-0.986252
0.002155,-0.052099,-0.237103,-0.124195,0.076962,-0.016740,-0.049411,0.159002,-0.986041
0.005457,-0.036884,-0.239412,-0.069489,0.095947,0.026369,-0.048517,0.159962,-0.985930
0.007553,-0.024893,-0.217039,-0.040123,0.068733,0.062515,-0.047607,0.160498,-0.985887
-0.002109,-0.019062,-0.187792,-0.060409,0.035239,0.086297,-0.046994,0.160984,-0.985838
-0.012097,-0.013920,-0.181173,-0.135062,0.022721,0.088881,-0.046573,0.161961,-0.985697
-0.033532,-0.021440,-0.189154,-0.275793,0.025061,0.048373,-0.046241,0.164003,-0.985375
-0.043925,-0.037105,-0.218185,-0.418656,0.020091,-0.002945,-0.045949,0.167491,-0.984802
-0.044432,-0.033384,-0.262307,-0.484409,-0.047201,-0.054441,-0.046114,0.172010,-0.984015
-0.059095,0.000520,-0.321520,-0.439312,-0.120658,-0.120747,-0.047091,0.176619,-0.983152
-0.057827,0.038103,-0.427965,-0.260369,-0.187662,-0.169226,-0.048893,0.180083,-0.982436
-0.065569,0.085579,-0.552523,0.015599,-0.232881,-0.223400,-0.051328,0.181236,-0.982099
-0.064363,0.139824,-0.676642,0.362554,-0.220639,-0.303319,-0.054153,0.179268,-0.982309
-0.062306,0.198982,-0.821223,0.803739,-0.049069,-0.352833,-0.056148,0.173394,-0.983251
-0.068176,0.275808,-0.967787,1.352517,0.217688,-0.362441,-0.055939,0.162577,-0.985109
-0.059950,0.350393,-1.050280,1.994971,0.527506,-0.319538,-0.052812,0.145839,-0.987898
-0.026426,0.403369,-1.073683,2.705593,0.865222,-0.170065,-0.046221,0.122343,-0.991411
0.001383,0.454061,-1.010037,3.381557,1.176410,0.073380,-0.036066,0.091838,-0.995121
0.005440,0.503337,-0.851432,3.894209,1.438045,0.321871,-0.022850,0.055303,-0.998208
0.009521,0.503733,-0.669012,4.222946,1.733029,0.551443,-0.006775,0.014471,-0.999872
-0.019491,0.485787,-0.467941,4.368101,2.006717,0.730009,0.012014,-0.028847,-0.999512
-0.070903,0.461191,-0.224660,4.387681,2.182636,0.840590,0.032741,-0.073053,-0.996791
-0.130746,0.420549,0.064360,4.315162,2.062809,0.830610,0.053368,-0.116990,-0.991698
-0.177073,0.356199,0.437736,4.180161,1.604171,0.670013,0.070735,-0.159712,-0.984626
-0.160787,0.236349,0.773604,4.009737,0.897956,0.418747,0.082235,-0.200552,-0.976226
-0.127426,0.133775,1.045993,3.769850,0.051224,0.165765,0.086242,-0.238878,-0.967212
-0.099224,0.064314,1.238283,3.418967,-0.637433,-0.063189,0.083110,-0.273786,-0.958193
-0.062917,-0.000739,1.264575,2.953884,-0.954623,-0.226502,0.075658,-0.304284,-0.949572
-0.057583,-0.026292,1.185540,2.407509,-0.894345,-0.297844,0.067547,-0.329634,-0.941689
-0.064574,-0.009657,1.107359,1.769157,-0.636109,-0.306760,0.061294,-0.349199,-0.935042
-0.064267,0.026525,1.100289,1.032048,-0.296276,-0.258310,0.057949,-0.362218,-0.930290
-0.050905,0.064401,1.145344,0.209875,-0.042838,-0.166610,0.057253,-0.367928,-0.928090
-0.029674,0.078577,1.246298,-0.642083,0.041736,-0.069353,0.057750,-0.365839,-0.928885
-0.014028,0.073256,1.317731,-1.434700,0.055109,0.001678,0.058340,-0.356047,-0.932645
-0.012112,0.053509,1.300477,-2.106752,-0.013135,0.018645,0.058530,-0.339291,-0.938859
-0.017019,0.029493,1.240137,-2.587523,-0.155314,-0.016761,0.057775,-0.316907,-0.946695
-0.009097,0.013199,1.127647,-2.827367,-0.420565,-0.073316,0.055255,-0.290833,-0.955177
-0.012028,0.016051,0.998187,-2.822412,-0.730245,-0.115750,0.049961,-0.263381,-0.963397
-0.017456,0.024697,0.853126,-2.697240,-1.022500,-0.143427,0.041748,-0.236474,-0.970741
-0.028163,0.056375,0.700706,-2.632709,-1.253443,-0.172853,0.030894,-0.210366,-0.977134
-0.032237,0.109929,0.551859,-2.680743,-1.383993,-0.190339,0.018199,-0.184193,-0.982722
-0.039329,0.144320,0.398265,-2.811756,-1.398441,-0.183364,0.004631,-0.156985,-0.987590
-0.041320,0.153895,0.242725,-3.003659,-1.170531,-0.190248,-0.008057,-0.128062,-0.991733
-0.046127,0.143927,0.045475,-3.194333,-0.755494,-0.190799,-0.017503,-0.097097,-0.995121
-0.058656,0.146613,-0.120280,-3.308809,-0.376066,-0.194770,-0.022949,-0.064475,-0.997655
-0.047375,0.153944,-0.221410,-3.264411,-0.126537,-0.199025,-0.025302,-0.031400,-0.999187
