ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.031068,-0.060821,-0.215545,-0.066186,0.351236,0.052757,-0.023284,0.020828,-0.999512
-0.032668,-0.079709,-0.143142,0.013542,0.262659,0.001946,-0.020189,0.021101,-0.999574
-0.035189,-0.074926,-0.083322,0.060743,0.191136,-0.032719,-0.017942,0.020696,-0.999625
-0.037774,-0.070500,-0.044631,0.028547,0.173637,-0.054028,-0.016150,0.020192,-0.999666
-0.039790,-0.077154,-0.022788,-0.084926,0.180239,-0.073443,-0.014379,0.020422,-0.999688
-0.037613,-0.092691,-0.002397,-0.219128,0.165733,-0.102082,-0.012649,0.021967,-0.999679
-0.034289,-0.097966,-0.003642,-0.267214,0.148249,-0.127847,-0.011106,0.024465,-0.999639
-0.040769,-0.079790,-0.035948,-0.209716,0.102836,-0.145065,-0.009845,0.026903,-0.999590
-0.034062,-0.053469,-0.056094,-0.082967,0.025681,-0.136315,-0.009227,0.028384,-0.999555
-0.026039,-0.034176,-0.063381,0.029236,-0.067949,-0.104243,-0.009468,0.028591,-0.999546
-0.025562,-0.026823,-0.065120,0.040379,-0.149920,-0.075291,-0.010616,0.028166,-0.999547
-0.027934,-0.041826,-0.080871,-0.051199,-0.174926,-0.066722,-0.012289,0.028154,-0.999528
-0.034716,-0.073667,-0.119826,-0.211938,-0.176238,-0.100761,-0.014082,0.029432,-0.999468
-0.043984,-0.104268,-0.170177,-0.383609,-0.172970,-0.156094,-0.015876,0.032430,-0.999348
-0.050984,-0.108398,-0.247831,-0.486931,-0.213432,-0.179807,-0.017818,0.036819,-0.999163
-0.066603,-0.064543,-0.328268,-0.507167,-0.341463,-0.187773,-0.020631,0.041838,-0.998911
-0.070414,-0.010421,-0.427005,-0.403163,-0.496788,-0.180812,-0.024954,0.046463,-0.998608
-0.073006,0.033191,-0.577381,-0.167364,-0.572920,-0.181100,-0.030448,0.049344,-0.998318
-0.085730,0.073696,-0.760592,0.128562,-0.524742,-0.232025,-0.036127,0.049504,-0.998120
-0.083916,0.098336,-0.922633,0.448194,-0.383134,-0.311099,-0.040855,0.046501,-0.998082
-0.084578,0.137820,-1.022052,0.781473,-0.187149,-0.401918,-0.043901,0.040189,-0.998227
-0.077621,0.189297,-1.053942,1.167262,0.009699,-0.452065,-0.044923,0.030246,-0.998532
-0.056184,0.232434,-1.001662,1.579463,0.132293,-0.461142,-0.044265,0.016239,-0.998888
-0.033598,0.255440,-0.878859,1.955994,0.274226,-0.459786,-0.042345,-0.001763,-0.999101
-0.006381,0.257942,-0.746422,2.251513,0.452040,-0.438006,-0.038633,-0.023140,-0.998986
0.007571,0.255688,-0.573059,2.447563,0.648731,-0.394239,-0.032992,-0.046947,-0.998352
0.021661,0.270991,-0.378614,2.548800,0.853036,-0.275778,-0.025247,-0.072168,-0.997073
0.022868,0.305728,-0.163584,2.562011,1.047630,-0.106748,-0.015559,-0.097872,-0.995077
0.010494,0.319064,0.067290,2.476680,1.219139,0.062820,-0.004147,-0.123110,-0.992384
-0.008627,0.287525,0.310096,2.293842,1.245257,0.185806,0.008063,-0.146945,-0.989112
-0.030114,0.237949,0.621442,2.002162,1.098009,0.256660,0.019433,-0.168369,-0.985533
-0.025303,0.155735,0.894762,1.642748,0.851994,0.275124,0.028599,-0.186481,-0.982042
-0.027639,0.052865,1.069258,1.285632,0.649503,0.215166,0.035452,-0.200966,-0.978956
-0.037757,-0.027294,1.159900,0.951082,0.460190,0.098207,0.040580,-0.211994,-0.976428
-0.049918,-0.075638,1.219193,0.666167,0.300352,-0.048525,0.044211,-0.219909,-0.974518
-0.045389,-0.097341,1.211324,0.463616,0.223318,-0.174177,0.047007,-0.225321,-0.973150
-0.031703,-0.066751,1.164313,0.354772,0.103582,-0.226205,0.049128,-0.229178,-0.972144
-0.014411,-0.010339,1.178561,0.291970,-0.092834,-0.222893,0.049735,-0.232215,-0.971392
0.005610,0.025494,1.200614,0.184582,-0.322276,-0.177869,0.048177,-0.234493,-0.970923
0.000381,0.070415,1.194835,-0.007769,-0.520243,-0.133158,0.044403,-0.235347,-0.970897
-0.016252,0.098393,1.172624,-0.319391,-0.668664,-0.101453,0.038835,-0.233783,-0.971513
-0.030823,0.107427,1.130021,-0.778669,-0.757687,-0.063195,0.032013,-0.228474,-0.973023
-0.036045,0.123268,1.054689,-1.348318,-0.749865,-0.033538,0.024662,-0.218085,-0.975618
-0.032094,0.125440,0.918376,-1.918405,-0.647305,-0.009173,0.017797,-0.201978,-0.979228
-0.015251,0.117336,0.736350,-2.349134,-0.546027,0.025970,0.011925,-0.180782,-0.983451
0.009361,0.127886,0.568208,-2.547182,-0.544878,0.082285,0.006508,-0.156405,-0.987672
0.035358,0.151719,0.417868,-2.537988,-0.610791,0.166483,0.000592,-0.130982,-0.991385
0.053315,0.160845,0.262091,-2.358942,-0.689099,0.254401,-0.006150,-0.106447,-0.994299
0.047254,0.150595,0.100300,-2.113364,-0.716169,0.312675,-0.013517,-0.084020,-0.996372
0.028720,0.142614,-0.070173,-1.895211,-0.622011,0.335274,-0.020542,-0.063909,-0.997744
