ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.032619,-0.053260,-0.021710,-0.310679,0.169577,-0.043887,-0.046315,0.012886,-0.998844
-0.024774,-0.032865,-0.008249,-0.250404,0.078656,-0.055565,-0.045050,0.015699,-0.998861
-0.009797,-0.026893,0.001782,-0.171524,-0.025728,-0.051705,-0.044799,0.017799,-0.998837
-0.001544,-0.027470,0.002644,-0.102821,-0.095564,-0.044539,-0.045453,0.019139,-0.998783
-0.000009,-0.019733,-0.012577,-0.059213,-0.127180,-0.028932,-0.046607,0.019917,-0.998715
-0.000887,-0.020622,-0.023621,-0.051386,-0.131345,-0.023638,-0.047926,0.020439,-0.998642
-0.004101,-0.025714,-0.025237,-0.083062,-0.119958,-0.022564,-0.049198,0.021076,-0.998567
-0.002838,-0.031227,-0.023331,-0.154440,-0.086114,-0.025204,-0.050247,0.022224,-0.998489
-0.011282,-0.032798,-0.029100,-0.271013,-0.023783,-0.037038,-0.050822,0.024330,-0.998411
-0.014444,-0.028756,-0.043806,-0.390226,0.015439,-0.048242,-0.050849,0.027643,-0.998324
-0.011101,-0.027668,-0.058989,-0.478757,0.013671,-0.058035,-0.050713,0.032002,-0.998200
-0.005851,-0.026348,-0.085013,-0.519168,-0.022522,-0.067718,-0.050744,0.037029,-0.998025
0.007627,-0.017223,-0.128885,-0.484715,-0.098976,-0.050359,-0.051359,0.042080,-0.997793
0.014929,-0.000740,-0.180585,-0.408860,-0.204318,-0.023489,-0.052878,0.046547,-0.997516
0.018138,0.017933,-0.246649,-0.303301,-0.301406,-0.008746,-0.055446,0.050137,-0.997202
0.005265,0.033818,-0.351902,-0.168875,-0.369198,-0.036494,-0.058885,0.052501,-0.996883
-0.042384,0.072015,-0.475582,-0.001036,-0.343807,-0.101548,-0.062535,0.053336,-0.996617
-0.083088,0.138856,-0.625330,0.270981,-0.228930,-0.201304,-0.065533,0.051971,-0.996496
-0.095689,0.177731,-0.779005,0.719988,-0.030725,-0.266348,-0.067016,0.046985,-0.996645
-0.081735,0.216843,-0.925552,1.381360,0.240747,-0.265173,-0.066122,0.036407,-0.997147
-0.041344,0.249731,-1.017922,2.210075,0.515494,-0.145039,-0.062355,0.018305,-0.997886
-0.003112,0.293869,-0.981728,3.006464,0.783917,0.072350,-0.055894,-0.007995,-0.998405
0.029108,0.340968,-0.869603,3.622169,1.142916,0.386363,-0.046320,-0.041301,-0.998073
0.037051,0.368336,-0.735425,3.992994,1.601916,0.750387,-0.032977,-0.079426,-0.996295
-0.005156,0.373044,-0.562554,4.114600,2.112219,1.085229,-0.015322,-0.119901,-0.992668
-0.064081,0.370487,-0.338439,4.039328,2.411547,1.292258,0.005685,-0.160526,-0.987015
-0.135599,0.325738,-0.001377,3.853690,2.369622,1.271325,0.027201,-0.199807,-0.979458
-0.208211,0.204675,0.383711,3.612298,1.829295,0.982746,0.045644,-0.236856,-0.970472
-0.234485,0.047647,0.830710,3.322695,0.693743,0.464339,0.056323,-0.270898,-0.960959
-0.192915,-0.128859,1.287101,2.977829,-0.618633,-0.140454,0.056135,-0.301332,-0.951866
-0.109866,-0.263473,1.465224,2.586153,-1.521416,-0.608668,0.046801,-0.327668,-0.943633
-0.066594,-0.279653,1.344984,2.133012,-1.777552,-0.811018,0.033346,-0.349757,-0.936247
-0.056918,-0.188197,1.144914,1.495905,-1.518117,-0.822822,0.020586,-0.366688,-0.930116
-0.042777,-0.060139,0.999737,0.646564,-0.857248,-0.690250,0.012183,-0.376674,-0.926266
-0.023556,0.037084,0.925009,-0.375810,-0.122592,-0.483212,0.009945,-0.377950,-0.925773
-0.005812,0.077724,0.976654,-1.460570,0.360290,-0.334273,0.012755,-0.369319,-0.929215
0.016471,0.061701,1.066365,-2.369073,0.500875,-0.270413,0.018091,-0.351145,-0.936146
0.007819,0.051296,1.091641,-2.934249,0.329240,-0.262416,0.023065,-0.325801,-0.945157
-0.014741,0.071705,1.033481,-3.239529,-0.014468,-0.305088,0.025514,-0.296131,-0.954806
-0.023691,0.112359,0.903261,-3.383825,-0.428083,-0.369743,0.024316,-0.263985,-0.964220
-0.024063,0.140442,0.704460,-3.357333,-0.763346,-0.431613,0.019394,-0.230957,-0.972771
-0.013877,0.166059,0.447513,-3.174303,-0.904315,-0.439889,0.012046,-0.198713,-0.979984
-0.010872,0.216390,0.173179,-2.838813,-0.908309,-0.413410,0.003792,-0.168859,-0.985633
0.000985,0.244146,-0.055577,-2.400293,-0.789778,-0.343943,-0.004098,-0.142812,-0.989741
0.017779,0.257174,-0.219138,-1.990940,-0.632919,-0.250621,-0.010791,-0.121004,-0.992593
0.043532,0.264647,-0.302389,-1.685316,-0.508527,-0.136549,-0.016265,-0.102720,-0.994577
0.061970,0.253284,-0.334366,-1.489237,-0.393609,-0.012230,-0.020710,-0.086902,-0.996002
0.072014,0.228704,-0.364253,-1.369027,-0.225189,0.113670,-0.023873,-0.072606,-0.997075
0.062234,0.203677,-0.395051,-1.300574,-0.065061,0.204165,-0.025400,-0.059191,-0.997923
0.056897,0.162297,-0.392198,-1.234943,0.034146,0.261474,-0.025632,-0.046391,-0.998594
