ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.006188,-0.024220,-0.107353,-0.009828,-0.027568,0.125524,-0.042793,0.027303,-0.998711
-0.002456,-0.030102,-0.082747,0.091798,-0.060118,0.131002,-0.043199,0.026913,-0.998704
-0.001063,-0.031798,-0.056992,0.117169,-0.074825,0.132165,-0.043859,0.025878,-0.998703
-0.009617,-0.021046,-0.033120,0.074367,-0.076132,0.126080,-0.044582,0.024937,-0.998694
-0.023063,-0.017733,-0.008688,-0.011514,-0.083832,0.113139,-0.045357,0.024661,-0.998666
-0.032604,-0.029781,0.007707,-0.096889,-0.087974,0.091366,-0.046207,0.025264,-0.998612
-0.031220,-0.047438,0.009644,-0.159909,-0.097133,0.058188,-0.047104,0.026610,-0.998536
-0.030040,-0.069706,0.012459,-0.204292,-0.105205,0.013136,-0.048116,0.028462,-0.998436
-0.032038,-0.081460,0.009363,-0.259031,-0.107231,-0.039670,-0.049185,0.030755,-0.998316
-0.025470,-0.082778,0.006026,-0.360117,-0.085343,-0.072882,-0.050183,0.033798,-0.998168
-0.017068,-0.076661,-0.005721,-0.518103,-0.067545,-0.079079,-0.050971,0.038133,-0.997972
-0.009946,-0.061642,-0.011887,-0.744054,-0.060772,-0.051231,-0.051623,0.044384,-0.997680
-0.005774,-0.043352,-0.024011,-1.016358,-0.075420,0.003018,-0.052301,0.053194,-0.997214
-0.005525,-0.026786,-0.054670,-1.265502,-0.154773,0.059630,-0.053389,0.064674,-0.996477
-0.013462,-0.022556,-0.104893,-1.447886,-0.301577,0.044158,-0.055599,0.078373,-0.995373
-0.019495,-0.019311,-0.212234,-1.460154,-0.466996,-0.035467,-0.059469,0.093072,-0.993882
-0.058082,0.003389,-0.375612,-1.268645,-0.644064,-0.151354,-0.065056,0.106749,-0.992155
-0.100829,0.078071,-0.539455,-0.870291,-0.815656,-0.326093,-0.072664,0.117410,-0.990422
-0.124837,0.153540,-0.758344,-0.177094,-0.744583,-0.481767,-0.081065,0.122492,-0.989153
-0.163218,0.194266,-1.007921,0.749104,-0.543629,-0.641043,-0.088186,0.119287,-0.988936
-0.134377,0.184331,-1.144005,1.851624,-0.253572,-0.737886,-0.093025,0.105784,-0.990028
-0.075505,0.197143,-1.208767,2.959497,0.020458,-0.651294,-0.094798,0.081056,-0.992191
-0.030126,0.285693,-1.129427,3.848598,0.361071,-0.403215,-0.093379,0.046354,-0.994551
0.009363,0.376038,-1.006867,4.412395,0.797685,-0.059226,-0.087671,0.004563,-0.996139
0.021634,0.421114,-0.820583,4.656387,1.258459,0.301541,-0.077405,-0.040941,-0.996159
0.005106,0.440332,-0.561632,4.649334,1.608588,0.605876,-0.063258,-0.087320,-0.994170
-0.024236,0.428977,-0.261612,4.519835,1.758609,0.788761,-0.047084,-0.132712,-0.990036
-0.056388,0.371984,0.072203,4.331500,1.643919,0.796886,-0.031304,-0.176381,-0.983824
-0.077718,0.280831,0.419354,4.058046,1.312438,0.616955,-0.018000,-0.217599,-0.975872
-0.096402,0.164042,0.749338,3.659423,0.712507,0.276444,-0.009037,-0.255351,-0.966806
-0.102593,0.030454,1.108745,3.039893,0.006315,-0.161580,-0.005744,-0.287870,-0.957652
-0.056108,-0.105394,1.338126,2.256575,-0.567660,-0.514151,-0.007536,-0.313353,-0.949607
-0.027274,-0.152782,1.379133,1.424507,-0.740998,-0.680523,-0.012063,-0.330952,-0.943571
-0.016488,-0.098803,1.277208,0.545898,-0.467992,-0.648345,-0.015724,-0.340421,-0.940141
-0.007976,0.008537,1.148407,-0.376818,0.102248,-0.486283,-0.015615,-0.341315,-0.939819
0.001693,0.062737,1.064698,-1.273543,0.744323,-0.300482,-0.010177,-0.333519,-0.942688
0.009752,0.049920,1.058193,-2.050575,1.070632,-0.194010,-0.000506,-0.317604,-0.948223
0.017383,0.023438,1.131646,-2.548433,1.027126,-0.165542,0.010266,-0.295410,-0.955315
0.001449,0.019239,1.160371,-2.793032,0.658171,-0.208350,0.019089,-0.269483,-0.962816
-0.005542,0.027225,1.136020,-2.846856,0.076156,-0.287624,0.023365,-0.241901,-0.970020
-0.002796,0.049162,1.020317,-2.749207,-0.530203,-0.375079,0.021839,-0.214368,-0.976509
-0.027616,0.095744,0.819446,-2.607084,-0.972062,-0.455744,0.015104,-0.187891,-0.982074
-0.038927,0.155556,0.553528,-2.483016,-1.123305,-0.439641,0.005357,-0.162682,-0.986664
-0.033349,0.222580,0.279349,-2.429384,-1.000314,-0.334807,-0.004737,-0.138305,-0.990378
-0.006258,0.255065,0.050716,-2.413217,-0.729833,-0.194747,-0.013105,-0.114180,-0.993374
0.030377,0.239391,-0.116710,-2.371043,-0.411264,-0.069737,-0.018658,-0.090221,-0.995747
0.046420,0.198651,-0.233756,-2.251735,-0.154394,0.020879,-0.021442,-0.067013,-0.997522
0.041865,0.171129,-0.310227,-2.066976,0.054166,0.064883,-0.021952,-0.045289,-0.998733
0.038668,0.157379,-0.380301,-1.845667,0.204280,0.089835,-0.020616,-0.025589,-0.999460
0.038784,0.140841,-0.404149,-1.591488,0.222545,0.107727,-0.018383,-0.008272,-0.999797
