ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.006426,-0.033436,-0.203532,0.345808,0.024897,0.265189,-0.079558,0.059621,-0.995046
-0.009116,-0.047053,-0.160540,0.425911,-0.032214,0.275847,-0.079462,0.055933,-0.995267
-0.017625,-0.063805,-0.119639,0.419891,-0.074394,0.267756,-0.079848,0.051842,-0.995458
-0.039586,-0.081202,-0.077118,0.297466,-0.090373,0.234666,-0.080562,0.048381,-0.995575
-0.067358,-0.097032,-0.049624,0.091782,-0.111856,0.165911,-0.081461,0.046572,-0.995588
-0.073450,-0.115576,-0.037389,-0.123713,-0.130570,0.077922,-0.082632,0.046850,-0.995478
-0.073787,-0.135751,-0.063642,-0.293214,-0.109077,-0.012031,-0.083851,0.049005,-0.995273
-0.072714,-0.130282,-0.137331,-0.361351,-0.076959,-0.069531,-0.084788,0.052325,-0.995024
-0.050272,-0.107404,-0.208794,-0.321944,-0.114701,-0.077702,-0.085729,0.055738,-0.994758
-0.033144,-0.082228,-0.258433,-0.230995,-0.239060,-0.062417,-0.087476,0.058440,-0.994451
-0.040257,-0.032416,-0.302065,-0.164409,-0.438688,-0.068817,-0.090878,0.060355,-0.994031
-0.070292,0.028632,-0.392800,-0.077367,-0.641598,-0.127445,-0.096349,0.061502,-0.993446
-0.122337,0.099553,-0.544442,0.104854,-0.801731,-0.279721,-0.103768,0.061260,-0.992713
-0.161437,0.177033,-0.746953,0.488662,-0.734259,-0.454482,-0.111818,0.058074,-0.992030
-0.150297,0.229147,-1.014021,1.124389,-0.418449,-0.525130,-0.117983,0.049570,-0.991778
-0.106591,0.260843,-1.197136,1.861460,0.055027,-0.483320,-0.120078,0.034079,-0.992179
-0.057153,0.303873,-1.254060,2.538536,0.675753,-0.317593,-0.116553,0.011526,-0.993118
-0.026558,0.362399,-1.181801,2.963365,1.243447,-0.069938,-0.106926,-0.016360,-0.994132
-0.036009,0.437694,-0.997950,3.176756,1.786110,0.198175,-0.091784,-0.047100,-0.994664
-0.046259,0.467723,-0.813070,3.280878,2.244078,0.422684,-0.071752,-0.079204,-0.994273
-0.061796,0.428306,-0.572596,3.273227,2.556732,0.531314,-0.048129,-0.111716,-0.992574
-0.096269,0.365647,-0.290980,3.200957,2.570950,0.519705,-0.022994,-0.143799,-0.989340
-0.144655,0.285469,0.079841,3.177189,2.142261,0.329206,-0.000090,-0.175361,-0.984504
-0.134017,0.159268,0.476575,3.197343,1.494552,0.051040,0.017562,-0.206814,-0.978223
-0.077357,0.050570,0.693006,3.246525,0.907335,-0.099240,0.029292,-0.238375,-0.970731
-0.060816,0.059000,0.777948,3.260572,0.626695,-0.114814,0.036814,-0.270014,-0.962152
-0.071268,0.096496,0.810299,3.151225,0.610276,-0.038459,0.042917,-0.300933,-0.952679
-0.078653,0.118260,0.891185,2.861844,0.654559,0.083561,0.048852,-0.329701,-0.942821
-0.080076,0.108694,1.043024,2.369343,0.695656,0.192744,0.054746,-0.354544,-0.933435
-0.089067,0.087823,1.180632,1.755846,0.741460,0.241912,0.060640,-0.374001,-0.925444
-0.105601,0.062278,1.284461,1.118647,0.766644,0.243579,0.066737,-0.387488,-0.919456
-0.119296,0.042650,1.383284,0.481951,0.627670,0.203097,0.072421,-0.395051,-0.915800
-0.132089,0.016031,1.526651,-0.198569,0.271441,0.076945,0.076074,-0.396494,-0.914880
-0.123683,-0.014314,1.635013,-0.914753,-0.160889,-0.090298,0.076580,-0.391371,-0.917041
-0.105975,-0.021611,1.625366,-1.636384,-0.493577,-0.216898,0.074084,-0.379451,-0.922241
-0.104242,0.021441,1.504990,-2.291157,-0.706947,-0.314512,0.069406,-0.360887,-0.930023
-0.103826,0.080331,1.315714,-2.790781,-0.854909,-0.370221,0.063253,-0.336678,-0.939493
-0.100230,0.124752,1.126972,-3.164902,-0.996108,-0.395696,0.055705,-0.308086,-0.949726
-0.082819,0.159944,0.949504,-3.431304,-1.199039,-0.416407,0.046381,-0.276124,-0.960002
-0.050335,0.178564,0.776773,-3.553557,-1.371596,-0.420971,0.034939,-0.241949,-0.969660
-0.033722,0.203338,0.557072,-3.533131,-1.421252,-0.409230,0.022156,-0.207061,-0.978077
-0.010702,0.224191,0.326885,-3.442834,-1.437880,-0.363979,0.008764,-0.172524,-0.984966
0.003827,0.242567,0.141302,-3.308205,-1.405095,-0.280472,-0.004880,-0.138960,-0.990286
0.019390,0.256156,-0.023514,-3.167470,-1.339746,-0.180041,-0.018291,-0.106680,-0.994125
0.026182,0.265067,-0.164066,-3.010683,-1.239867,-0.100677,-0.031141,-0.075766,-0.996639
0.020853,0.256203,-0.308577,-2.788223,-1.044652,-0.044538,-0.042597,-0.046654,-0.998002
-0.000806,0.232432,-0.448735,-2.511837,-0.867413,-0.033599,-0.052142,-0.020029,-0.998439
-0.015469,0.209268,-0.537605,-2.182316,-0.755782,-0.067740,-0.060245,0.003547,-0.998177
-0.016384,0.189629,-0.593465,-1.812774,-0.729309,-0.097081,-0.067646,0.023552,-0.997431
-0.019478,0.188591,-0.620115,-1.440366,-0.735004,-0.105268,-0.075050,0.039772,-0.996386
