ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.025023,-0.027637,-0.072874,-0.053220,0.163285,-0.070022,-0.082231,0.075138,-0.993777
-0.012314,-0.043131,-0.029048,-0.042624,0.086894,-0.106704,-0.081070,0.075556,-0.993841
-0.003349,-0.052590,-0.012689,-0.018130,0.055816,-0.126759,-0.080483,0.075769,-0.993872
0.002418,-0.057119,-0.011344,-0.000847,0.090282,-0.130158,-0.079902,0.075750,-0.993920
0.006293,-0.054473,-0.018484,-0.011771,0.193644,-0.113183,-0.078604,0.075698,-0.994028
0.003425,-0.036484,-0.019756,-0.049182,0.272157,-0.072706,-0.076301,0.075913,-0.994191
-0.002780,-0.003728,0.015633,-0.097285,0.280678,-0.025508,-0.073530,0.076604,-0.994347
-0.003597,0.013910,0.055460,-0.140989,0.218265,0.019469,-0.070988,0.077781,-0.994440
0.001792,0.007586,0.093097,-0.198564,0.095975,0.030987,-0.069373,0.079497,-0.994418
0.002855,-0.020653,0.116135,-0.273049,-0.032892,-0.002712,-0.069078,0.081857,-0.994247
0.000830,-0.054353,0.103108,-0.342178,-0.124984,-0.057080,-0.069921,0.084916,-0.993932
0.000444,-0.075475,0.056212,-0.405400,-0.167829,-0.109280,-0.071488,0.088598,-0.993499
0.000393,-0.064461,-0.012896,-0.440163,-0.198484,-0.126038,-0.073421,0.092751,-0.992979
0.009324,-0.040139,-0.084678,-0.454189,-0.264685,-0.096656,-0.075822,0.097131,-0.992379
0.013476,-0.015183,-0.154251,-0.481650,-0.371230,-0.050577,-0.079043,0.101716,-0.991668
0.018596,0.006372,-0.239017,-0.546316,-0.529488,-0.017356,-0.083553,0.106787,-0.990765
0.005388,0.016879,-0.358059,-0.622059,-0.660089,-0.049679,-0.089556,0.112593,-0.989597
-0.042528,0.061123,-0.549094,-0.614265,-0.649379,-0.147476,-0.096312,0.118733,-0.988244
-0.089347,0.108457,-0.806397,-0.438565,-0.448102,-0.260559,-0.102105,0.123889,-0.987029
-0.118039,0.171269,-1.063209,-0.039833,-0.171528,-0.359137,-0.105594,0.126095,-0.986382
-0.138452,0.270552,-1.251954,0.607608,0.119329,-0.404854,-0.106329,0.123003,-0.986694
-0.117585,0.351357,-1.373923,1.429700,0.413066,-0.385329,-0.104186,0.112556,-0.988168
-0.072170,0.393564,-1.432944,2.340274,0.793475,-0.265557,-0.098576,0.093451,-0.990732
-0.027857,0.421891,-1.398085,3.116751,1.155055,-0.069085,-0.088965,0.065902,-0.993852
-0.028886,0.458012,-1.193931,3.602929,1.466703,0.114941,-0.075804,0.032100,-0.996606
-0.034574,0.456297,-0.918207,3.831134,1.739630,0.278216,-0.059664,-0.005186,-0.998205
-0.060118,0.421278,-0.623342,3.839155,1.935961,0.339087,-0.041231,-0.043683,-0.998194
-0.106181,0.356787,-0.301515,3.658000,2.009737,0.296702,-0.021565,-0.081274,-0.996458
-0.138257,0.281489,0.014382,3.416478,2.004257,0.186548,-0.001682,-0.116648,-0.993172
-0.148802,0.216936,0.269368,3.217956,1.949725,0.096843,0.017866,-0.149660,-0.988576
-0.143724,0.182908,0.483098,3.106869,1.827471,0.060765,0.036500,-0.180985,-0.982808
-0.126432,0.172682,0.683190,3.052059,1.646102,0.087946,0.053510,-0.211347,-0.975945
-0.115428,0.159664,0.886749,2.968429,1.335587,0.128368,0.067927,-0.240901,-0.968170
-0.106202,0.116422,1.118513,2.770857,0.914567,0.108793,0.078553,-0.268903,-0.959959
-0.114959,0.056058,1.312218,2.422864,0.559337,0.020893,0.085326,-0.294003,-0.951988
-0.124466,0.023026,1.385607,1.898757,0.404296,-0.098611,0.089920,-0.314667,-0.944934
-0.124236,0.024611,1.371179,1.289078,0.395948,-0.204458,0.094161,-0.329634,-0.939402
-0.101701,0.032929,1.347418,0.695443,0.424368,-0.237749,0.098817,-0.338746,-0.935674
-0.059852,0.056031,1.351872,0.162857,0.323410,-0.191329,0.103202,-0.342515,-0.933827
-0.025829,0.094450,1.401809,-0.286114,-0.021119,-0.131638,0.105312,-0.341718,-0.933883
-0.002092,0.121058,1.448542,-0.638006,-0.508314,-0.075545,0.103197,-0.337213,-0.935755
0.008991,0.130316,1.399186,-0.911368,-1.016212,-0.042170,0.096203,-0.329809,-0.939133
0.012174,0.118620,1.261375,-1.116215,-1.354503,0.003891,0.084872,-0.320173,-0.943550
-0.004583,0.117915,1.035929,-1.399522,-1.454233,0.098937,0.071248,-0.308344,-0.948603
-0.017817,0.157922,0.820167,-1.809902,-1.396911,0.189880,0.057062,-0.293130,-0.954368
-0.036105,0.170056,0.627094,-2.266355,-1.164482,0.277271,0.043948,-0.273617,-0.960834
-0.054636,0.165471,0.403278,-2.669674,-0.795673,0.346972,0.033609,-0.249791,-0.967716
-0.045333,0.148486,0.193396,-2.942679,-0.406388,0.398899,0.026825,-0.222338,-0.974601
-0.042333,0.119778,0.010377,-2.982022,-0.109180,0.421353,0.023549,-0.193172,-0.980882
-0.042031,0.092163,-0.105434,-2.844847,-0.040371,0.405845,0.022210,-0.164367,-0.986149
