ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.042587,-0.003081,-0.067668,0.256519,0.464528,0.134969,-0.041962,0.168685,-0.984776
-0.024909,-0.033278,-0.008626,0.267313,0.265729,0.034789,-0.038141,0.166151,-0.985362
-0.009651,-0.056238,0.047092,0.310419,-0.004251,-0.057711,-0.036858,0.163294,-0.985889
-0.006276,-0.046452,0.095466,0.345773,-0.229085,-0.133421,-0.038219,0.159977,-0.986381
-0.002960,-0.031428,0.092805,0.329714,-0.369521,-0.183244,-0.041504,0.156520,-0.986802
-0.010530,-0.026915,0.059001,0.257420,-0.364313,-0.207628,-0.045531,0.153487,-0.987101
-0.022780,-0.022608,0.007239,0.150226,-0.264907,-0.204364,-0.049013,0.151346,-0.987265
-0.023228,-0.016517,-0.024142,0.024201,-0.116100,-0.177091,-0.051220,0.150368,-0.987302
-0.008957,-0.017699,-0.038960,-0.115197,0.005289,-0.132410,-0.051972,0.150725,-0.987209
-0.000042,-0.016491,-0.039906,-0.248255,0.066556,-0.086405,-0.051747,0.152493,-0.986949
-0.003703,-0.009699,-0.058324,-0.325069,0.148439,-0.071077,-0.050832,0.155344,-0.986552
-0.013066,-0.018458,-0.107331,-0.353310,0.247040,-0.084089,-0.048976,0.158687,-0.986113
-0.018329,-0.016662,-0.160362,-0.362372,0.270751,-0.112952,-0.046490,0.162186,-0.985664
-0.011360,0.005481,-0.187456,-0.390877,0.175638,-0.137224,-0.044411,0.165845,-0.985151
-0.001469,0.030408,-0.211082,-0.454599,-0.041363,-0.154407,-0.043926,0.169940,-0.984475
0.008658,0.059634,-0.260700,-0.527942,-0.351568,-0.187730,-0.046148,0.174741,-0.983532
0.020846,0.093753,-0.390401,-0.528314,-0.591465,-0.228832,-0.051257,0.179944,-0.982341
0.008429,0.156533,-0.606295,-0.380499,-0.663051,-0.234387,-0.057974,0.184410,-0.981138
-0.014129,0.247322,-0.842840,-0.023848,-0.483424,-0.190685,-0.064210,0.186409,-0.980372
-0.032810,0.302992,-1.067287,0.536279,-0.008490,-0.095859,-0.067074,0.183886,-0.980656
-0.023671,0.287224,-1.203435,1.165807,0.530706,0.011515,-0.064525,0.175453,-0.982371
0.003414,0.274132,-1.187858,1.749374,0.922025,0.108492,-0.057095,0.161019,-0.985299
0.020930,0.289919,-1.040334,2.250398,1.136144,0.202673,-0.046580,0.141188,-0.988886
0.022815,0.329384,-0.853122,2.651456,1.279094,0.294642,-0.034168,0.116814,-0.992566
0.018559,0.362164,-0.658412,2.956437,1.212824,0.343348,-0.021229,0.088795,-0.995824
0.005071,0.328727,-0.393977,3.184335,0.974020,0.272211,-0.009954,0.058022,-0.998266
-0.014384,0.252072,-0.120480,3.360682,0.681944,0.111057,-0.001546,0.025119,-0.999683
-0.022043,0.190024,0.121426,3.484419,0.303744,-0.045108,0.003489,-0.009344,-0.999950
-0.040784,0.154557,0.376570,3.536975,-0.099931,-0.182542,0.004514,-0.044678,-0.998991
-0.041299,0.121279,0.575424,3.524079,-0.350899,-0.255174,0.002237,-0.080156,-0.996780
-0.025176,0.096199,0.683754,3.416367,-0.332603,-0.226029,-0.001100,-0.114952,-0.993370
-0.001696,0.085881,0.737155,3.198380,-0.163317,-0.094454,-0.003431,-0.147969,-0.988986
0.012644,0.090319,0.821720,2.894250,0.050907,0.075685,-0.003992,-0.178225,-0.983982
0.010412,0.106365,0.935952,2.534221,0.275191,0.215219,-0.002691,-0.205028,-0.978752
-0.000964,0.124191,1.034262,2.137295,0.486874,0.297734,0.000506,-0.227965,-0.973669
-0.006031,0.116879,1.111587,1.743688,0.587106,0.356660,0.005069,-0.246914,-0.969024
0.012506,0.084815,1.214698,1.392045,0.480351,0.409689,0.009406,-0.262183,-0.964972
0.018271,0.051120,1.337842,1.026414,0.187315,0.434466,0.011605,-0.273974,-0.961667
0.010250,0.034817,1.425696,0.578971,-0.261356,0.378124,0.010135,-0.281856,-0.959403
-0.010841,0.026637,1.464070,-0.014314,-0.693484,0.240014,0.004570,-0.284694,-0.958608
-0.013478,-0.010489,1.406782,-0.749332,-0.903320,0.085174,-0.003780,-0.281107,-0.959669
-0.027936,-0.024804,1.239140,-1.609772,-0.857519,-0.040826,-0.012439,-0.269752,-0.962850
-0.049080,-0.004430,1.023291,-2.421461,-0.654836,-0.091825,-0.019676,-0.250087,-0.968024
-0.039937,0.040946,0.778417,-3.047796,-0.344510,-0.052972,-0.024486,-0.223212,-0.974462
-0.062534,0.077022,0.599457,-3.482557,0.100123,0.015400,-0.025661,-0.191036,-0.981248
-0.033718,0.088784,0.382176,-3.853615,0.463595,0.024623,-0.022800,-0.154656,-0.987705
0.007942,0.103204,0.193703,-4.088298,0.611954,0.020523,-0.017311,-0.114969,-0.993218
0.020101,0.143105,0.054463,-4.063581,0.579046,0.029425,-0.011312,-0.073967,-0.997197
0.021594,0.171109,-0.101555,-3.712921,0.556889,0.020858,-0.005649,-0.034696,-0.999382
0.023527,0.185355,-0.269394,-3.071257,0.547874,0.008884,-0.000074,-0.000464,-1.000000
