ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.042486,-0.068451,0.020654,0.733893,-0.334926,0.172363,-0.085169,0.087678,-0.992501
-0.050054,-0.070077,0.044285,0.564676,-0.346581,0.116376,-0.088481,0.081277,-0.992756
-0.053590,-0.077707,0.063353,0.341723,-0.286121,0.043674,-0.091628,0.076807,-0.992827
-0.063547,-0.088459,0.053233,0.124626,-0.159290,-0.011270,-0.093863,0.074513,-0.992793
-0.069494,-0.090712,0.032488,-0.044834,-0.012819,-0.046011,-0.094737,0.074126,-0.992739
-0.057508,-0.083264,0.024239,-0.148244,0.084061,-0.058702,-0.094393,0.075085,-0.992699
-0.043287,-0.070966,0.031904,-0.197114,0.137851,-0.043850,-0.093294,0.076780,-0.992674
-0.025469,-0.058043,0.042139,-0.227899,0.141028,-0.030247,-0.091902,0.078871,-0.992640
-0.010886,-0.056315,0.056414,-0.265398,0.101769,-0.034978,-0.090691,0.081294,-0.992555
0.002368,-0.062213,0.054056,-0.304028,0.027728,-0.055321,-0.090061,0.084094,-0.992380
0.007362,-0.070939,0.045908,-0.359469,-0.073870,-0.084902,-0.090339,0.087328,-0.992075
0.010843,-0.067405,0.025898,-0.443167,-0.184237,-0.115450,-0.091730,0.091225,-0.991597
0.014431,-0.048782,-0.015022,-0.547157,-0.278387,-0.119404,-0.094158,0.096038,-0.990914
0.014156,-0.026906,-0.065183,-0.684198,-0.365586,-0.112287,-0.097484,0.102040,-0.989992
0.007752,0.001370,-0.135806,-0.818487,-0.443829,-0.121731,-0.101670,0.109424,-0.988782
-0.002017,0.020643,-0.265160,-0.852988,-0.447373,-0.136452,-0.106320,0.117693,-0.987342
-0.025676,0.048360,-0.463622,-0.693810,-0.302954,-0.129402,-0.110295,0.125346,-0.985963
-0.047755,0.098455,-0.689973,-0.325580,-0.072126,-0.111607,-0.112371,0.130381,-0.985075
-0.055515,0.152946,-0.881594,0.215233,0.224295,-0.084728,-0.111752,0.130914,-0.985075
-0.052091,0.205638,-1.030185,0.892353,0.553592,-0.038173,-0.108035,0.125432,-0.986202
-0.054027,0.256921,-1.137071,1.667452,0.971614,0.056375,-0.100514,0.112769,-0.988524
-0.062433,0.325393,-1.209714,2.414886,1.465957,0.248689,-0.088248,0.092515,-0.991793
-0.033035,0.404907,-1.159786,3.017881,1.916718,0.526827,-0.070984,0.065583,-0.995319
-0.028303,0.450513,-0.987989,3.518220,2.050456,0.798292,-0.050539,0.033160,-0.998171
-0.044777,0.453930,-0.648353,3.863469,1.940673,0.947918,-0.030266,-0.003673,-0.999535
-0.053379,0.386489,-0.315629,4.008254,1.631097,0.962888,-0.012432,-0.043135,-0.998992
-0.069459,0.300057,-0.026721,4.051052,1.180438,0.846562,0.001161,-0.083549,-0.996503
-0.086741,0.181351,0.228796,4.041162,0.631335,0.625562,0.009501,-0.124100,-0.992224
-0.104675,0.088344,0.477775,3.923352,0.046886,0.327009,0.012176,-0.163844,-0.986411
-0.091705,0.016450,0.661732,3.677701,-0.388268,0.008329,0.010040,-0.201508,-0.979435
-0.092311,-0.038055,0.787938,3.247784,-0.624710,-0.266709,0.005229,-0.235596,-0.971837
-0.084423,-0.048403,0.881466,2.656117,-0.604807,-0.420300,-0.000050,-0.264402,-0.964413
-0.061959,-0.008436,0.909336,2.004691,-0.390824,-0.416317,-0.003745,-0.286959,-0.957936
-0.049335,0.051989,0.944973,1.335614,-0.090745,-0.314758,-0.005017,-0.303026,-0.952969
-0.032903,0.091096,1.004980,0.672657,0.184858,-0.205909,-0.003749,-0.312638,-0.949865
-0.016798,0.082151,1.097937,0.051015,0.391985,-0.132556,-0.000399,-0.316068,-0.948736
-0.003803,0.030938,1.201859,-0.531917,0.416583,-0.119176,0.003986,-0.313759,-0.949494
0.004344,-0.022675,1.318008,-1.112002,0.207530,-0.179164,0.007527,-0.305877,-0.952041
0.015193,-0.032923,1.390362,-1.592882,-0.141595,-0.248278,0.008550,-0.292776,-0.956143
0.014840,0.018226,1.352533,-1.892393,-0.546008,-0.289539,0.006034,-0.275870,-0.961176
-0.002478,0.071992,1.248141,-2.088975,-0.951782,-0.317356,-0.000436,-0.256516,-0.966540
-0.005855,0.128460,1.094880,-2.236163,-1.326238,-0.303249,-0.010762,-0.235424,-0.971833
-0.003390,0.176089,0.914022,-2.353121,-1.586191,-0.248705,-0.024518,-0.212969,-0.976751
-0.023132,0.209356,0.681224,-2.488165,-1.590566,-0.146643,-0.039933,-0.189230,-0.981121
-0.028154,0.240743,0.417208,-2.729651,-1.333007,-0.015483,-0.054366,-0.163564,-0.985034
-0.032456,0.269882,0.163336,-3.070259,-0.917453,0.090316,-0.065673,-0.134765,-0.988699
-0.030512,0.282382,-0.068801,-3.328981,-0.474910,0.144199,-0.072729,-0.102694,-0.992051
-0.027752,0.268915,-0.279614,-3.343901,-0.055877,0.123737,-0.075473,-0.069055,-0.994754
-0.020955,0.232166,-0.474884,-3.034822,0.214547,0.087625,-0.074550,-0.036838,-0.996537
0.012024,0.195983,-0.567168,-2.502258,0.170699,0.056290,-0.072464,-0.008909,-0.997331
