ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.013707,-0.007084,0.160146,-0.211580,-0.621557,-0.192709,-0.047588,0.140568,-0.988927
-0.012769,-0.001972,0.118687,-0.651380,-0.375635,-0.118455,-0.052798,0.144764,-0.988057
-0.015875,-0.007626,0.079865,-1.069166,-0.104769,-0.043573,-0.055292,0.153286,-0.986634
-0.017723,-0.016087,0.067685,-1.432197,0.063504,0.013190,-0.055412,0.165715,-0.984616
-0.009027,-0.024974,0.102172,-1.756289,0.070631,0.046979,-0.054602,0.181514,-0.981871
-0.011856,-0.023954,0.145737,-2.072107,-0.076004,0.033948,-0.054443,0.200422,-0.978196
0.000361,-0.033504,0.163440,-2.323653,-0.348170,-0.046267,-0.056499,0.222072,-0.973392
0.027968,-0.073657,0.099968,-2.390713,-0.600046,-0.127729,-0.061369,0.245166,-0.967537
0.006703,-0.054742,-0.045899,-2.270859,-0.851003,-0.211950,-0.068791,0.267755,-0.961028
-0.009437,-0.006431,-0.180783,-2.040356,-1.179144,-0.308151,-0.079293,0.288383,-0.954226
-0.007767,0.070867,-0.310612,-1.724691,-1.465304,-0.327140,-0.092911,0.306132,-0.947444
-0.036245,0.184975,-0.465078,-1.445100,-1.764884,-0.310004,-0.109263,0.320809,-0.940821
-0.095459,0.312344,-0.621790,-1.218109,-1.909241,-0.318895,-0.127777,0.333011,-0.934225
-0.149310,0.426825,-0.923327,-0.898488,-1.621331,-0.342354,-0.145719,0.342554,-0.928129
-0.187182,0.508609,-1.358299,-0.326479,-0.954248,-0.421582,-0.159253,0.347928,-0.923896
-0.197211,0.622400,-1.831934,0.850014,0.098444,-0.435880,-0.164910,0.345205,-0.923925
-0.171655,0.737320,-2.275955,2.629216,1.130750,-0.368118,-0.160452,0.328599,-0.930741
-0.109839,0.855289,-2.452289,4.724655,1.969227,-0.158988,-0.146631,0.293576,-0.944623
-0.035927,1.019375,-2.378760,6.782829,2.595187,0.306175,-0.124443,0.238285,-0.963190
-0.039576,1.208947,-2.019941,8.390197,3.040285,0.845346,-0.095617,0.164284,-0.981768
-0.109174,1.309870,-1.444182,9.368308,3.163307,1.359648,-0.063113,0.076468,-0.995073
-0.194966,1.303409,-0.668410,9.865104,2.588166,1.615711,-0.033290,-0.019611,-0.999253
-0.296511,1.125364,0.329508,9.844575,1.065781,1.365467,-0.015410,-0.118467,-0.992838
-0.347306,0.734939,1.413075,9.021210,-1.176432,0.491165,-0.017364,-0.212417,-0.977025
-0.244265,0.167868,2.260598,7.410752,-2.667821,-0.519082,-0.036863,-0.292685,-0.955498
-0.048106,-0.298936,2.278830,5.437473,-2.604049,-1.078955,-0.060018,-0.354262,-0.933218
0.066774,-0.313953,1.905736,3.421493,-1.119670,-1.155288,-0.073701,-0.396175,-0.915212
0.176992,-0.047476,1.564665,1.412309,0.921499,-0.728601,-0.070562,-0.419031,-0.905226
0.274803,0.232898,1.632822,-0.650663,2.315006,-0.076061,-0.053642,-0.422717,-0.904673
0.314572,0.325618,2.050370,-2.444998,2.770038,0.435731,-0.030774,-0.408244,-0.912354
0.251975,0.252763,2.323654,-3.768831,2.543586,0.652142,-0.008079,-0.379167,-0.925293
0.149310,0.100928,2.354944,-4.628431,1.743899,0.602652,0.009930,-0.339438,-0.940576
0.075571,0.030483,2.182689,-4.851634,0.715584,0.380290,0.020101,-0.293956,-0.955608
-0.061838,0.049943,1.808737,-4.636001,-0.215712,0.106133,0.021753,-0.247956,-0.968527
-0.141666,0.101965,1.398130,-4.364259,-1.009010,-0.136236,0.015689,-0.203909,-0.978864
-0.174315,0.244429,1.027760,-4.154265,-1.566396,-0.297459,0.003187,-0.161787,-0.986821
-0.182999,0.378759,0.655184,-3.958406,-1.824672,-0.326586,-0.013443,-0.121420,-0.992510
-0.164192,0.453370,0.271040,-3.735121,-1.754233,-0.257110,-0.031212,-0.082993,-0.996061
-0.116982,0.460679,-0.065290,-3.504392,-1.441037,-0.131817,-0.047202,-0.046769,-0.997790
-0.075236,0.407033,-0.299535,-3.288352,-1.052399,-0.006625,-0.059728,-0.012730,-0.998133
-0.036967,0.326284,-0.427815,-3.130443,-0.651558,0.076407,-0.068258,0.019449,-0.997478
-0.008701,0.257347,-0.477343,-3.035995,-0.348579,0.129434,-0.073162,0.050408,-0.996045
0.013684,0.212777,-0.466344,-2.981290,-0.163860,0.153850,-0.075573,0.080619,-0.993876
0.037852,0.178322,-0.452631,-2.874750,-0.077986,0.153548,-0.076579,0.110039,-0.990973
0.051880,0.143801,-0.470555,-2.618384,-0.066588,0.149897,-0.077088,0.137602,-0.987483
0.047708,0.120668,-0.515731,-2.194739,-0.061015,0.146081,-0.077523,0.161666,-0.983796
0.035861,0.108518,-0.576018,-1.666891,-0.034590,0.166192,-0.077746,0.180896,-0.980424
0.033355,0.101331,-0.604731,-1.146617,-0.009313,0.219838,-0.077590,0.194858,-0.977758
0.027285,0.100314,-0.588693,-0.704007,0.012960,0.291731,-0.077059,0.204099,-0.975913
0.018863,0.094327,-0.548063,-0.371437,0.024580,0.358016,-0.076190,0.209552,-0.974825
