ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.478480,0.521923,-0.976139,5.973067,0.481007,-0.085714,-0.675985,0.623234,0.393223
-0.585996,0.582229,-0.940254,6.265465,0.596093,-0.188005,-0.678866,0.645188,0.350533
-0.665386,0.596052,-0.947051,6.607043,0.742649,-0.348759,-0.682804,0.664553,0.303558
-0.709273,0.648030,-0.929825,7.021926,0.794179,-0.582667,-0.688112,0.680400,0.252106
-0.819234,0.826665,-0.839558,7.483982,0.720712,-0.833658,-0.694728,0.691844,0.196736
-0.811348,0.820460,-0.780887,7.889627,0.674339,-1.085802,-0.702613,0.698049,0.138065
-0.833807,0.934214,-0.757347,8.190436,0.709123,-1.319110,-0.711817,0.698171,0.076638
-0.848002,1.088294,-0.729663,8.447273,0.796330,-1.481149,-0.721990,0.691781,0.013019
-0.877226,1.278077,-0.693375,8.721663,0.865132,-1.552522,-0.732317,0.678955,-0.052277
-0.917881,1.464398,-0.640761,9.004073,0.934310,-1.599932,-0.742154,0.659641,-0.118669
-0.945674,1.587702,-0.593185,9.244363,1.011692,-1.695400,-0.751363,0.633306,-0.185410
-0.949330,1.654324,-0.530245,9.373421,1.098296,-1.856081,-0.760052,0.599323,-0.251265
-0.955405,1.696409,-0.472335,9.336375,1.238063,-2.043354,-0.768106,0.557543,-0.314896
-0.942386,1.724361,-0.421357,9.126324,1.407328,-2.223536,-0.774976,0.508870,-0.374785
-0.888592,1.750238,-0.342853,8.786574,1.593661,-2.363744,-0.780033,0.454596,-0.429989
-0.814332,1.774210,-0.260020,8.376651,1.800019,-2.440407,-0.782561,0.396353,-0.480107
-0.722837,1.783731,-0.179399,7.939789,1.983065,-2.440445,-0.781985,0.335837,-0.525084
-0.616070,1.782287,-0.092667,7.511977,2.112257,-2.358728,-0.778110,0.274597,-0.564926
-0.504832,1.762716,0.008231,7.103702,2.208250,-2.230875,-0.771092,0.213892,-0.599722
-0.399682,1.725241,0.093938,6.720703,2.317838,-2.097893,-0.761100,0.154443,-0.629979
-0.304831,1.677384,0.162575,6.345168,2.403552,-1.966802,-0.748376,0.096740,-0.656182
-0.225882,1.632810,0.246591,5.983117,2.427864,-1.830591,-0.733453,0.041201,-0.678490
-0.148307,1.585823,0.329812,5.655125,2.409391,-1.682101,-0.716958,-0.011879,-0.697015
-0.073776,1.532369,0.407424,5.359569,2.378993,-1.527528,-0.699387,-0.062337,-0.712020
-0.007946,1.472616,0.473466,5.071484,2.334057,-1.395345,-0.681095,-0.110143,-0.723863
0.053280,1.405256,0.528401,4.786359,2.241164,-1.270704,-0.662533,-0.155271,-0.732762
0.102453,1.341746,0.589604,4.482531,2.097708,-1.155473,-0.644293,-0.197566,-0.738819
0.138457,1.296311,0.646071,4.146740,1.898948,-1.042127,-0.626982,-0.236756,-0.742186
0.165515,1.277382,0.697659,3.785385,1.676332,-0.912277,-0.611118,-0.272484,-0.743161
0.180259,1.271149,0.727960,3.424519,1.456014,-0.752193,-0.597007,-0.304475,-0.742211
0.205482,1.258945,0.742882,3.079353,1.249453,-0.566158,-0.584815,-0.332630,-0.739830
0.236965,1.234205,0.759132,2.754200,1.034074,-0.381393,-0.574687,-0.357039,-0.736381
0.262886,1.193317,0.779217,2.433723,0.823108,-0.224523,-0.566735,-0.377918,-0.732113
0.281570,1.138914,0.789867,2.116052,0.612256,-0.110842,-0.560821,-0.395552,-0.727337
0.298334,1.086307,0.799134,1.800055,0.395713,-0.015917,-0.556894,-0.410159,-0.722245
0.314871,1.050585,0.805826,1.500968,0.182613,0.072394,-0.554953,-0.421923,-0.716944
0.329429,1.022072,0.804641,1.213685,-0.018942,0.161823,-0.554878,-0.431008,-0.711578
0.341599,0.997120,0.802385,0.927296,-0.200925,0.249257,-0.556565,-0.437489,-0.706285
0.348439,0.980806,0.800240,0.633535,-0.362518,0.341309,-0.559895,-0.441362,-0.701225
0.354549,0.966582,0.787606,0.307270,-0.438722,0.424684,-0.564449,-0.442519,-0.696832
0.353732,0.949282,0.754426,-0.057530,-0.458047,0.525235,-0.569705,-0.440706,-0.693696
0.351051,0.943859,0.729514,-0.445504,-0.446143,0.664952,-0.575478,-0.435543,-0.692191
0.357449,0.945795,0.714658,-0.830796,-0.438085,0.830833,-0.581783,-0.426752,-0.692395
0.366234,0.934598,0.717618,-1.194263,-0.459339,0.999864,-0.588768,-0.414288,-0.694058
0.368876,0.920582,0.727340,-1.521275,-0.534769,1.166403,-0.596644,-0.398304,-0.696685
0.366029,0.906885,0.749543,-1.783954,-0.678879,1.325963,-0.605744,-0.379129,-0.699525
0.362108,0.897588,0.778011,-1.982496,-0.907189,1.476031,-0.616487,-0.357213,-0.701671
0.358522,0.890890,0.812289,-2.134039,-1.219028,1.624355,-0.629335,-0.332953,-0.702197
0.349409,0.890985,0.842850,-2.260815,-1.605241,1.781461,-0.644743,-0.306543,-0.700242
0.325797,0.904961,0.853102,-2.372751,-2.019698,1.950453,-0.662955,-0.278008,-0.695128
