ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.228399,0.175163,0.506991,-1.643673,-3.065651,-0.340090,0.147696,-0.774238,-0.615420
-0.218100,0.149458,0.532344,-1.971530,-2.802902,-0.528613,0.132682,-0.762312,-0.633464
-0.177938,0.143303,0.483176,-2.364854,-2.412499,-0.559391,0.119955,-0.747566,-0.653266
-0.118746,0.137737,0.329760,-2.618537,-1.823828,-0.427519,0.109484,-0.730251,-0.674349
-0.071673,0.076506,0.092675,-2.600533,-1.147441,-0.227595,0.101626,-0.711806,-0.694985
-0.039205,-0.020311,-0.157218,-2.321142,-0.539332,-0.075674,0.096761,-0.694136,-0.713311
0.018273,-0.134488,-0.407552,-1.864134,-0.211330,-0.037269,0.094581,-0.678866,-0.728145
0.103183,-0.236658,-0.607735,-1.336036,-0.389668,-0.083323,0.092983,-0.666999,-0.739234
0.199689,-0.273895,-0.670621,-0.837968,-1.044342,-0.139062,0.088564,-0.658799,-0.747088
0.260214,-0.235249,-0.627307,-0.408838,-1.946396,-0.157587,0.078332,-0.653988,-0.752439
0.257978,-0.140315,-0.527281,-0.027322,-2.761318,-0.140893,0.061342,-0.652241,-0.755525
0.217650,-0.048443,-0.425336,0.310731,-3.288612,-0.124316,0.039079,-0.653263,-0.756122
0.165007,0.013532,-0.292218,0.594486,-3.522385,-0.085086,0.013795,-0.656659,-0.754061
0.107076,0.067522,-0.089987,0.830036,-3.489712,0.037404,-0.012609,-0.662051,-0.749353
0.053578,0.118475,0.155778,1.022584,-3.208058,0.250949,-0.038792,-0.668966,-0.742280
-0.005864,0.175232,0.397051,1.170583,-2.632152,0.490496,-0.063106,-0.676895,-0.733369
-0.046614,0.209079,0.593227,1.255027,-1.837116,0.637924,-0.083467,-0.685382,-0.723384
-0.055360,0.231944,0.746609,1.229180,-0.986684,0.602321,-0.098036,-0.693828,-0.713437
-0.046493,0.239677,0.853497,1.084248,-0.234875,0.414149,-0.105927,-0.701591,-0.704663
-0.023817,0.248783,0.928633,0.839463,0.327290,0.178198,-0.107622,-0.708103,-0.697859
0.008028,0.267172,0.947606,0.473669,0.690423,-0.041370,-0.104433,-0.712698,-0.693653
0.031622,0.251881,0.888976,-0.031023,0.861327,-0.205161,-0.098074,-0.714421,-0.692809
0.041192,0.213650,0.747034,-0.606741,1.036358,-0.306507,-0.089654,-0.712429,-0.695993
0.062706,0.175879,0.423143,-1.044309,1.451719,-0.345397,-0.078652,-0.706793,-0.703034
0.090231,0.093332,-0.038483,-1.142077,1.895811,-0.345665,-0.064230,-0.699075,-0.712157
0.105223,0.028096,-0.434422,-0.784718,2.142522,-0.315090,-0.047255,-0.692113,-0.720241
0.167687,0.012451,-0.782796,0.002404,2.066035,-0.227553,-0.029855,-0.689224,-0.723933
0.297961,-0.017062,-1.097186,0.961962,1.466342,-0.216470,-0.015246,-0.692777,-0.720990
0.408744,-0.050482,-1.179697,1.825724,0.201324,-0.327682,-0.007102,-0.702920,-0.711233
0.429520,-0.060511,-0.981200,2.440734,-1.150923,-0.444349,-0.007828,-0.718191,-0.695802
0.344026,-0.033578,-0.787881,2.680184,-2.048034,-0.504003,-0.015581,-0.736091,-0.676703
0.179055,0.027716,-0.619370,2.566339,-2.490352,-0.525703,-0.027078,-0.753912,-0.656417
0.052456,0.081802,-0.329971,2.227792,-2.565946,-0.492218,-0.039715,-0.769745,-0.637115
-0.061242,0.151925,0.006377,1.766499,-2.312610,-0.371627,-0.051856,-0.782601,-0.620360
-0.166316,0.229253,0.294066,1.264710,-1.814986,-0.232882,-0.062276,-0.792135,-0.607161
-0.222780,0.285541,0.514440,0.752850,-1.270262,-0.166891,-0.070052,-0.798374,-0.598073
-0.200096,0.336295,0.697383,0.270322,-0.770492,-0.193084,-0.074745,-0.801535,-0.593257
-0.156374,0.399718,0.815202,-0.106812,-0.298741,-0.309579,-0.075926,-0.802154,-0.592271
-0.130348,0.418648,0.839732,-0.323021,0.041042,-0.473744,-0.073479,-0.801110,-0.593989
-0.099427,0.416576,0.876468,-0.468641,0.222862,-0.625884,-0.068206,-0.799129,-0.597278
-0.061154,0.440621,0.905633,-0.672975,0.374735,-0.727476,-0.060962,-0.796167,-0.601999
-0.033899,0.419760,0.841813,-1.022996,0.536263,-0.775722,-0.052131,-0.791495,-0.608948
-0.016396,0.346982,0.727535,-1.525231,0.652286,-0.727886,-0.042442,-0.784039,-0.619258
-0.002286,0.277648,0.571329,-2.091992,0.901637,-0.528496,-0.032641,-0.772872,-0.633722
-0.001681,0.224484,0.279210,-2.497379,1.410349,-0.239575,-0.022290,-0.758038,-0.651829
0.016359,0.141440,-0.173813,-2.572499,1.907289,0.037393,-0.010423,-0.741035,-0.671386
0.082865,0.079202,-0.565864,-2.240705,2.305883,0.222526,0.003027,-0.724375,-0.689400
0.148478,0.068219,-1.005050,-1.398025,2.420437,0.222461,0.018117,-0.711423,-0.702531
0.253678,0.020202,-1.363779,-0.089411,1.781194,-0.055016,0.032683,-0.706024,-0.707434
0.364078,-0.113204,-1.367972,1.300445,0.465399,-0.489107,0.042783,-0.710283,-0.702615
