ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.522854,0.078189,-0.271357,-3.989538,-1.957209,-3.026386,-0.474567,0.480954,-0.737204
-0.505545,0.065473,-0.380788,-4.029533,-0.919870,-3.188688,-0.500513,0.494860,-0.710352
-0.524587,0.129364,-0.487752,-3.904692,0.095317,-3.225930,-0.519496,0.506302,-0.688319
-0.399125,0.302103,-0.390550,-3.680138,0.858665,-3.255422,-0.532805,0.515112,-0.671400
-0.390068,0.296244,-0.402425,-3.381859,1.573183,-3.338035,-0.541863,0.520971,-0.659526
-0.283246,0.381888,-0.304364,-3.056066,2.384395,-3.521814,-0.546817,0.523431,-0.653460
-0.181605,0.436890,-0.228213,-2.836482,2.982866,-3.695530,-0.548086,0.522796,-0.652906
-0.131083,0.511373,-0.067692,-2.857237,3.137459,-3.742433,-0.547322,0.520884,-0.655071
-0.037805,0.549346,0.068273,-2.953648,2.949226,-3.644823,-0.546561,0.519730,-0.656622
0.120007,0.542186,0.120391,-2.847351,2.681467,-3.386869,-0.546353,0.519628,-0.656875
0.242984,0.572441,0.145682,-2.509731,2.259927,-3.025189,-0.546725,0.519768,-0.656455
0.331368,0.654340,0.191321,-2.005187,1.716590,-2.650579,-0.548409,0.519092,-0.655584
0.407098,0.754827,0.231572,-1.400874,1.105574,-2.265756,-0.551889,0.516749,-0.654515
0.479521,0.806416,0.266401,-0.807731,0.468395,-1.951344,-0.557585,0.512264,-0.653211
0.573484,0.767715,0.279025,-0.303380,-0.189312,-1.720770,-0.566053,0.505509,-0.651187
0.653455,0.723396,0.262079,0.049842,-0.771756,-1.539240,-0.577466,0.496910,-0.647775
0.688214,0.729237,0.191479,0.257615,-1.101454,-1.354007,-0.590848,0.487346,-0.642956
0.687742,0.797882,0.062582,0.340104,-1.133007,-1.069847,-0.604062,0.478042,-0.637640
0.683967,0.904617,-0.057708,0.304788,-0.986831,-0.638324,-0.614997,0.470658,-0.632661
0.717908,0.958411,-0.134551,0.205320,-0.756231,-0.103085,-0.622266,0.466668,-0.628495
0.759796,0.952332,-0.152773,0.099750,-0.603747,0.492310,-0.625626,0.466934,-0.624952
0.769432,0.950307,-0.121306,-0.007160,-0.459358,1.049662,-0.625328,0.471522,-0.621797
0.748078,0.931508,-0.158517,-0.062317,-0.213503,1.576479,-0.621186,0.480007,-0.619452
0.701131,0.936871,-0.232905,-0.017448,0.127025,2.120135,-0.612463,0.491764,-0.618917
0.632094,0.949003,-0.305388,0.136499,0.484477,2.665892,-0.598510,0.506029,-0.621064
0.563331,0.931703,-0.317953,0.367767,0.738101,3.125250,-0.579596,0.521682,-0.626032
0.520082,0.859476,-0.255674,0.637029,0.801885,3.443925,-0.557099,0.537329,-0.633181
0.476992,0.764596,-0.155864,0.894086,0.679432,3.634931,-0.532855,0.551856,-0.641499
0.418001,0.699436,-0.063187,1.112301,0.457230,3.733307,-0.508409,0.564633,-0.650162
0.355245,0.666861,-0.004780,1.297771,0.189147,3.788703,-0.484701,0.575479,-0.658702
0.295091,0.667877,0.032634,1.486365,-0.087165,3.860395,-0.462068,0.584397,-0.667064
0.254740,0.672625,0.064381,1.665671,-0.320556,3.971786,-0.440333,0.591520,-0.675434
0.237403,0.653593,0.076090,1.798543,-0.607568,4.146252,-0.419242,0.597185,-0.683817
0.206710,0.661861,0.121793,1.859133,-0.854495,4.354583,-0.398712,0.601978,-0.691846
0.161070,0.666950,0.119437,1.854822,-1.000692,4.613819,-0.378005,0.606457,-0.699515
0.088132,0.659091,0.081378,1.784696,-1.067893,4.939378,-0.356107,0.611188,-0.706850
-0.000939,0.646094,0.046687,1.648098,-1.076054,5.303405,-0.332175,0.616631,-0.713740
-0.108114,0.612483,-0.005856,1.468251,-0.943347,5.636122,-0.305400,0.622945,-0.720188
-0.228299,0.554742,-0.084939,1.264412,-0.638869,5.851081,-0.274966,0.629798,-0.726463
-0.337562,0.487856,-0.147834,1.056096,-0.333631,5.915010,-0.240930,0.636595,-0.732598
-0.434219,0.423970,-0.128101,0.892697,-0.165850,5.836650,-0.204850,0.642619,-0.738293
-0.520807,0.367771,-0.065482,0.815520,-0.121274,5.699395,-0.168417,0.647137,-0.743539
-0.599396,0.329095,-0.027660,0.815211,-0.134848,5.542883,-0.132691,0.649573,-0.748631
-0.662324,0.265087,-0.046192,0.907743,-0.320230,5.366661,-0.098663,0.649464,-0.753964
-0.727721,0.204935,-0.012960,1.098093,-0.554911,5.110574,-0.067796,0.646246,-0.760112
-0.778219,0.134882,-0.008985,1.346757,-0.728388,4.754671,-0.040782,0.639562,-0.767657
-0.809399,0.062483,-0.024116,1.596366,-0.764309,4.341633,-0.017566,0.629442,-0.776849
-0.811352,0.009505,-0.041176,1.764325,-0.679301,3.895294,0.002544,0.616487,-0.787361
-0.780982,-0.026429,-0.053304,1.839911,-0.446275,3.469618,0.020575,0.601640,-0.798503
-0.739934,-0.030197,-0.055890,1.811330,-0.170371,3.113798,0.037755,0.585846,-0.809543
