ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.115703,0.427126,-0.202806,-0.456818,-0.295146,-1.025905,-0.774639,0.087904,-0.626265
0.109203,0.387480,-0.183775,-0.577460,-0.589823,-1.311591,-0.778179,0.082109,-0.622652
0.038444,0.329972,-0.150203,-0.675351,-1.124732,-1.709790,-0.784736,0.074172,-0.615376
-0.023885,0.277416,-0.201153,-0.745267,-1.379519,-2.078015,-0.793879,0.063465,-0.604755
-0.018363,0.242123,-0.273573,-0.817030,-1.370795,-2.369025,-0.803506,0.050251,-0.593172
0.046967,0.218200,-0.258905,-0.895992,-1.264940,-2.570525,-0.812379,0.035188,-0.582068
0.137554,0.230287,-0.229332,-0.953460,-1.122414,-2.660511,-0.820034,0.019026,-0.571998
0.213873,0.278629,-0.228757,-0.969012,-0.900036,-2.626171,-0.826147,0.002606,-0.563449
0.278071,0.322776,-0.267547,-0.944738,-0.586154,-2.508992,-0.830225,-0.013419,-0.557266
0.349640,0.323715,-0.291415,-0.893687,-0.154863,-2.356844,-0.831833,-0.028610,-0.554288
0.411458,0.286032,-0.301451,-0.815447,0.395001,-2.216649,-0.830358,-0.042929,-0.555574
0.448179,0.230759,-0.297647,-0.698314,0.939046,-2.112248,-0.825514,-0.056672,-0.561530
0.463107,0.177470,-0.259964,-0.518343,1.421481,-2.040693,-0.817431,-0.070338,-0.571716
0.457708,0.141986,-0.235758,-0.296310,1.672103,-2.032304,-0.806738,-0.084552,-0.584829
0.452953,0.121710,-0.206134,-0.063848,1.575180,-2.070603,-0.795070,-0.099997,-0.598217
0.429580,0.115284,-0.165474,0.156625,1.365024,-2.085033,-0.783905,-0.116810,-0.609794
0.401149,0.112177,-0.175982,0.367814,1.422662,-2.056040,-0.772822,-0.134638,-0.620176
0.414168,0.096165,-0.218889,0.461941,0.701100,-1.645804,-0.762755,-0.152196,-0.628523
0.852461,-0.121610,-0.113621,0.680566,1.149203,-0.664137,-0.755568,-0.164462,-0.634090
0.823051,-0.103257,-0.443728,0.971579,1.602043,-0.010459,-0.745811,-0.172179,-0.643522
0.539755,0.015268,-0.290475,1.101105,1.104047,0.301333,-0.736944,-0.177850,-0.652137
0.482752,-0.242999,-0.274932,1.156785,1.582460,0.244377,-0.729334,-0.183011,-0.659226
0.319446,-0.368989,-0.419051,1.342826,2.173055,-0.115289,-0.716434,-0.190765,-0.671067
0.082843,-0.215123,-0.021979,1.518987,1.491915,-0.499656,-0.702854,-0.202785,-0.681818
-0.037928,-0.049208,0.295736,1.590673,0.600931,-0.799671,-0.694509,-0.218156,-0.685613
-0.134141,0.038114,0.135445,1.318390,0.878410,-1.058222,-0.687286,-0.234861,-0.687371
-0.249785,0.140739,-0.045758,0.736223,0.624660,-1.261950,-0.679262,-0.249992,-0.690006
-0.175589,0.215843,0.028052,0.346588,1.045040,-1.319405,-0.670435,-0.262474,-0.693992
-0.132896,0.307493,-0.083967,0.127838,1.785002,-1.324158,-0.656914,-0.272916,-0.702837
-0.077365,0.288277,0.001365,-0.010018,2.446419,-1.454929,-0.637754,-0.282357,-0.716620
-0.015753,0.208071,0.122269,-0.162862,2.712977,-1.573517,-0.614497,-0.291262,-0.733185
-0.015654,0.172114,0.190688,-0.280015,2.941763,-1.728801,-0.588549,-0.299525,-0.750930
-0.059671,0.138543,0.132294,-0.300554,3.359764,-1.998294,-0.558829,-0.307977,-0.769974
-0.103498,0.115887,0.047188,-0.190970,3.792527,-2.268512,-0.524036,-0.317608,-0.790261
-0.126829,0.131208,0.024104,0.065767,4.191922,-2.459534,-0.484148,-0.329054,-0.810755
-0.174047,0.169214,0.031883,0.466851,4.437382,-2.571969,-0.439875,-0.342920,-0.830010
-0.222001,0.204464,0.096923,0.947554,4.321598,-2.574927,-0.393645,-0.359676,-0.845977
-0.261274,0.223687,0.171730,1.447587,4.025527,-2.490383,-0.348452,-0.379403,-0.857108
-0.297284,0.224301,0.160517,1.936868,3.677579,-2.342122,-0.305591,-0.402035,-0.863123
-0.291950,0.238873,0.143826,2.342742,3.377678,-2.086018,-0.265790,-0.427075,-0.864270
-0.231023,0.298754,0.116847,2.631389,3.355205,-1.747502,-0.228221,-0.453509,-0.861536
-0.169403,0.368845,0.049963,2.789991,3.556783,-1.379605,-0.191086,-0.480296,-0.856039
-0.111241,0.404261,-0.005336,2.745666,3.599888,-1.039888,-0.154155,-0.506297,-0.848469
-0.049458,0.368768,0.014886,1.946422,2.593150,-0.835808,-0.122585,-0.528039,-0.840326
-0.000809,0.222525,0.091522,1.179781,2.817801,-0.592466,-0.096756,-0.541831,-0.834900
-0.129664,0.196638,-0.191708,0.302118,3.350740,-0.494216,-0.068059,-0.548521,-0.833363
-0.193069,0.155163,-0.227175,-0.419769,4.188639,-0.485751,-0.033769,-0.548183,-0.835676
-0.229084,0.123524,-0.227846,-0.986512,4.821677,-0.529697,0.007129,-0.542241,-0.840193
-0.198388,0.130339,-0.158297,-1.393840,5.296996,-0.616672,0.053125,-0.531904,-0.845136
-0.165887,0.146008,-0.114356,-1.654685,5.761121,-0.738331,0.103768,-0.518292,-0.848885
