ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.373663,0.219240,0.302441,0.089387,-0.935691,2.132910,-0.775991,-0.515795,-0.363034
0.387463,0.217762,0.299208,0.200536,-1.210258,2.266462,-0.791073,-0.498982,-0.353865
0.383939,0.236565,0.268019,0.385571,-1.468933,2.415320,-0.807309,-0.481179,-0.341642
0.372820,0.265198,0.214252,0.627025,-1.661960,2.585442,-0.824435,-0.462372,-0.326374
0.367669,0.283077,0.159762,0.899181,-1.767117,2.754103,-0.842080,-0.442409,-0.308504
0.354337,0.278946,0.115246,1.163452,-1.869565,2.889861,-0.859785,-0.421357,-0.288494
0.349850,0.285933,0.101941,1.417971,-1.994617,3.033711,-0.877392,-0.399077,-0.266309
0.348083,0.289685,0.087524,1.682177,-2.168742,3.119708,-0.894729,-0.375546,-0.241714
0.310077,0.231075,0.055294,1.891821,-2.335289,3.060782,-0.911243,-0.351483,-0.214703
0.231890,0.141242,0.003985,2.024813,-2.406822,2.797063,-0.926089,-0.328269,-0.186007
0.129689,0.000446,-0.070127,2.063683,-2.384273,2.403678,-0.938557,-0.307376,-0.156939
0.066536,-0.194954,-0.130503,1.940974,-2.245208,1.970512,-0.948464,-0.289513,-0.128836
0.021261,-0.331132,-0.172520,1.588087,-2.040209,1.592848,-0.956000,-0.274581,-0.103298
-0.019730,-0.379983,-0.186191,1.054613,-1.852334,1.306114,-0.961700,-0.261893,-0.080899
-0.110683,-0.403328,-0.199497,0.419606,-1.542942,1.064597,-0.965992,-0.250923,-0.062421
-0.252852,-0.471736,-0.256999,-0.176511,-0.989024,0.606143,-0.968797,-0.242802,-0.049794
-0.357276,-0.564919,-0.293977,-0.823579,-0.413509,0.238410,-0.970116,-0.238593,-0.044127
-0.381059,-0.703739,-0.271936,-1.429618,-0.057521,0.022089,-0.970519,-0.236828,-0.044791
-0.409638,-0.778847,-0.129898,-1.908308,-0.059236,-0.239889,-0.970291,-0.237053,-0.048386
-0.402260,-0.852827,0.041218,-2.289300,-0.330315,-0.544234,-0.969444,-0.239809,-0.051670
-0.324819,-0.918774,0.154323,-2.606439,-0.806939,-0.861026,-0.968028,-0.245349,-0.052211
-0.278003,-0.973937,0.219017,-2.870074,-1.349173,-1.176118,-0.966016,-0.253877,-0.048577
-0.301443,-0.968840,0.211742,-3.107093,-1.780186,-1.470236,-0.963267,-0.265382,-0.041103
-0.367835,-0.912108,0.127253,-3.330909,-2.017061,-1.710678,-0.959588,-0.279649,-0.031428
-0.414664,-0.850603,0.013341,-3.544962,-1.994735,-1.806177,-0.955011,-0.295760,-0.021916
-0.416071,-0.779524,-0.088933,-3.743007,-1.783580,-1.750338,-0.949896,-0.312212,-0.014888
-0.389378,-0.702393,-0.135975,-3.911050,-1.511846,-1.598908,-0.944713,-0.327698,-0.011486
-0.364732,-0.631602,-0.123843,-4.056191,-1.221720,-1.441729,-0.939757,-0.341634,-0.011960
-0.341248,-0.588161,-0.084787,-4.161606,-1.059541,-1.342781,-0.935058,-0.354146,-0.015722
-0.348086,-0.556740,-0.014596,-4.217090,-1.022123,-1.377015,-0.930341,-0.366082,-0.021201
-0.345018,-0.516028,0.054907,-4.201731,-1.181267,-1.395585,-0.925399,-0.378046,-0.026816
-0.286374,-0.493877,0.130262,-4.112774,-1.428705,-1.374718,-0.920429,-0.389699,-0.030760
-0.242565,-0.484873,0.156144,-3.984461,-1.645329,-1.385086,-0.915439,-0.401129,-0.032654
-0.249813,-0.472317,0.145287,-3.814019,-1.823506,-1.440485,-0.910236,-0.412800,-0.032662
-0.256118,-0.461020,0.097014,-3.623939,-1.973430,-1.546381,-0.904557,-0.425226,-0.030974
-0.269562,-0.439001,0.027224,-3.445910,-2.058620,-1.703015,-0.898071,-0.438959,-0.027972
-0.298982,-0.400530,-0.040474,-3.301242,-2.024646,-1.888004,-0.890517,-0.454282,-0.024636
-0.319192,-0.347008,-0.095348,-3.193714,-1.860753,-2.072351,-0.881735,-0.471214,-0.022374
-0.332497,-0.287799,-0.118317,-3.088179,-1.679157,-2.192719,-0.871788,-0.489392,-0.021957
-0.330360,-0.215324,-0.091721,-2.976053,-1.532327,-2.234716,-0.861016,-0.508049,-0.023193
-0.286534,-0.134090,-0.055165,-2.858069,-1.410027,-2.233233,-0.849743,-0.526570,-0.025722
-0.201969,-0.053120,-0.030474,-2.753149,-1.288046,-2.245161,-0.838055,-0.544795,-0.029356
-0.119092,0.007097,-0.006714,-2.671427,-1.166694,-2.280022,-0.825839,-0.562868,-0.034195
-0.064819,0.055862,0.044675,-2.638914,-0.926236,-2.391957,-0.812836,-0.581069,-0.040693
-0.040701,0.084219,0.073784,-2.641328,-0.525062,-2.599990,-0.798365,-0.600058,-0.050438
-0.008237,0.095924,0.078827,-2.385332,0.467639,-2.866562,-0.781664,-0.620277,-0.065247
0.010509,0.113274,-0.203904,-1.722210,1.111776,-3.125990,-0.761944,-0.642052,-0.084914
0.045743,0.126695,-0.077590,-1.023716,1.597719,-3.382848,-0.739255,-0.665315,-0.104204
0.026351,0.132539,0.039590,-0.346285,1.823905,-3.619770,-0.713393,-0.690156,-0.121469
0.020543,0.210159,0.118009,0.243752,1.848643,-3.832576,-0.684637,-0.716324,-0.134733
