ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.062342,0.215711,-0.056748,0.365796,-1.958885,1.248646,-0.575582,-0.318418,-0.753204
-0.056127,0.213563,-0.095844,0.128103,-2.062280,1.142936,-0.594477,-0.313157,-0.740628
0.037215,0.227191,-0.041118,0.031366,-2.048404,1.021300,-0.613127,-0.307102,-0.727849
0.104517,0.236880,-0.065970,0.063152,-1.990923,0.877384,-0.630701,-0.301455,-0.715082
0.056121,0.176313,-0.080420,0.125848,-1.692866,0.716607,-0.646285,-0.296979,-0.702936
0.084553,0.159687,-0.118363,0.208370,-1.317749,0.568577,-0.658772,-0.293965,-0.692535
0.158774,0.173914,-0.103250,0.302976,-0.919460,0.436932,-0.668052,-0.292368,-0.684272
0.182465,0.179068,-0.111346,0.409672,-0.505465,0.290369,-0.673951,-0.292365,-0.678464
0.161896,0.185227,-0.128489,0.522810,-0.264636,0.135155,-0.677139,-0.294084,-0.674535
0.146396,0.180996,-0.088956,0.635900,-0.148827,-0.035284,-0.678668,-0.297665,-0.671420
0.096866,0.142978,-0.064566,0.710259,-0.023639,-0.204458,-0.678882,-0.303058,-0.668786
0.046849,0.115459,-0.038234,0.733116,0.083553,-0.310359,-0.677846,-0.309718,-0.666783
0.046834,0.136456,0.003708,0.717350,0.403916,-0.341841,-0.675511,-0.316815,-0.665817
0.029734,0.208231,-0.018743,0.670115,1.207885,-0.371179,-0.668986,-0.323908,-0.668986
0.001981,0.261218,-0.020927,0.578825,2.105292,-0.390186,-0.656568,-0.330692,-0.677910
0.020918,0.248665,0.004925,0.470355,3.154977,-0.423347,-0.637037,-0.336967,-0.693280
-0.002814,0.218441,0.011424,0.324549,4.096190,-0.426897,-0.609933,-0.342480,-0.714625
-0.013979,0.188621,0.046724,0.142731,5.146548,-0.431313,-0.574553,-0.346763,-0.741380
0.065956,0.085262,-0.026584,-0.650982,3.086058,-0.506808,-0.538307,-0.348095,-0.767499
0.747523,-0.373651,0.560032,-2.165760,0.266411,-0.853097,-0.526957,-0.340003,-0.778919
0.771703,-0.457976,0.111632,-2.277467,1.784723,-0.862189,-0.516378,-0.326738,-0.791579
-0.141469,0.078759,-0.567809,-2.176166,3.008750,-0.761384,-0.493724,-0.313027,-0.811326
-0.133551,0.042968,-0.179338,-2.173228,2.936819,-0.441444,-0.466928,-0.298018,-0.832564
0.058583,-0.004310,0.031302,-2.152015,3.086033,-0.105372,-0.440983,-0.280908,-0.852423
-0.010538,0.042049,-0.059596,-2.130540,3.502956,0.126865,-0.412420,-0.262264,-0.872426
-0.104021,0.098010,-0.043539,-2.131939,3.784421,0.255093,-0.380491,-0.242572,-0.892404
-0.125321,0.113420,0.031920,-2.128876,4.002219,0.305244,-0.345840,-0.222200,-0.911604
-0.158099,0.101818,0.041035,-2.135710,4.249721,0.332973,-0.308301,-0.201412,-0.929722
-0.200314,0.096255,0.046442,-2.171687,4.482460,0.353670,-0.267780,-0.180102,-0.946497
-0.196413,0.082176,0.066800,-2.217597,4.816742,0.344548,-0.223890,-0.158150,-0.961697
-0.178759,0.051749,0.028265,-2.193000,5.537117,0.294720,-0.174253,-0.135947,-0.975271
-0.207689,0.021190,-0.115214,-2.104446,6.738400,0.186883,-0.114195,-0.114376,-0.986852
-0.257941,-0.026675,-0.234624,-1.974875,7.402771,0.011238,-0.042657,-0.093870,-0.994670
-0.212346,-0.086079,-0.056886,-1.682359,5.841003,-0.059814,0.024022,-0.075511,-0.996856
-0.066412,-0.081234,0.234579,-1.328077,4.621788,-0.086992,0.076696,-0.060291,-0.995230
-0.014477,-0.054302,0.115635,-0.821439,3.299811,0.000485,0.115826,-0.049427,-0.992039
0.059494,-0.031922,0.095625,-0.238069,2.775395,0.124568,0.145706,-0.044189,-0.988341
0.048504,-0.019173,-0.029027,0.344247,2.734058,0.269662,0.172611,-0.045067,-0.983959
0.029758,-0.010385,-0.074765,0.860084,3.023535,0.393900,0.200772,-0.051672,-0.978274
-0.013378,-0.003492,-0.074175,1.330156,3.338124,0.479874,0.231716,-0.063387,-0.970716
-0.077922,-0.003215,-0.019090,1.750992,3.572141,0.513644,0.265010,-0.079640,-0.960951
-0.107347,-0.000067,0.033670,2.097975,3.617755,0.487863,0.299180,-0.099604,-0.948984
-0.104270,0.004473,0.074150,2.384808,3.550193,0.425587,0.332664,-0.122301,-0.935081
-0.091292,0.015661,0.082859,2.646394,3.409075,0.368785,0.364623,-0.147161,-0.919453
-0.067751,0.021201,0.077896,2.882065,3.268941,0.340200,0.394610,-0.173850,-0.902252
-0.042687,0.023724,0.065033,2.996947,3.064275,0.310968,0.422570,-0.201748,-0.883591
-0.009745,0.012541,0.080227,2.669190,2.441024,0.191565,0.446452,-0.228102,-0.865246
0.035872,-0.042025,0.129084,2.060465,2.070222,0.093525,0.465211,-0.249174,-0.849406
0.004348,-0.063324,0.036144,1.327238,2.054758,-0.031185,0.482529,-0.263779,-0.835216
-0.019651,-0.089043,-0.027615,0.546569,2.204792,-0.196503,0.500456,-0.271003,-0.822254
