ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.432019,0.493242,0.159093,2.120173,-2.057966,3.553046,0.747241,0.632323,0.204447
0.423468,0.533046,0.191778,2.305207,-2.034387,3.648200,0.773630,0.608998,0.174982
0.406792,0.567737,0.229460,2.464411,-2.026232,3.736768,0.799065,0.583599,0.144594
0.382830,0.602130,0.254612,2.586207,-2.012668,3.799984,0.823301,0.556118,0.113613
0.362228,0.642148,0.260970,2.674165,-1.992827,3.856784,0.846146,0.526538,0.082430
0.336178,0.685784,0.262757,2.743444,-1.963643,3.915621,0.867466,0.494834,0.051407
0.296309,0.726270,0.266736,2.808901,-1.933038,3.993333,0.887270,0.460787,0.020663
0.252883,0.754821,0.274915,2.861919,-1.924075,4.068343,0.905351,0.424561,-0.009396
0.211438,0.769026,0.304474,2.894557,-1.942957,4.134486,0.921618,0.386141,-0.038926
0.166926,0.773144,0.337652,2.892980,-1.961385,4.181365,0.935888,0.345706,-0.067830
0.114943,0.771819,0.354350,2.855241,-1.980956,4.193632,0.947953,0.303620,-0.095912
0.054243,0.756124,0.373154,2.782673,-1.999263,4.152748,0.957613,0.260478,-0.123001
-0.011335,0.732168,0.395831,2.682344,-1.999487,4.063105,0.964750,0.216974,-0.148929
-0.078115,0.711082,0.412048,2.556333,-1.965826,3.941681,0.969396,0.173775,-0.173416
-0.139670,0.693208,0.413302,2.408225,-1.872006,3.820826,0.971778,0.131270,-0.196002
-0.195492,0.687639,0.415110,2.249988,-1.738780,3.704446,0.972211,0.089628,-0.216273
-0.248651,0.693159,0.432775,2.092914,-1.578241,3.573190,0.970987,0.049135,-0.234030
-0.296498,0.691857,0.452738,1.947703,-1.390392,3.419031,0.968419,0.010109,-0.249125
-0.340844,0.674259,0.469084,1.824808,-1.185865,3.236903,0.964822,-0.027119,-0.261503
-0.382163,0.648706,0.484105,1.717057,-0.975406,3.022684,0.960517,-0.062189,-0.271184
-0.425838,0.619008,0.494527,1.622008,-0.767972,2.789361,0.955807,-0.094839,-0.278280
-0.469098,0.589105,0.499334,1.528482,-0.567382,2.535503,0.950956,-0.124857,-0.283010
-0.506593,0.563334,0.502639,1.429879,-0.374692,2.267030,0.946260,-0.152003,-0.285461
-0.540490,0.545227,0.496964,1.314504,-0.175801,1.997738,0.941949,-0.176193,-0.285813
-0.570562,0.533334,0.485495,1.173958,0.018661,1.731009,0.938223,-0.197381,-0.284216
-0.600125,0.525130,0.471584,1.007343,0.211875,1.474425,0.935223,-0.215575,-0.280864
-0.623291,0.515315,0.459635,0.821808,0.402661,1.221750,0.933060,-0.230800,-0.275919
-0.647910,0.507118,0.447263,0.614284,0.591803,0.979897,0.931800,-0.243095,-0.269544
-0.669779,0.495494,0.435123,0.387824,0.778103,0.746080,0.931482,-0.252513,-0.261874
-0.690806,0.483540,0.423937,0.143708,0.972728,0.515462,0.932124,-0.259114,-0.252993
-0.699762,0.474898,0.412850,-0.121095,1.152745,0.286727,0.933725,-0.262907,-0.242974
-0.699051,0.472144,0.409503,-0.407832,1.294020,0.049695,0.936203,-0.263876,-0.232150
-0.693304,0.476229,0.405568,-0.722513,1.416605,-0.191164,0.939474,-0.261935,-0.220860
-0.685861,0.482519,0.387569,-1.063775,1.540665,-0.438150,0.943491,-0.257040,-0.209178
-0.680146,0.490550,0.358424,-1.430080,1.668095,-0.695988,0.948212,-0.249095,-0.197093
-0.672228,0.500397,0.327427,-1.820614,1.804055,-0.956357,0.953570,-0.238068,-0.184467
-0.657326,0.515603,0.286095,-2.227422,1.959888,-1.195973,0.959435,-0.224084,-0.171089
-0.633763,0.538007,0.235407,-2.648191,2.117912,-1.440213,0.965657,-0.207318,-0.156611
-0.596598,0.572322,0.192990,-3.067252,2.230048,-1.692254,0.972025,-0.187785,-0.141080
-0.543059,0.608473,0.159810,-3.457243,2.269006,-1.943612,0.978270,-0.165587,-0.124775
-0.480695,0.638005,0.113121,-3.779982,2.244405,-2.207018,0.984113,-0.140889,-0.108039
-0.410873,0.668506,0.064535,-4.021735,2.147416,-2.515583,0.989334,-0.113574,-0.091207
-0.331631,0.692380,0.017590,-4.172862,2.004874,-2.855319,0.993725,-0.083387,-0.074550
-0.250846,0.700813,-0.029994,-4.227537,1.844597,-3.206647,0.997046,-0.050240,-0.058095
-0.180040,0.698970,-0.063034,-4.196838,1.678403,-3.551592,0.999025,-0.014201,-0.041793
-0.114745,0.697184,-0.077916,-4.108320,1.526536,-3.874494,0.999373,0.024557,-0.025508
-0.053364,0.703574,-0.091820,-3.994788,1.453584,-4.152956,0.997807,0.065606,-0.008781
-0.000351,0.712859,-0.119202,-3.895592,1.479836,-4.386974,0.994064,0.108399,0.009278
0.055102,0.725297,-0.148112,-3.838823,1.627428,-4.572975,0.987882,0.152328,0.029765
0.149554,0.764394,-0.181865,-3.830649,1.865281,-4.702546,0.979001,0.196650,0.053722
