ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
1.288410,-0.082989,-0.024313,-0.424978,-0.615686,1.516974,-0.424122,0.619107,-0.660929
1.267186,-0.090907,-0.067837,-0.385739,-0.299073,1.766990,-0.416875,0.628734,-0.656437
1.241374,-0.080098,-0.102815,-0.316075,0.014405,1.992328,-0.405849,0.638829,-0.653594
1.207152,-0.073338,-0.118150,-0.218205,0.312185,2.220432,-0.391128,0.649037,-0.652511
1.154379,0.020418,-0.146606,-0.101731,0.583111,2.446453,-0.372824,0.659056,-0.653183
1.132611,0.010786,-0.144338,0.009378,0.825346,2.679496,-0.351056,0.668688,-0.655452
1.092895,0.062490,-0.156980,0.106023,1.019398,2.921083,-0.325973,0.677836,-0.658999
1.047989,0.114162,-0.161239,0.186476,1.165585,3.164140,-0.297821,0.686406,-0.663438
0.999938,0.158398,-0.169717,0.244808,1.274470,3.413646,-0.266784,0.694293,-0.668418
0.952759,0.207985,-0.187032,0.294317,1.318750,3.682888,-0.233108,0.701393,-0.673579
0.900081,0.265189,-0.198597,0.347309,1.312818,3.981271,-0.196986,0.707498,-0.678707
0.844445,0.321822,-0.198912,0.401080,1.259840,4.291479,-0.158624,0.712327,-0.683687
0.787240,0.379062,-0.200487,0.452500,1.175216,4.608835,-0.118233,0.715573,-0.688460
0.727671,0.433411,-0.202960,0.495907,1.058339,4.926723,-0.076106,0.716933,-0.692975
0.667708,0.486641,-0.213708,0.529334,0.949012,5.248488,-0.032424,0.716118,-0.697226
0.608395,0.554151,-0.249799,0.558610,0.815868,5.566369,0.012684,0.712832,-0.701221
0.552887,0.613287,-0.267323,0.607106,0.629669,5.866286,0.058640,0.706659,-0.705120
0.490222,0.661432,-0.265096,0.678452,0.418253,6.144797,0.104810,0.697149,-0.709223
0.430450,0.717106,-0.270080,0.766775,0.211554,6.386383,0.150605,0.683926,-0.713837
0.371121,0.775011,-0.277973,0.858566,0.043388,6.582047,0.195605,0.666762,-0.719144
0.310895,0.827703,-0.294559,0.945649,-0.091896,6.726490,0.239368,0.645624,-0.725171
0.252674,0.870534,-0.300775,1.016496,-0.166855,6.822444,0.281582,0.620661,-0.731772
0.194968,0.905625,-0.317609,1.069761,-0.184135,6.849195,0.322015,0.592163,-0.738681
0.145263,0.929140,-0.316250,1.106670,-0.187477,6.803722,0.360276,0.560575,-0.745625
0.094920,0.926473,-0.290477,1.124806,-0.158972,6.710316,0.395925,0.526438,-0.752401
0.050254,0.939658,-0.287431,1.126766,-0.136064,6.580837,0.428842,0.490289,-0.758757
0.018822,0.962229,-0.289756,1.150873,-0.123730,6.465775,0.458778,0.452444,-0.764733
-0.023900,0.979373,-0.284126,1.205523,-0.094100,6.368550,0.485905,0.412839,-0.770364
-0.070182,0.987576,-0.267755,1.269083,-0.073317,6.275693,0.510291,0.371494,-0.775626
-0.109241,1.000079,-0.236360,1.329434,-0.039659,6.176567,0.531971,0.328549,-0.780425
-0.148848,1.009670,-0.213210,1.373799,0.006619,6.064202,0.550780,0.284535,-0.784653
-0.179893,1.008322,-0.192907,1.411202,0.025465,5.935612,0.566765,0.239771,-0.788218
-0.205015,0.988369,-0.162065,1.445758,0.050813,5.802195,0.579893,0.194554,-0.791121
-0.233766,0.967561,-0.140048,1.470769,0.109385,5.646349,0.590425,0.149214,-0.793179
-0.255145,0.971408,-0.128789,1.484268,0.218904,5.464108,0.598804,0.104169,-0.794093
-0.281787,0.984585,-0.114700,1.497801,0.386292,5.256161,0.605624,0.059772,-0.793503
-0.317435,0.980738,-0.097658,1.498988,0.590904,5.035308,0.611502,0.016317,-0.791074
-0.350249,0.975052,-0.069055,1.483818,0.780310,4.805280,0.616728,-0.025925,-0.786749
-0.384959,0.963828,-0.026267,1.459545,0.947974,4.576046,0.621379,-0.066733,-0.780663
-0.420598,0.946494,0.013194,1.421705,1.102170,4.349327,0.625523,-0.105979,-0.772974
-0.461176,0.934223,0.046389,1.370475,1.231819,4.118521,0.629267,-0.143498,-0.763827
-0.496003,0.929496,0.084986,1.303169,1.312325,3.872817,0.632554,-0.179054,-0.753535
-0.529720,0.928417,0.126219,1.210914,1.358668,3.598273,0.635356,-0.212307,-0.742461
-0.566385,0.926889,0.160470,1.086108,1.360280,3.291419,0.637583,-0.242898,-0.731087
-0.615338,0.919163,0.201975,0.919393,1.278360,2.932561,0.639218,-0.270237,-0.719981
-0.668015,0.890175,0.251149,0.699423,1.128762,2.505757,0.640183,-0.293602,-0.709904
-0.718268,0.843770,0.290584,0.424537,0.948627,2.028544,0.640646,-0.312230,-0.701488
-0.753163,0.788295,0.308865,0.109403,0.768267,1.531066,0.640965,-0.325587,-0.695095
-0.770753,0.743143,0.321437,-0.218024,0.605775,1.043963,0.641481,-0.333505,-0.690852
-0.776765,0.718592,0.323320,-0.546645,0.471644,0.592986,0.642457,-0.336115,-0.688677
