ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.035020,-0.032048,0.138439,-0.741184,-1.442284,0.831102,0.995940,-0.040660,-0.080318
0.023842,-0.032111,0.194983,-0.745040,-1.716786,0.784225,0.994179,-0.048074,-0.096427
0.015546,-0.026380,0.236115,-0.720279,-2.045160,0.758643,0.991778,-0.054980,-0.115555
0.004708,-0.022702,0.267361,-0.666222,-2.433875,0.747549,0.988486,-0.061588,-0.138210
-0.008649,-0.023184,0.305307,-0.595620,-2.896872,0.732030,0.983945,-0.067987,-0.165018
-0.023522,-0.021772,0.343063,-0.497753,-3.400998,0.695104,0.977715,-0.074053,-0.196441
-0.046223,-0.028002,0.359303,-0.394666,-3.976571,0.639767,0.969242,-0.079634,-0.232869
-0.073262,-0.033143,0.395603,-0.321513,-4.667863,0.588292,0.957723,-0.084670,-0.274951
-0.093630,-0.032505,0.473694,-0.272502,-5.496692,0.566842,0.941943,-0.089290,-0.323684
-0.119094,-0.023892,0.561300,-0.225256,-6.400309,0.571277,0.920379,-0.093723,-0.379629
-0.165165,-0.016729,0.621193,-0.166527,-7.376201,0.592153,0.891362,-0.098200,-0.442528
-0.214031,-0.011528,0.672200,-0.224050,-8.386672,0.663160,0.852825,-0.102776,-0.511983
-0.370081,0.030641,0.510228,-0.254756,-9.028155,0.837880,0.803919,-0.107621,-0.584920
-0.458696,0.025327,0.535976,-0.151410,-9.936088,1.003329,0.743684,-0.113507,-0.658825
-0.428128,-0.008118,0.699988,0.077248,-10.885792,1.111566,0.669477,-0.120788,-0.732947
-0.475274,-0.043035,0.611544,0.314679,-11.407425,1.239683,0.581079,-0.129649,-0.803454
-0.393936,-0.085267,0.297157,0.801988,-10.542002,1.409342,0.487442,-0.141433,-0.861625
-0.269957,-0.045191,-0.293407,1.195130,-10.013379,1.449410,0.393309,-0.156729,-0.905949
-0.189118,-0.018723,-0.514964,1.448166,-7.004221,1.355434,0.312760,-0.174286,-0.933705
-0.042561,-0.041916,-1.496813,1.260332,-5.718374,1.251883,0.250630,-0.190948,-0.949064
-0.043401,0.035038,-0.780472,0.886380,-5.502909,1.179591,0.195028,-0.204060,-0.959335
-0.082584,0.088373,-0.375627,0.440597,-5.616322,1.066105,0.138553,-0.212382,-0.967314
-0.033379,0.053869,-0.282095,0.025208,-5.359579,0.951403,0.082742,-0.215735,-0.972940
-0.066604,0.041005,-0.258847,-0.325392,-5.159943,0.878492,0.029342,-0.214741,-0.976230
-0.111121,0.055583,-0.097509,-0.615676,-5.075382,0.859687,-0.022805,-0.210109,-0.977412
-0.103073,0.074517,-0.029847,-0.815173,-4.962546,0.876677,-0.073883,-0.202600,-0.976471
-0.089174,0.084411,-0.014848,-0.948764,-4.860116,0.942460,-0.123884,-0.193023,-0.973342
-0.065797,0.074237,-0.030844,-1.037374,-4.813584,1.020330,-0.172881,-0.181843,-0.968011
-0.047308,0.050604,-0.022464,-1.141337,-4.982382,1.098347,-0.222086,-0.169211,-0.960232
-0.043460,0.026880,0.045329,-1.320258,-5.241578,1.154566,-0.273068,-0.154612,-0.949489
-0.038738,0.021888,0.040961,-1.532016,-5.449880,1.201286,-0.325520,-0.137550,-0.935477
-0.033321,0.023478,-0.003396,-1.721290,-5.590187,1.247257,-0.378560,-0.118021,-0.918021
-0.033991,0.015743,-0.045482,-1.838270,-5.668309,1.282295,-0.431371,-0.096554,-0.896993
-0.049828,0.003804,-0.087370,-1.853739,-5.728063,1.291068,-0.483176,-0.074147,-0.872378
-0.075209,-0.004157,-0.097166,-1.787966,-5.796741,1.268347,-0.533816,-0.051828,-0.844011
-0.099468,-0.004953,-0.094813,-1.679856,-5.816274,1.218882,-0.582737,-0.030371,-0.812093
-0.112779,0.003292,-0.120142,-1.530861,-5.751273,1.138753,-0.629287,-0.010312,-0.777105
-0.124028,0.009740,-0.151908,-1.315884,-5.555747,1.017353,-0.672481,0.007670,-0.740075
-0.144201,0.012026,-0.194287,-0.997949,-5.341485,0.855389,-0.711847,0.022657,-0.701969
-0.146552,0.003026,-0.187636,-0.617941,-5.243649,0.658499,-0.747887,0.033794,-0.662965
-0.110909,0.000301,-0.100099,-0.265018,-5.399493,0.475828,-0.781975,0.040974,-0.621962
-0.064368,0.006976,0.021945,0.006453,-5.603935,0.336078,-0.815042,0.044965,-0.577655
-0.032654,-0.001381,0.013466,0.160446,-5.714262,0.228179,-0.846481,0.046807,-0.530357
-0.016210,-0.008660,-0.031869,0.188002,-5.780346,0.145702,-0.875621,0.047493,-0.480658
-0.016660,0.000723,-0.025990,0.098070,-5.789835,0.067740,-0.902072,0.047754,-0.428936
-0.030605,0.009712,-0.027523,-0.063638,-5.797258,0.021308,-0.925481,0.048043,-0.375736
-0.005592,0.021229,-0.009855,-0.245331,-5.858243,0.067040,-0.945870,0.048947,-0.320833
0.045329,0.035655,0.004857,-0.428743,-5.862855,0.160749,-0.963115,0.051014,-0.264210
0.100488,0.023421,-0.022920,-0.666892,-5.426222,0.309062,-0.976464,0.054567,-0.208662
0.146753,0.006817,-0.071101,-0.795415,-5.156363,0.448324,-0.985925,0.059666,-0.156179
