ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.256767,-0.440351,-0.333366,2.455358,-1.329434,3.244176,-0.846199,-0.189242,-0.498131
-0.220262,-0.387316,-0.329707,2.229917,-0.885097,2.749277,-0.857131,-0.175139,-0.484410
-0.161835,-0.325015,-0.257829,2.032023,-0.545568,2.301238,-0.864837,-0.163587,-0.474653
-0.081631,-0.262635,-0.138214,1.845280,-0.298532,1.954175,-0.870197,-0.154281,-0.467926
-0.013085,-0.187405,-0.036782,1.688499,-0.132092,1.751433,-0.873969,-0.146366,-0.463416
0.044018,-0.097404,0.050694,1.570206,0.000739,1.678970,-0.876721,-0.138878,-0.460514
0.082264,-0.002382,0.134560,1.487417,0.110215,1.694831,-0.878743,-0.131072,-0.458946
0.107643,0.077165,0.196559,1.395172,0.230497,1.776095,-0.880165,-0.122407,-0.458614
0.142016,0.133503,0.221359,1.281504,0.344227,1.901897,-0.880999,-0.112308,-0.459595
0.190755,0.162895,0.233882,1.177362,0.454511,2.029611,-0.881246,-0.100578,-0.461832
0.207980,0.174320,0.251606,1.083923,0.522554,2.156692,-0.880923,-0.087300,-0.465138
0.184274,0.163548,0.274740,0.978140,0.414671,2.263415,-0.880425,-0.072545,-0.468603
0.122992,0.126852,0.312206,0.885763,0.032966,2.339008,-0.880789,-0.056555,-0.470119
0.018393,0.088643,0.338761,0.829257,-0.541033,2.418513,-0.883094,-0.039510,-0.467530
-0.118347,0.062978,0.304260,0.850520,-1.177696,2.535901,-0.887864,-0.021382,-0.459609
-0.287584,0.045594,0.176113,0.997693,-1.674425,2.667597,-0.894744,-0.002213,-0.446575
-0.444492,-0.033393,-0.059490,1.270103,-1.839956,2.648968,-0.902402,0.016974,-0.430561
-0.515370,-0.179453,-0.311159,1.544893,-1.622582,2.304974,-0.909206,0.033746,-0.414976
-0.528104,-0.343990,-0.499452,1.686683,-1.175106,1.658572,-0.914203,0.045376,-0.402709
-0.499290,-0.481438,-0.591242,1.660626,-0.572172,0.857350,-0.917137,0.050255,-0.395391
-0.419197,-0.563471,-0.621365,1.520206,0.173554,0.021154,-0.917733,0.047983,-0.394290
-0.304215,-0.611331,-0.608421,1.334818,1.008859,-0.797187,-0.915558,0.038684,-0.400322
-0.182418,-0.600290,-0.535127,1.153298,1.892570,-1.569593,-0.909974,0.022653,-0.414046
-0.066005,-0.508358,-0.396323,0.945505,2.617670,-2.154895,-0.900457,0.000989,-0.434945
0.032593,-0.313985,-0.152163,0.679152,2.961427,-2.396755,-0.887497,-0.023417,-0.460218
0.113198,-0.072296,0.147754,0.380324,2.878392,-2.229698,-0.872628,-0.046692,-0.486148
0.184318,0.158248,0.415813,0.102707,2.451899,-1.699908,-0.858039,-0.065231,-0.509425
0.265777,0.349235,0.614250,-0.072872,1.793291,-0.926782,-0.845946,-0.076636,-0.527733
0.349485,0.472003,0.726658,-0.082075,1.027032,-0.091828,-0.837950,-0.080463,-0.539784
0.437592,0.510746,0.765390,0.080922,0.251480,0.644935,-0.834702,-0.078038,-0.545144
0.497275,0.499788,0.741284,0.346528,-0.462815,1.268742,-0.836035,-0.071107,-0.544049
0.496159,0.487849,0.645915,0.639510,-0.999256,1.795427,-0.841115,-0.060832,-0.537425
0.431955,0.457183,0.471682,0.918573,-1.255130,2.246699,-0.848352,-0.047805,-0.527270
0.332219,0.385441,0.234138,1.075198,-1.241514,2.591355,-0.855962,-0.032307,-0.516029
0.224031,0.286528,-0.011971,1.050877,-1.027695,2.817755,-0.862474,-0.014372,-0.505897
0.085300,0.192723,-0.216094,0.917063,-0.708122,2.933164,-0.867008,0.005717,-0.498262
-0.074833,0.082929,-0.367284,0.745001,-0.286327,2.926627,-0.869045,0.027224,-0.493983
-0.218206,-0.046778,-0.476891,0.598666,0.184652,2.789937,-0.868189,0.048960,-0.493812
-0.340893,-0.186049,-0.528276,0.537285,0.546018,2.479347,-0.864735,0.069227,-0.497435
-0.411334,-0.330914,-0.499877,0.588152,0.679595,1.977662,-0.859830,0.085843,-0.503312
-0.420875,-0.471297,-0.418290,0.739160,0.609757,1.333324,-0.854958,0.096816,-0.509582
-0.406810,-0.567832,-0.352555,0.955436,0.444480,0.639646,-0.851247,0.100928,-0.514968
-0.391107,-0.613900,-0.342007,1.174243,0.347469,-0.048791,-0.848945,0.097894,-0.519336
-0.366219,-0.592077,-0.374471,1.342003,0.431242,-0.713585,-0.847313,0.088003,-0.523752
-0.336012,-0.514823,-0.420763,1.453408,0.712909,-1.324556,-0.845171,0.071846,-0.529646
-0.286158,-0.412044,-0.451656,1.503071,1.167411,-1.817283,-0.841131,0.050472,-0.538472
-0.207084,-0.270545,-0.416703,1.464181,1.710105,-2.134039,-0.834008,0.025520,-0.551162
-0.109318,-0.094921,-0.294126,1.312128,2.165228,-2.180489,-0.823284,-0.000553,-0.567629
-0.009325,0.098317,-0.077853,1.020985,2.360439,-1.908274,-0.809737,-0.024403,-0.586286
0.082294,0.308825,0.192170,0.663708,2.237483,-1.355036,-0.795261,-0.042834,-0.604752
