ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.092827,0.200929,-0.649478,-0.898329,-1.842504,-1.731193,0.916633,0.341399,0.207919
0.165223,0.546008,-0.624087,-0.695120,-1.535441,-1.652914,0.914107,0.355390,0.195208
0.168248,0.532636,-0.613116,-0.502307,-1.345346,-1.497975,0.911082,0.368762,0.184237
0.255085,0.746249,-0.570886,-0.340879,-1.293233,-1.244682,0.908260,0.380597,0.173807
0.281075,0.926095,-0.545228,-0.219156,-1.344550,-0.962887,0.906212,0.390189,0.162889
0.264687,1.008706,-0.554523,-0.121664,-1.355649,-0.741012,0.905006,0.397620,0.151203
0.227123,0.997785,-0.634767,-0.020445,-1.256715,-0.666009,0.904133,0.403811,0.139574
0.183130,0.932725,-0.698712,0.149975,-1.161636,-0.774644,0.902853,0.410338,0.128369
0.165965,0.872154,-0.679332,0.426765,-1.118827,-1.043331,0.900502,0.418847,0.116893
0.179719,0.821095,-0.640316,0.817771,-1.118361,-1.421318,0.896499,0.430630,0.104153
0.217101,0.762182,-0.618052,1.293675,-1.104123,-1.838463,0.890397,0.446299,0.089503
0.256078,0.704366,-0.607213,1.818875,-1.059956,-2.233302,0.881938,0.465724,0.072713
0.290969,0.644542,-0.585805,2.368292,-0.975745,-2.570328,0.871049,0.488256,0.053670
0.320501,0.585497,-0.549324,2.914742,-0.861480,-2.822089,0.857844,0.512892,0.032356
0.375610,0.530321,-0.501623,3.435671,-0.745483,-2.972729,0.842651,0.538390,0.008672
0.445934,0.493354,-0.430972,3.903641,-0.636910,-3.013590,0.825993,0.563409,-0.017499
0.516827,0.493300,-0.346316,4.299739,-0.531071,-2.940931,0.808537,0.586640,-0.046063
0.585410,0.525813,-0.252969,4.602327,-0.458215,-2.751936,0.791101,0.606847,-0.076788
0.645531,0.561111,-0.157845,4.821591,-0.432938,-2.469822,0.774498,0.623032,-0.109474
0.690771,0.591010,-0.064786,4.978214,-0.468888,-2.136035,0.759332,0.634576,-0.143970
0.729516,0.605729,0.033228,5.102427,-0.556455,-1.770600,0.745948,0.641159,-0.180216
0.752622,0.606403,0.131743,5.224302,-0.665627,-1.396165,0.734484,0.642606,-0.218153
0.760308,0.607452,0.229171,5.361353,-0.782222,-1.044179,0.724830,0.638901,-0.257735
0.749340,0.609050,0.330110,5.507720,-0.912971,-0.723221,0.716800,0.630085,-0.298647
0.721984,0.616557,0.426006,5.637093,-1.050909,-0.450170,0.709962,0.616354,-0.340679
0.671051,0.636431,0.510587,5.731484,-1.157238,-0.212336,0.703903,0.597990,-0.383313
0.597175,0.658110,0.574925,5.784426,-1.216870,-0.011957,0.698403,0.575319,-0.425725
0.513856,0.661606,0.631410,5.795428,-1.237937,0.144699,0.693267,0.548813,-0.467104
0.444176,0.646883,0.679730,5.770689,-1.213132,0.250254,0.688316,0.519087,-0.506725
0.385091,0.619842,0.727941,5.732225,-1.169162,0.310474,0.683437,0.486740,-0.544057
0.334717,0.579976,0.783561,5.686852,-1.118204,0.346294,0.678527,0.452236,-0.578864
0.289435,0.534734,0.836639,5.635049,-1.094292,0.372502,0.673471,0.415904,-0.611115
0.240127,0.493952,0.890595,5.551860,-1.097371,0.391223,0.668106,0.378073,-0.640855
0.187523,0.457419,0.935758,5.396045,-1.104049,0.380852,0.662239,0.339410,-0.668012
0.134305,0.429591,0.952920,5.164778,-1.059379,0.334037,0.655979,0.300862,-0.692224
0.085243,0.401605,0.961073,4.868607,-0.985136,0.244521,0.649559,0.263449,-0.713209
0.057676,0.368658,0.975011,4.541423,-0.857258,0.117581,0.643313,0.228082,-0.730840
0.051078,0.336544,1.004029,4.231659,-0.738578,-0.023922,0.637506,0.195225,-0.745301
0.051473,0.294674,1.054705,3.958611,-0.665164,-0.161450,0.632059,0.164890,-0.757174
0.049763,0.239627,1.101213,3.713743,-0.642134,-0.285239,0.626720,0.136914,-0.767122
0.033116,0.186559,1.136833,3.477381,-0.625328,-0.391301,0.621349,0.111140,-0.775612
0.006152,0.138841,1.153726,3.236982,-0.581839,-0.477584,0.616163,0.087539,-0.782739
-0.034149,0.100218,1.142036,2.980589,-0.490145,-0.529818,0.611526,0.066087,-0.788459
-0.080996,0.072079,1.116606,2.713871,-0.364883,-0.557326,0.607805,0.046771,-0.792707
-0.134973,0.058276,1.096816,2.414164,-0.228869,-0.578608,0.605203,0.029721,-0.795516
-0.185491,0.059410,1.081368,2.066585,-0.057212,-0.612745,0.603917,0.015373,-0.796899
-0.230262,0.066700,1.064241,1.671305,0.115323,-0.672101,0.604087,0.004253,-0.796907
-0.259772,0.058995,1.053523,1.249891,0.300538,-0.745397,0.605749,-0.003133,-0.795649
-0.261718,0.048088,1.035929,0.832132,0.462618,-0.822184,0.608856,-0.006660,-0.793253
-0.240625,0.042509,1.026800,0.445102,0.559698,-0.912904,0.613016,-0.006407,-0.790044
