ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.137691,0.089210,-0.088071,0.122146,-0.713659,0.362356,-0.241237,-0.371345,-0.896609
0.115696,0.109849,-0.172852,0.182505,-0.889373,0.499022,-0.250034,-0.371568,-0.894103
0.068547,0.157611,-0.299278,0.424950,-1.037067,0.696147,-0.260945,-0.372653,-0.890526
0.042318,0.209070,-0.430990,0.843104,-1.078700,0.911959,-0.273504,-0.376062,-0.885309
0.064546,0.221937,-0.558254,1.381079,-0.962314,1.098999,-0.286485,-0.383054,-0.878177
0.100098,0.200119,-0.645399,1.913458,-0.683263,1.249017,-0.298386,-0.394104,-0.869280
0.120235,0.170651,-0.677622,2.319070,-0.287374,1.346731,-0.307902,-0.408627,-0.859197
0.118073,0.140589,-0.657695,2.528374,0.195627,1.389163,-0.314103,-0.425257,-0.848821
0.111173,0.118686,-0.605915,2.556147,0.720227,1.389637,-0.316282,-0.442508,-0.839138
0.105475,0.110283,-0.509288,2.447654,1.207046,1.371263,-0.314429,-0.459190,-0.830830
0.103758,0.105087,-0.376814,2.259326,1.630036,1.341658,-0.308973,-0.474548,-0.824221
0.105773,0.093722,-0.229879,2.029386,1.985793,1.291114,-0.300369,-0.488238,-0.819391
0.106649,0.085336,-0.068591,1.787223,2.258519,1.215484,-0.289113,-0.500223,-0.816205
0.108583,0.085322,0.085939,1.553732,2.466689,1.119708,-0.275666,-0.510585,-0.814439
0.112493,0.092426,0.221563,1.348161,2.675514,1.019997,-0.260152,-0.519565,-0.813863
0.110237,0.118264,0.337092,1.167520,2.859025,0.944071,-0.242622,-0.527383,-0.814249
0.106012,0.167530,0.457468,0.976301,2.927854,0.918043,-0.223779,-0.534001,-0.815332
0.107236,0.222428,0.603808,0.757000,2.801824,0.954679,-0.205182,-0.539124,-0.816851
0.099965,0.265630,0.750931,0.505865,2.486916,1.074647,-0.188847,-0.542333,-0.818665
0.101289,0.298132,0.846140,0.214156,2.136765,1.304048,-0.176256,-0.543188,-0.820902
0.118846,0.317231,0.872395,-0.132402,1.761492,1.657947,-0.168132,-0.540986,-0.824055
0.120517,0.320912,0.834804,-0.462584,1.254277,2.025653,-0.165545,-0.535405,-0.828212
0.097087,0.299543,0.714493,-0.712815,0.653353,2.305816,-0.169124,-0.526777,-0.833008
0.069934,0.230243,0.487444,-0.763204,-0.050811,2.541290,-0.179248,-0.516208,-0.837496
0.063286,0.126411,0.183953,-0.550658,-0.789810,2.797503,-0.196510,-0.505515,-0.840142
0.079764,0.001706,-0.163912,-0.146185,-1.427761,3.016728,-0.220663,-0.496396,-0.839582
0.067874,-0.134087,-0.554692,0.368671,-1.671393,2.983922,-0.249026,-0.490150,-0.835308
-0.024779,-0.305813,-1.033462,0.967088,-1.272146,2.623156,-0.275575,-0.488255,-0.828049
-0.161643,-0.425586,-1.465549,1.556333,-0.276538,2.012965,-0.293740,-0.492047,-0.819516
-0.292909,-0.466589,-1.734364,1.964227,1.053878,1.118193,-0.298475,-0.502023,-0.811717
-0.378427,-0.500602,-1.725870,1.916741,2.423911,0.446646,-0.288138,-0.515802,-0.806799
-0.283764,-0.398846,-1.395270,1.466554,3.565939,0.074293,-0.265018,-0.528980,-0.806192
-0.204875,-0.261766,-0.940428,0.848866,4.464215,-0.213205,-0.231878,-0.538573,-0.810045
-0.205126,-0.136559,-0.461094,0.222483,5.039802,-0.490782,-0.190870,-0.543678,-0.817302
-0.226821,-0.014700,0.031466,-0.299084,5.256832,-0.672186,-0.144913,-0.544275,-0.826296
-0.233470,0.122745,0.514553,-0.670179,5.124610,-0.650624,-0.097631,-0.540973,-0.835354
-0.233437,0.294990,0.984201,-0.915503,4.549889,-0.422254,-0.053566,-0.534645,-0.843377
-0.210989,0.428931,1.400787,-1.069992,3.475990,0.002796,-0.017954,-0.526221,-0.850158
-0.118454,0.503717,1.670699,-1.105651,2.020085,0.573173,0.004303,-0.516779,-0.856108
0.007704,0.534098,1.700638,-0.883890,0.458382,1.172947,0.010470,-0.508097,-0.861236
0.089530,0.522705,1.487985,-0.367537,-0.938796,1.680019,0.000909,-0.502640,-0.864496
0.090239,0.453458,1.098433,0.253597,-1.899279,2.008564,-0.021040,-0.501981,-0.864623
0.024376,0.350721,0.564602,0.829728,-2.212410,2.217370,-0.050286,-0.505873,-0.861141
-0.050162,0.273678,-0.155341,1.298866,-1.909367,2.397623,-0.079645,-0.513867,-0.854165
-0.068889,0.221042,-0.783379,1.352785,-1.502995,2.587775,-0.107563,-0.522937,-0.845557
-0.067907,0.148666,-1.060952,1.238684,-0.672579,2.646477,-0.130808,-0.530838,-0.837318
-0.096730,0.000387,-1.316959,0.975361,0.204682,2.495552,-0.146633,-0.536566,-0.831021
-0.128991,-0.147150,-1.317865,0.642616,0.984539,2.149198,-0.154243,-0.539785,-0.827551
-0.156862,-0.243191,-1.196369,0.318870,1.637328,1.755103,-0.153852,-0.540729,-0.827008
-0.149343,-0.244983,-1.042307,0.104427,2.142895,1.444357,-0.146708,-0.539990,-0.828787
