ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.315356,0.175801,0.659656,2.733669,-1.784128,-0.795802,0.354948,0.103480,-0.929141
0.303414,0.237877,0.609075,2.776809,-1.605221,-0.603653,0.338462,0.080085,-0.937566
0.279347,0.277587,0.617364,2.820895,-1.452963,-0.399889,0.323620,0.055237,-0.944574
0.250413,0.289094,0.601049,2.836997,-1.260590,-0.187857,0.310500,0.029204,-0.950125
0.202950,0.317745,0.586705,2.799856,-1.047308,-0.006907,0.299507,0.002476,-0.954091
0.108615,0.323372,0.624263,2.745220,-0.918198,0.122668,0.290036,-0.024331,-0.956706
0.063145,0.295006,0.656508,2.732174,-0.875205,0.235061,0.281413,-0.051201,-0.958220
0.009017,0.252777,0.696520,2.757257,-0.849561,0.320833,0.272813,-0.078430,-0.958865
-0.049597,0.212845,0.716303,2.800186,-0.692535,0.387630,0.265005,-0.106170,-0.958384
-0.004171,0.210562,0.679632,2.851077,-0.498881,0.388215,0.258795,-0.134420,-0.956534
0.055011,0.236111,0.647461,2.899093,-0.354410,0.361519,0.254239,-0.162991,-0.953308
0.114318,0.292741,0.643677,2.967353,-0.355760,0.382698,0.250245,-0.191972,-0.948960
0.169177,0.338618,0.644876,3.045126,-0.403909,0.434353,0.245755,-0.221614,-0.943659
0.164453,0.336391,0.622232,3.137311,-0.480416,0.471193,0.240759,-0.251903,-0.937326
0.091365,0.343867,0.678298,3.293964,-0.666396,0.586540,0.233632,-0.283381,-0.930114
0.006038,0.352455,0.673515,3.444642,-0.499582,0.688855,0.226109,-0.316215,-0.921348
-0.080711,0.281586,0.484293,3.500837,-0.228743,0.773223,0.220634,-0.350083,-0.910364
-0.119146,0.129007,0.438802,1.370125,-3.382568,0.509007,0.203847,-0.375924,-0.903951
0.219500,-0.543337,0.462562,0.207938,-1.680257,0.083556,0.174924,-0.381697,-0.907584
-0.091177,-0.581278,-1.199558,-0.101584,0.171399,-0.072581,0.170187,-0.382483,-0.908154
-0.169141,-0.373711,-0.182151,-0.414809,0.510429,-0.162654,0.173902,-0.379722,-0.908609
-0.013678,-0.188888,0.486785,-0.706284,0.293801,-0.236725,0.178900,-0.374390,-0.909850
0.061091,-0.139189,0.384746,-1.146350,-0.441772,-0.340174,0.179082,-0.365358,-0.913479
0.105225,-0.141776,0.303276,-1.465766,-0.316726,-0.338739,0.176284,-0.352654,-0.918999
-0.028286,-0.022112,-0.066677,-1.977980,0.457019,-0.411030,0.178555,-0.336179,-0.924717
0.060213,0.039536,-0.163999,-2.483609,0.100880,-0.458079,0.182432,-0.314667,-0.931506
0.054453,0.115203,0.285438,-3.154816,0.595754,-0.427571,0.186987,-0.287292,-0.939414
-0.013991,0.055180,-0.076041,-3.733986,0.744940,-0.314343,0.194624,-0.253803,-0.947473
-0.016436,0.030210,0.135368,-4.062980,-0.125886,-0.176909,0.198947,-0.215802,-0.955955
0.038267,-0.014119,0.379469,-4.125792,-1.064639,0.049062,0.192782,-0.175991,-0.965330
0.051573,-0.070012,0.278827,-3.987664,-1.158458,0.273911,0.181337,-0.136652,-0.973880
0.055676,-0.119412,0.119091,-3.696757,-0.805841,0.374288,0.170994,-0.099338,-0.980252
0.006882,-0.131987,0.115983,-3.179398,0.080461,0.475551,0.166794,-0.065996,-0.983781
-0.108831,-0.107148,0.042995,-2.617046,0.991083,0.513546,0.171926,-0.038147,-0.984371
-0.186766,-0.112220,0.089142,-1.966919,1.866040,0.502310,0.185957,-0.016305,-0.982423
-0.200987,-0.123199,0.061900,-1.188767,2.624348,0.440296,0.208205,-0.001603,-0.978084
-0.244892,-0.131948,0.038351,-0.306597,3.029579,0.338641,0.236164,0.004904,-0.971701
-0.306053,-0.112477,0.088307,0.590103,3.099402,0.194247,0.266242,0.002813,-0.963902
-0.329793,-0.081437,0.169273,1.216174,2.413153,0.034593,0.293538,-0.006545,-0.955925
-0.230665,-0.011422,0.402139,0.947414,0.367913,-0.428132,0.307783,-0.017127,-0.951302
0.000074,-0.165908,0.640352,0.106589,-2.077233,-1.197528,0.299227,-0.019563,-0.953981
0.054035,-0.381266,0.571101,-0.281145,-3.434412,-1.632092,0.272350,-0.014257,-0.962093
-0.178431,-0.341419,0.467441,-0.284160,-4.073697,-1.835730,0.235682,-0.006939,-0.971806
-0.211712,-0.357605,0.405659,-0.296935,-4.523094,-2.045900,0.193584,-0.000000,-0.981084
-0.108465,-0.407314,0.310810,-0.343321,-4.622522,-2.235759,0.147741,0.006893,-0.989002
-0.021993,-0.348864,0.206956,-0.439655,-4.321239,-2.181784,0.102911,0.013491,-0.994599
0.002633,-0.169189,0.154437,-0.749080,-4.189000,-1.803694,0.060080,0.020950,-0.997974
-0.009942,-0.028040,0.168222,-1.284330,-4.000743,-1.248196,0.017983,0.031626,-0.999338
-0.032988,0.019094,-0.136140,-2.025585,-2.823657,-0.715455,-0.016099,0.048319,-0.998702
-0.044006,-0.014496,-0.460110,-2.722183,-1.593889,-0.320502,-0.039490,0.071885,-0.996631
