ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.031610,0.114993,-0.261791,1.185226,-1.007023,-0.363151,-0.405066,-0.615955,-0.675664
-0.033503,0.094589,-0.327174,0.930522,-0.557564,-0.471806,-0.407782,-0.624832,-0.665807
-0.008861,0.060432,-0.373248,0.609192,-0.009495,-0.578046,-0.406361,-0.632149,-0.659741
0.011167,0.058061,-0.368405,0.231164,0.556082,-0.637126,-0.400648,-0.637437,-0.658145
0.034826,0.085281,-0.323151,-0.199233,1.111854,-0.666035,-0.390905,-0.640152,-0.661362
0.056722,0.107128,-0.261294,-0.611271,1.586527,-0.709028,-0.377432,-0.640057,-0.669233
0.073191,0.136948,-0.172589,-0.890541,1.921387,-1.010358,-0.360011,-0.638031,-0.680668
0.047937,0.207262,-0.089550,-1.020760,2.215530,-1.149455,-0.338678,-0.635256,-0.694080
0.063544,0.259911,-0.021866,-1.047968,2.527676,-1.027095,-0.314918,-0.631555,-0.708495
0.076553,0.227980,0.059682,-1.038359,2.754741,-0.778100,-0.290100,-0.626815,-0.723150
0.118757,0.222994,0.169689,-1.064286,2.811476,-0.470292,-0.265622,-0.620882,-0.737530
0.198890,0.243360,0.277381,-1.154593,2.565717,-0.129445,-0.243415,-0.613370,-0.751350
0.316722,0.231655,0.366069,-1.230234,1.867221,0.289494,-0.226787,-0.604061,-0.763988
0.427943,0.214603,0.434384,-1.075111,1.002350,0.821270,-0.219004,-0.593768,-0.774259
0.454272,0.163392,0.371995,-0.601894,0.212692,1.320739,-0.220721,-0.584688,-0.780656
0.405405,0.047115,0.168023,0.123310,-0.384645,1.613835,-0.230173,-0.579357,-0.781899
0.286398,-0.035428,-0.090535,0.962427,-0.862925,1.637464,-0.244696,-0.579684,-0.777233
0.185488,-0.093675,-0.384066,1.786914,-0.956777,1.423741,-0.261125,-0.586455,-0.766736
0.116916,-0.173579,-0.728096,2.493192,-0.449459,1.075243,-0.274219,-0.599523,-0.751915
0.046813,-0.241607,-0.989372,2.883047,0.366878,0.675480,-0.279937,-0.617356,-0.735192
-0.033014,-0.251522,-1.026433,2.927100,1.229459,0.281030,-0.277136,-0.637394,-0.718974
-0.091834,-0.192247,-0.865934,2.719723,2.041602,-0.097956,-0.265938,-0.657454,-0.705004
-0.115725,-0.103683,-0.587827,2.362096,2.645869,-0.416126,-0.247602,-0.676041,-0.694018
-0.101672,-0.010378,-0.220204,1.986642,3.003304,-0.650083,-0.224149,-0.692396,-0.685817
-0.080950,0.085237,0.187468,1.674562,3.066875,-0.784884,-0.198087,-0.706499,-0.679427
-0.065467,0.191357,0.603643,1.290984,2.826186,-0.822269,-0.172127,-0.718197,-0.674214
-0.062651,0.207445,0.968523,0.719307,2.314923,-0.432276,-0.149644,-0.726137,-0.671068
0.107665,0.398424,1.208874,0.202457,1.553532,0.327305,-0.136153,-0.729311,-0.670499
0.309347,0.680525,1.234258,-0.358801,0.505197,0.731446,-0.133093,-0.728041,-0.672490
0.164042,0.498623,1.222108,-0.623152,-0.275957,1.298689,-0.139857,-0.723141,-0.676393
0.091023,0.483098,0.976009,-0.518329,-0.836444,1.799204,-0.154973,-0.716832,-0.679805
0.063235,0.449520,0.663328,-0.218613,-1.258580,2.126995,-0.176425,-0.710964,-0.680738
-0.012580,0.326236,0.373960,0.204593,-1.358720,2.339585,-0.201439,-0.706637,-0.678296
-0.074180,0.191267,0.039182,0.633534,-1.295061,2.448794,-0.227532,-0.704313,-0.672437
-0.140073,0.000819,-0.279703,1.021664,-1.052786,2.380024,-0.252734,-0.704020,-0.663687
-0.193039,-0.238429,-0.623961,1.379124,-0.500425,2.090822,-0.273956,-0.706029,-0.653047
-0.247221,-0.437362,-0.919225,1.624528,0.267487,1.625782,-0.288042,-0.710602,-0.641932
-0.287690,-0.557692,-1.064290,1.644751,1.034479,1.077890,-0.293579,-0.717195,-0.632015
-0.309529,-0.631369,-1.059351,1.462947,1.768303,0.495153,-0.290416,-0.724772,-0.624792
-0.310919,-0.654997,-0.974249,1.145650,2.465536,-0.084342,-0.278650,-0.732378,-0.621271
-0.304950,-0.602252,-0.835199,0.832908,3.147399,-0.678002,-0.258298,-0.739560,-0.621557
-0.322429,-0.468348,-0.631356,0.524984,3.761584,-1.195806,-0.229497,-0.746160,-0.624961
-0.346185,-0.279607,-0.321589,0.126801,4.092894,-1.492291,-0.194312,-0.751155,-0.630880
-0.321537,-0.083448,0.072631,-0.275594,4.094039,-1.515419,-0.156566,-0.753344,-0.638717
-0.261325,0.113789,0.454859,-0.547285,3.862477,-1.307389,-0.119962,-0.752629,-0.647425
-0.224490,0.292816,0.763718,-0.700391,3.402431,-0.907638,-0.087614,-0.749680,-0.655976
-0.193030,0.433018,1.012682,-0.736513,2.728928,-0.403662,-0.062235,-0.745366,-0.663745
-0.153222,0.513535,1.157394,-0.636097,1.928572,0.137990,-0.045555,-0.740784,-0.670197
-0.127539,0.544064,1.191763,-0.421806,1.028835,0.677875,-0.038568,-0.736996,-0.674796
-0.111062,0.529925,1.136177,-0.138195,0.123509,1.191637,-0.041602,-0.734713,-0.677101
