ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.319240,-0.199267,-0.564366,2.679369,-1.670731,-1.131332,0.554424,0.289965,-0.780086
-0.290282,-0.183820,-0.535568,2.769069,-1.696528,-1.114093,0.537887,0.274457,-0.797089
-0.254177,-0.175202,-0.491515,2.779751,-1.679858,-1.143168,0.521145,0.257950,-0.813554
-0.209890,-0.193875,-0.466622,2.741668,-1.565156,-1.196991,0.504751,0.241162,-0.828895
-0.177795,-0.181290,-0.473835,2.695809,-1.405993,-1.244939,0.489395,0.224411,-0.842694
-0.136323,-0.152409,-0.486119,2.640513,-1.332606,-1.282548,0.475022,0.207753,-0.855098
-0.077424,-0.106784,-0.493979,2.595563,-1.378718,-1.295867,0.460725,0.191180,-0.866708
-0.026452,-0.058383,-0.520371,2.589394,-1.504269,-1.268526,0.445749,0.174319,-0.878021
0.012595,-0.002765,-0.548230,2.643022,-1.659874,-1.239484,0.429574,0.156619,-0.889346
0.054705,0.042887,-0.565732,2.764853,-1.755273,-1.254671,0.412290,0.137564,-0.900607
0.105307,0.081854,-0.590053,2.929011,-1.759268,-1.299166,0.394571,0.116800,-0.911412
0.161814,0.130101,-0.605108,3.111046,-1.697795,-1.354187,0.377172,0.094096,-0.921351
0.226472,0.182933,-0.600120,3.284462,-1.602028,-1.412361,0.360626,0.069432,-0.930123
0.289608,0.238600,-0.578225,3.441341,-1.459855,-1.444205,0.345356,0.042879,-0.937492
0.342632,0.300303,-0.556444,3.573000,-1.291493,-1.428673,0.331807,0.014531,-0.943235
0.388404,0.367516,-0.524776,3.663930,-1.135900,-1.364000,0.319878,-0.015526,-0.947331
0.430262,0.434474,-0.478369,3.706583,-0.983350,-1.267577,0.310094,-0.046581,-0.949564
0.472593,0.506238,-0.429826,3.692000,-0.833912,-1.163085,0.302157,-0.078245,-0.950041
0.518253,0.581824,-0.381011,3.611480,-0.752532,-1.063975,0.295651,-0.109839,-0.948960
0.555856,0.656363,-0.301363,3.487320,-0.756590,-0.991735,0.289770,-0.140693,-0.946699
0.573137,0.712621,-0.209973,3.344544,-0.844364,-0.956244,0.283705,-0.170384,-0.943653
0.586134,0.753037,-0.124321,3.214011,-0.985522,-0.950962,0.276796,-0.198762,-0.940148
0.586167,0.793222,-0.035203,3.102538,-1.112778,-0.969510,0.268905,-0.225931,-0.936293
0.584921,0.835412,0.044612,3.013576,-1.202593,-0.997770,0.260355,-0.252053,-0.932033
0.586069,0.874509,0.129772,2.939887,-1.257942,-1.014932,0.251486,-0.277296,-0.927287
0.577415,0.907696,0.215630,2.855245,-1.280845,-0.997784,0.242593,-0.301754,-0.922005
0.560346,0.937366,0.291744,2.750503,-1.255829,-0.933026,0.233874,-0.325366,-0.916210
0.546086,0.967165,0.364277,2.617183,-1.174886,-0.824417,0.225643,-0.348009,-0.909931
0.529975,0.990243,0.424178,2.452993,-1.022444,-0.697879,0.218301,-0.369455,-0.903243
0.508594,1.007710,0.472897,2.255060,-0.815900,-0.568527,0.212323,-0.389424,-0.896252
0.478933,1.015068,0.518300,2.027355,-0.593531,-0.468041,0.207865,-0.407616,-0.889180
0.447841,1.009373,0.564150,1.777973,-0.362593,-0.405173,0.205388,-0.423679,-0.882220
0.416029,0.995412,0.598175,1.520380,-0.128846,-0.385756,0.204912,-0.437459,-0.875580
0.378479,0.975742,0.626014,1.262393,0.084776,-0.404693,0.206482,-0.448856,-0.869422
0.338489,0.952663,0.646634,1.008119,0.290676,-0.434247,0.210018,-0.457867,-0.863858
0.310483,0.929151,0.651579,0.764722,0.510451,-0.458156,0.215533,-0.464582,-0.858900
0.293119,0.922050,0.647114,0.547597,0.736178,-0.464522,0.223086,-0.469199,-0.854450
0.289893,0.927126,0.633589,0.323292,0.926635,-0.425934,0.232354,-0.471910,-0.850478
0.292316,0.927748,0.606648,0.062995,1.075252,-0.328878,0.242733,-0.472685,-0.847142
0.288999,0.935584,0.597549,-0.257428,1.094343,-0.205446,0.253329,-0.471229,-0.844848
0.276019,0.953989,0.629844,-0.617718,1.045537,-0.087829,0.263074,-0.467142,-0.844139
0.273044,0.947095,0.615942,-0.948563,1.066620,0.013920,0.272167,-0.460370,-0.844976
0.273288,0.916957,0.542386,-1.271164,1.116237,0.089328,0.281202,-0.451076,-0.847028
0.273868,0.897444,0.511755,-1.610896,1.160021,0.157044,0.290357,-0.439131,-0.850210
0.269461,0.907499,0.493745,-1.953508,1.185652,0.224285,0.299601,-0.424421,-0.854463
0.282536,0.914890,0.463123,-2.282150,1.209965,0.261431,0.308879,-0.406895,-0.859669
0.300019,0.893823,0.415601,-2.563901,1.306707,0.290010,0.318649,-0.386712,-0.865400
0.302657,0.859862,0.344759,-2.782674,1.475878,0.320723,0.329621,-0.364318,-0.870989
0.298591,0.831918,0.277810,-2.942144,1.679099,0.365744,0.342263,-0.340295,-0.875817
0.300340,0.808872,0.208405,-3.071317,1.863375,0.423826,0.356612,-0.315128,-0.879501
