ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.229507,0.146617,-0.104157,-0.051096,5.229580,-0.367200,-0.218872,-0.323512,-0.920562
-0.200185,0.156498,-0.109576,-0.262998,5.334708,-0.294095,-0.168605,-0.322743,-0.931348
-0.164054,0.155319,-0.121490,-0.521375,5.513806,-0.168723,-0.116845,-0.319412,-0.940385
-0.134914,0.144968,-0.127528,-0.789091,5.778994,-0.016563,-0.062931,-0.313273,-0.947576
-0.119761,0.108504,-0.112982,-1.021319,6.000710,0.141200,-0.006796,-0.304580,-0.952463
-0.114243,0.061231,-0.064367,-1.192751,6.151735,0.277419,0.050888,-0.293958,-0.954463
-0.111001,0.019788,-0.014475,-1.282302,6.227012,0.372069,0.109383,-0.282300,-0.953070
-0.114128,-0.006696,0.033309,-1.284824,6.243149,0.431935,0.167915,-0.270541,-0.947952
-0.138106,-0.011407,0.071119,-1.215692,6.239222,0.443893,0.225981,-0.259498,-0.938932
-0.162274,-0.011726,0.086826,-1.096182,6.260617,0.405303,0.283474,-0.249733,-0.925892
-0.174496,-0.020650,0.072524,-0.978868,6.322819,0.296722,0.340695,-0.241267,-0.908690
-0.160025,-0.031261,0.073295,-0.875746,6.301559,0.145224,0.397238,-0.233708,-0.887459
-0.137440,-0.043345,0.096677,-0.767541,6.188208,-0.016571,0.452138,-0.226720,-0.862652
-0.105509,-0.047622,0.107179,-0.633236,6.024404,-0.172932,0.504481,-0.220261,-0.834856
-0.078531,-0.041029,0.098634,-0.487355,5.978879,-0.322824,0.554392,-0.214327,-0.804185
-0.095955,-0.008967,0.067414,-0.374871,6.032566,-0.463907,0.602791,-0.208624,-0.770142
-0.136461,0.021797,0.058360,-0.307970,6.047691,-0.557435,0.649553,-0.202812,-0.732768
-0.221729,0.080414,0.082543,-0.412902,5.137692,-0.590976,0.692050,-0.196503,-0.694588
-0.391591,0.157353,0.669157,-0.662619,3.183379,-0.712650,0.720983,-0.188176,-0.666914
-0.353966,0.035356,1.000027,-0.884264,2.212801,-0.872054,0.740135,-0.177248,-0.648678
-0.143777,-0.011728,0.645988,-1.102857,1.373757,-1.040443,0.753426,-0.163626,-0.636848
-0.036766,0.039025,0.629445,-1.295447,0.521046,-1.132883,0.761086,-0.147637,-0.631627
0.006093,0.064386,0.469618,-1.441224,0.154858,-1.115189,0.764597,-0.130258,-0.631208
-0.043564,0.146903,0.121778,-1.551946,0.118561,-1.065149,0.766693,-0.112342,-0.632108
-0.108834,0.198710,-0.054999,-1.694144,0.147773,-1.065978,0.768700,-0.093867,-0.632684
-0.158080,0.168577,-0.070598,-1.940460,-0.097958,-1.219103,0.770003,-0.073621,-0.633779
-0.262025,0.109226,0.117420,-2.376544,-0.669504,-1.400860,0.768205,-0.049610,-0.638279
-0.294716,0.121363,0.252911,-2.647149,-0.627973,-1.494240,0.764427,-0.022150,-0.644329
-0.341515,0.222403,-0.102941,-2.838084,-0.705107,-1.534992,0.760338,0.007348,-0.649486
-0.350349,0.286839,-0.084283,-2.951509,-0.855440,-1.521694,0.754906,0.038021,-0.654730
-0.289504,0.272721,-0.011740,-3.117446,-1.028458,-1.649921,0.747771,0.069854,-0.660272
-0.248828,0.036848,-0.045104,-3.556946,-0.902019,-2.069153,0.739581,0.105776,-0.664704
-0.246767,-0.330990,-0.215640,-4.062019,-0.626251,-2.568244,0.731493,0.148510,-0.665479
-0.247526,-0.400979,-0.294519,-4.487099,-0.325592,-2.819163,0.723616,0.196954,-0.661506
-0.206031,-0.078873,-0.291248,-4.650218,-0.583018,-2.867531,0.714408,0.247955,-0.654324
-0.116848,0.174070,-0.050962,-4.404681,-0.965886,-2.831862,0.701473,0.298036,-0.647387
-0.057449,0.280055,0.087463,-3.918929,-1.370019,-2.764492,0.684860,0.344625,-0.642028
-0.025716,0.331890,0.138059,-3.305256,-1.717390,-2.688347,0.664800,0.386448,-0.639295
0.009689,0.384317,0.086813,-2.660205,-1.905203,-2.575533,0.642426,0.422934,-0.639074
0.075598,0.445103,0.000594,-2.058281,-2.131403,-2.448003,0.618356,0.454005,-0.641494
0.160310,0.452781,0.001265,-1.639709,-2.292285,-2.374817,0.592681,0.480508,-0.646407
0.211688,0.386406,-0.010419,-1.491753,-2.349126,-2.367727,0.565717,0.504448,-0.652301
0.228716,0.293360,-0.052347,-1.559107,-2.191578,-2.357848,0.538405,0.527547,-0.657126
0.232209,0.221395,-0.132257,-1.761221,-1.850867,-2.343137,0.512221,0.550914,-0.658881
0.248360,0.161456,-0.191274,-2.028007,-1.433288,-2.359065,0.488060,0.575239,-0.656428
0.269290,0.122270,-0.207389,-2.315583,-1.008675,-2.438101,0.465848,0.600996,-0.649453
0.276210,0.101964,-0.217692,-2.571656,-0.511175,-2.542273,0.445500,0.628245,-0.637838
0.280886,0.083850,-0.236730,-2.750888,-0.023966,-2.650980,0.427076,0.656522,-0.621760
0.300596,0.061415,-0.213290,-2.851846,0.342723,-2.749439,0.409868,0.685167,-0.602124
0.322663,0.030097,-0.170681,-2.879732,0.661750,-2.805281,0.393280,0.713464,-0.579914
