ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.045712,0.667723,-0.000187,2.749984,3.430859,4.342371,0.739484,0.514940,-0.433590
-0.103072,0.654562,0.029641,2.683262,3.077035,4.428817,0.775222,0.469812,-0.422265
-0.166982,0.652186,0.055886,2.589309,2.724277,4.491424,0.807424,0.423223,-0.411035
-0.226013,0.652970,0.076547,2.473554,2.390242,4.517517,0.835968,0.375625,-0.400079
-0.288665,0.648456,0.092978,2.344936,2.071754,4.507243,0.860793,0.327512,-0.389579
-0.348368,0.635071,0.110449,2.199339,1.773303,4.463442,0.881922,0.279373,-0.379690
-0.403562,0.620776,0.114099,2.046109,1.522957,4.366557,0.899487,0.231763,-0.370416
-0.440723,0.603740,0.109272,1.868379,1.272491,4.202917,0.913639,0.185429,-0.361774
-0.478226,0.590501,0.112255,1.659157,1.050796,3.998667,0.924545,0.141143,-0.353970
-0.516057,0.581668,0.096870,1.439390,0.876461,3.779867,0.932637,0.099347,-0.346870
-0.555415,0.573258,0.077985,1.218079,0.728392,3.541315,0.938349,0.060287,-0.340391
-0.586083,0.564456,0.076124,1.011489,0.582720,3.286800,0.942025,0.024213,-0.334669
-0.611483,0.554325,0.077013,0.811850,0.457516,3.029932,0.944003,-0.008793,-0.329821
-0.637839,0.550450,0.069017,0.623467,0.355168,2.779806,0.944647,-0.038747,-0.325792
-0.657078,0.550863,0.059641,0.436733,0.252055,2.531744,0.944248,-0.065710,-0.322611
-0.666246,0.549565,0.062775,0.260212,0.112443,2.281737,0.942995,-0.089681,-0.320496
-0.669654,0.547338,0.071929,0.088098,-0.061683,2.043453,0.940910,-0.110708,-0.320052
-0.679660,0.548316,0.073825,-0.083420,-0.241508,1.817829,0.938098,-0.128944,-0.321475
-0.696385,0.553724,0.072992,-0.248760,-0.417330,1.599151,0.934682,-0.144499,-0.324793
-0.713475,0.554940,0.077627,-0.410931,-0.596453,1.369339,0.930760,-0.157357,-0.330038
-0.725539,0.549828,0.086659,-0.572733,-0.792016,1.111802,0.926406,-0.167305,-0.337315
-0.738353,0.543872,0.096998,-0.733622,-0.977078,0.829324,0.921687,-0.174090,-0.346678
-0.750885,0.536509,0.098298,-0.885570,-1.135616,0.530450,0.916733,-0.177516,-0.357895
-0.755817,0.528003,0.096808,-1.024716,-1.265559,0.222087,0.911655,-0.177478,-0.370658
-0.749475,0.524585,0.094421,-1.149448,-1.360380,-0.079341,0.906534,-0.173984,-0.384612
-0.735401,0.535224,0.086597,-1.255137,-1.427870,-0.373122,0.901417,-0.167182,-0.399372
-0.710577,0.541129,0.089217,-1.346470,-1.480900,-0.680661,0.896322,-0.157096,-0.414641
-0.685671,0.534308,0.092797,-1.432965,-1.516912,-0.982467,0.891206,-0.143713,-0.430230
-0.663754,0.528348,0.090374,-1.513400,-1.513138,-1.270799,0.886060,-0.127134,-0.445797
-0.640416,0.520175,0.083849,-1.574116,-1.487312,-1.542295,0.880879,-0.107578,-0.460955
-0.617757,0.517149,0.085727,-1.607474,-1.459588,-1.800267,0.875554,-0.085310,-0.475528
-0.596757,0.511765,0.095888,-1.604791,-1.413637,-2.057551,0.869981,-0.060562,-0.489351
-0.578697,0.499128,0.099751,-1.554358,-1.341659,-2.320514,0.864143,-0.033582,-0.502125
-0.553035,0.486066,0.098956,-1.466768,-1.253246,-2.592429,0.857982,-0.004591,-0.513659
-0.522224,0.479830,0.097547,-1.347747,-1.145198,-2.872074,0.851417,0.026243,-0.523832
-0.484920,0.482345,0.092641,-1.202954,-0.994567,-3.149170,0.844417,0.058701,-0.532460
-0.449439,0.491183,0.079154,-1.038288,-0.781483,-3.408148,0.837119,0.092481,-0.539146
-0.415582,0.502090,0.058067,-0.860578,-0.556647,-3.661449,0.829568,0.127274,-0.543708
-0.368812,0.509736,0.052679,-0.688384,-0.340115,-3.933315,0.821571,0.163024,-0.546301
-0.316480,0.524746,0.049446,-0.531157,-0.135252,-4.248456,0.812802,0.199970,-0.547142
-0.260370,0.543737,0.052379,-0.389189,0.060972,-4.595306,0.802850,0.238429,-0.546428
-0.214445,0.576884,0.050457,-0.267450,0.252952,-4.952231,0.791289,0.278493,-0.544338
-0.173792,0.615293,0.029917,-0.151581,0.467207,-5.288284,0.777842,0.320055,-0.540858
-0.138487,0.641103,0.013905,-0.052825,0.643735,-5.598178,0.762159,0.362773,-0.536198
-0.109646,0.654422,0.014297,0.050129,0.801809,-5.875443,0.743847,0.406262,-0.530700
-0.063548,0.672053,0.008190,0.162821,0.913249,-6.107770,0.722605,0.449911,-0.524806
-0.009451,0.692668,0.009408,0.294671,0.904314,-6.345201,0.697882,0.493199,-0.519341
0.050937,0.689696,0.040876,0.412072,0.892544,-6.521824,0.669201,0.535646,-0.515027
0.107322,0.745231,0.008082,0.491804,0.894360,-6.615770,0.637047,0.576485,-0.511698
0.166400,0.792116,-0.026812,0.543334,0.872515,-6.665590,0.601773,0.615218,-0.509290
