ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.177596,-0.093636,-0.430885,2.082078,-0.415062,0.745928,0.441987,-0.039039,-0.896171
0.206516,-0.064071,-0.384924,1.988522,-0.587842,0.816971,0.437069,-0.060898,-0.897364
0.229194,-0.042431,-0.335141,1.844615,-0.717206,0.857606,0.430535,-0.081883,-0.898852
0.258563,-0.007876,-0.306809,1.752919,-1.022336,0.868820,0.422131,-0.101789,-0.900802
0.282417,0.017946,-0.160912,1.719844,-1.192313,0.857278,0.410805,-0.121187,-0.903633
0.312585,0.068234,-0.232863,1.669966,-1.002492,0.797467,0.399619,-0.139981,-0.905931
0.326133,0.102838,-0.350137,1.689012,-0.761957,0.681279,0.390496,-0.158182,-0.906913
0.319803,0.115957,-0.271221,1.799069,-0.586946,0.561951,0.383307,-0.176474,-0.906605
0.308247,0.158662,-0.191532,1.949376,-0.315704,0.466792,0.378170,-0.195497,-0.904858
0.300765,0.229937,-0.185500,2.091161,0.029231,0.378489,0.376008,-0.215472,-0.901216
0.295577,0.280060,-0.150323,2.193074,0.289273,0.264497,0.376816,-0.236084,-0.895697
0.311290,0.317659,-0.061649,2.219513,0.371024,0.139530,0.379430,-0.256701,-0.888897
0.322968,0.356648,0.042264,2.128238,0.277885,0.037541,0.382217,-0.276432,-0.881757
0.312742,0.402626,0.157201,1.935298,0.098140,-0.022987,0.383944,-0.294426,-0.875157
0.292548,0.455454,0.250912,1.671009,-0.054837,-0.035374,0.384241,-0.310145,-0.869580
0.278867,0.506917,0.314309,1.351267,-0.166706,-0.030311,0.383394,-0.323216,-0.865182
0.268117,0.562333,0.387004,1.002688,-0.250255,-0.041329,0.381664,-0.333299,-0.862117
0.257569,0.626953,0.451650,0.719355,-0.209557,-0.055244,0.379790,-0.340499,-0.860128
0.249483,0.698363,0.458797,0.537700,-0.113796,-0.095996,0.378645,-0.345610,-0.858593
0.229957,0.722394,0.506754,0.421184,-0.033584,-0.210032,0.378548,-0.349149,-0.857203
0.202611,0.725256,0.579728,0.315775,-0.003423,-0.365816,0.379436,-0.351232,-0.855958
0.178550,0.743819,0.639206,0.178611,-0.019918,-0.528160,0.380944,-0.351683,-0.855103
0.141582,0.757508,0.683188,-0.014326,-0.035285,-0.668865,0.382817,-0.350114,-0.854910
0.087886,0.760226,0.710831,-0.270664,0.016130,-0.761125,0.385182,-0.346133,-0.855469
0.030283,0.754701,0.706773,-0.548966,0.219588,-0.787878,0.388800,-0.339571,-0.856461
-0.016238,0.746395,0.669710,-0.818488,0.534936,-0.778824,0.394655,-0.330578,-0.857301
-0.036163,0.726720,0.649289,-1.061574,0.897063,-0.790534,0.403381,-0.319310,-0.857511
-0.026705,0.698675,0.632908,-1.261515,1.284964,-0.829298,0.415331,-0.305945,-0.856679
0.009786,0.690711,0.590962,-1.418070,1.641073,-0.873254,0.430507,-0.290778,-0.854466
0.055172,0.705066,0.554814,-1.563526,1.951888,-0.934267,0.448506,-0.274005,-0.850743
0.094711,0.712036,0.530266,-1.726270,2.203596,-1.036521,0.468888,-0.255447,-0.845512
0.121321,0.701757,0.498417,-1.913754,2.445816,-1.163738,0.491274,-0.234732,-0.838780
0.124427,0.683684,0.431474,-2.108422,2.727382,-1.264789,0.515709,-0.211684,-0.830201
0.104641,0.672381,0.339126,-2.266816,2.997755,-1.332467,0.542102,-0.186587,-0.819335
0.084918,0.657120,0.263947,-2.397782,3.126765,-1.398778,0.569607,-0.159897,-0.806214
0.071622,0.621015,0.233417,-2.533247,3.149460,-1.483130,0.596957,-0.131635,-0.791401
0.055612,0.590367,0.169471,-2.701153,3.148191,-1.583379,0.623602,-0.101628,-0.775108
0.043880,0.562225,0.069265,-2.905350,3.055491,-1.733895,0.648976,-0.069428,-0.757634
0.051619,0.521581,-0.008643,-3.093955,2.941707,-1.913012,0.672502,-0.034688,-0.739282
0.092780,0.508949,-0.112328,-3.232250,2.825469,-2.074960,0.694009,0.002267,-0.719963
0.138156,0.485826,-0.204983,-3.315877,2.680400,-2.234135,0.713208,0.040922,-0.699757
0.177176,0.430809,-0.248567,-3.359583,2.563532,-2.379702,0.729929,0.080848,-0.678725
0.228650,0.395031,-0.316411,-3.361299,2.548095,-2.444309,0.744601,0.121372,-0.656383
0.266911,0.369727,-0.422629,-3.312074,2.509228,-2.404957,0.757595,0.161401,-0.632455
0.290683,0.317854,-0.461853,-3.208062,2.261323,-2.281091,0.768307,0.199770,-0.608108
0.302000,0.253125,-0.437167,-3.106961,1.853251,-2.139105,0.775835,0.235873,-0.585187
0.303558,0.200296,-0.439417,-3.085597,1.456405,-2.018943,0.780106,0.269980,-0.564398
0.302798,0.156975,-0.502573,-3.181304,1.137968,-1.923689,0.781629,0.302895,-0.545263
0.294928,0.120175,-0.561656,-3.359924,0.944269,-1.866091,0.781152,0.335376,-0.526616
0.269276,0.069287,-0.600614,-3.548261,0.729354,-1.843677,0.778987,0.367878,-0.507785
