ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.657655,-0.166754,-0.164981,0.790832,0.353320,-2.397163,0.054201,0.885809,-0.460874
-0.670394,-0.142757,-0.235392,0.820184,0.330512,-2.631891,0.033339,0.883144,-0.467916
-0.662813,-0.084194,-0.278909,0.805264,0.297199,-2.757419,0.010912,0.879878,-0.475074
-0.663002,-0.012050,-0.258052,0.780810,0.325535,-2.887069,-0.012551,0.876048,-0.482060
-0.687764,0.004274,-0.295264,0.825134,0.548297,-3.100230,-0.036723,0.871412,-0.489175
-0.683662,0.022278,-0.378109,0.968022,0.719329,-3.391390,-0.061852,0.865387,-0.497272
-0.612021,0.053774,-0.381279,1.182777,0.746463,-3.739020,-0.089014,0.857267,-0.507119
-0.552485,0.067681,-0.376099,1.442372,0.871070,-4.162300,-0.118704,0.846382,-0.519179
-0.490228,0.082570,-0.463981,1.726532,0.899844,-4.464793,-0.150458,0.832133,-0.533776
-0.504928,0.200478,-0.477417,1.967433,0.555863,-4.598923,-0.183976,0.814400,-0.550369
-0.519452,0.280940,-0.371984,2.117014,0.017494,-4.588725,-0.219623,0.793553,-0.567485
-0.487588,0.356696,-0.340169,2.215169,-0.355228,-4.493966,-0.256400,0.770120,-0.584101
-0.427855,0.442013,-0.420428,2.295239,-0.642076,-4.409069,-0.293306,0.744388,-0.599881
-0.350021,0.506120,-0.470805,2.368597,-0.893965,-4.429629,-0.330384,0.716307,-0.614614
-0.246346,0.514358,-0.467506,2.447370,-1.079824,-4.529528,-0.368202,0.685486,-0.628121
-0.183841,0.523945,-0.481722,2.527419,-1.311263,-4.507278,-0.406278,0.651958,-0.640226
-0.155426,0.589187,-0.464502,2.613747,-1.670918,-4.304478,-0.444138,0.616364,-0.650259
-0.076025,0.693744,-0.392987,2.686021,-2.025652,-3.982798,-0.481394,0.579541,-0.657565
0.032208,0.776940,-0.364055,2.747015,-2.079133,-3.635151,-0.516858,0.542198,-0.662480
0.145124,0.843065,-0.429698,2.843475,-1.956442,-3.311452,-0.548642,0.504896,-0.666387
0.240618,0.864388,-0.437112,2.965651,-1.874160,-3.080541,-0.577135,0.467308,-0.669730
0.272263,0.767019,-0.376528,3.099467,-1.751114,-2.969234,-0.603012,0.428904,-0.672620
0.261872,0.657158,-0.321333,3.238142,-1.687842,-2.924620,-0.626756,0.389183,-0.675066
0.269067,0.631817,-0.221228,3.379278,-1.697780,-2.867334,-0.649026,0.348087,-0.676462
0.291295,0.675321,-0.170913,3.487795,-1.572023,-2.800747,-0.669576,0.305880,-0.676835
0.325976,0.687903,-0.199018,3.526872,-1.219981,-2.766074,-0.687121,0.262979,-0.677279
0.378223,0.658758,-0.240034,3.512411,-0.816837,-2.772662,-0.700764,0.219630,-0.678744
0.430292,0.617683,-0.207171,3.484943,-0.493579,-2.792376,-0.710748,0.175941,-0.681089
0.441151,0.599964,-0.174461,3.426851,-0.193834,-2.802661,-0.717457,0.132076,-0.683968
0.423549,0.595142,-0.170387,3.301844,0.063726,-2.755395,-0.720973,0.088695,-0.687263
0.411791,0.603983,-0.125796,3.103436,0.296785,-2.633097,-0.721575,0.046865,-0.690748
0.445030,0.650219,-0.065724,2.813446,0.600140,-2.448086,-0.719215,0.007801,-0.694743
0.488119,0.690448,-0.051768,2.485950,0.760951,-2.222551,-0.714010,-0.027637,-0.699589
0.457501,0.580230,0.028820,2.214699,0.865959,-1.997939,-0.707486,-0.059295,-0.704235
0.492424,0.546921,0.118313,2.014262,0.842211,-1.778065,-0.699837,-0.087647,-0.708905
0.528610,0.564482,0.195075,1.911017,0.552853,-1.496894,-0.693146,-0.113158,-0.711860
0.511347,0.609012,0.314864,1.828434,0.314272,-1.161511,-0.688456,-0.135821,-0.712447
0.480584,0.638472,0.325077,1.731786,0.269523,-0.845678,-0.684991,-0.155562,-0.711750
0.489136,0.613680,0.290302,1.606017,0.306065,-0.595308,-0.681778,-0.172457,-0.710941
0.506572,0.576353,0.274907,1.429554,0.396433,-0.394574,-0.678401,-0.186690,-0.710576
0.518447,0.555502,0.274948,1.217812,0.500417,-0.256510,-0.674590,-0.198354,-0.711044
0.527898,0.534721,0.294391,0.991116,0.703289,-0.162663,-0.669896,-0.207680,-0.712817
0.552005,0.517390,0.292641,0.747803,0.999269,-0.086827,-0.663562,-0.214747,-0.716637
0.581344,0.508951,0.314704,0.537675,1.441814,-0.078823,-0.654647,-0.219904,-0.723243
0.599301,0.498323,0.320610,0.352506,1.986829,-0.173551,-0.641811,-0.223939,-0.733437
0.606839,0.526031,0.311905,0.162176,2.449001,-0.343876,-0.624661,-0.227493,-0.747024
0.592073,0.578231,0.345422,-0.061777,2.839182,-0.571435,-0.603548,-0.230697,-0.763223
0.548757,0.579498,0.398751,-0.313395,3.242802,-0.812528,-0.578283,-0.233368,-0.781747
0.477618,0.560933,0.418438,-0.568715,3.576909,-1.022834,-0.548922,-0.235081,-0.802135
0.421217,0.564899,0.444577,-0.845801,3.886619,-1.137467,-0.515837,-0.235126,-0.823789
