ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.022204,0.190037,-0.089747,-1.448303,-0.795751,-0.309354,0.840853,-0.047627,0.539164
-0.018316,0.189922,-0.097342,-1.416864,-0.869139,-0.375059,0.845510,-0.052441,0.531378
-0.016564,0.190381,-0.096448,-1.373822,-0.934155,-0.434191,0.850518,-0.056378,0.522916
-0.012986,0.190635,-0.093815,-1.329952,-0.985728,-0.478591,0.855790,-0.059501,0.513890
-0.010992,0.184847,-0.092942,-1.295453,-1.132491,-0.506612,0.861379,-0.061984,0.504166
-0.033085,0.182104,-0.029068,-1.077008,-2.090206,-0.594015,0.869923,-0.063085,0.489136
-0.139746,0.164305,0.026123,-0.900364,-2.738253,-0.626503,0.881888,-0.062483,0.467301
-0.155847,0.142812,-0.058680,-0.691232,-3.376669,-0.683523,0.896250,-0.060293,0.439433
-0.164076,0.122678,-0.045820,-0.408787,-3.867335,-0.925002,0.912245,-0.055509,0.405867
-0.143576,-0.051174,-0.082586,-0.179454,-3.750021,-1.337627,0.927786,-0.046177,0.370245
-0.106694,-0.176656,-0.248624,-0.038122,-3.427035,-1.749421,0.941166,-0.032023,0.336423
-0.023572,-0.164892,-0.250974,0.077725,-3.044255,-2.128234,0.952069,-0.013483,0.305586
0.024258,-0.153300,-0.239462,0.186056,-2.550027,-2.490838,0.960377,0.009135,0.278555
0.053159,-0.139545,-0.247015,0.309183,-1.869563,-2.903922,0.965732,0.035846,0.257056
0.180574,-0.129202,-0.238515,0.456773,-1.207620,-3.407835,0.967955,0.067480,0.241887
0.252915,-0.106716,-0.200264,0.653342,-0.559013,-3.876235,0.966903,0.104290,0.232857
0.206825,-0.076925,-0.164662,0.908678,-0.166820,-4.196027,0.962578,0.145437,0.228673
0.065547,0.014694,-0.040403,1.213426,-0.603686,-3.811383,0.956502,0.187149,0.223784
-0.201441,0.412379,0.252706,1.482466,-1.572757,-2.457510,0.952387,0.220647,0.210414
-0.318404,0.827058,0.358884,1.546244,-1.932091,-0.878001,0.952193,0.239485,0.189669
-0.165347,0.772564,0.030063,1.485859,-1.821656,0.071879,0.954730,0.245609,0.167829
0.046935,0.348194,-0.093410,1.503138,-1.698566,0.370910,0.958131,0.245525,0.147319
0.089460,0.012284,0.045231,1.603985,-1.779299,0.357478,0.961428,0.244064,0.126843
0.042841,-0.120165,0.150393,1.712320,-1.934206,0.294514,0.964391,0.242846,0.104764
-0.030573,-0.141159,0.131219,1.816577,-1.965258,0.290365,0.966929,0.241700,0.081428
-0.096941,-0.155575,0.051729,1.903047,-1.920643,0.299554,0.969011,0.240109,0.058013
-0.121171,-0.220502,0.020740,1.951821,-2.012096,0.222296,0.970567,0.238370,0.034359
-0.085112,-0.299097,0.077670,1.935763,-2.330774,0.064749,0.971373,0.237406,0.008512
-0.066966,-0.300370,0.138612,1.932502,-2.615113,-0.090640,0.971202,0.237397,-0.020249
-0.022944,-0.272024,0.156493,1.925497,-2.996026,-0.316378,0.969706,0.238637,-0.052168
0.067550,-0.259877,0.215369,1.898586,-3.529649,-0.595163,0.966310,0.241703,-0.088461
0.099979,-0.254813,0.278283,1.848323,-4.188184,-0.887817,0.960247,0.246832,-0.130379
0.066074,-0.259148,0.332316,1.792671,-4.864598,-1.179004,0.950604,0.253944,-0.178508
0.036336,-0.270880,0.370449,1.712911,-5.465407,-1.490197,0.936458,0.262976,-0.232143
0.021500,-0.279553,0.405247,1.581985,-5.683919,-1.818627,0.917160,0.274059,-0.289326
0.018542,-0.248116,0.115935,1.093455,-3.869262,-1.973154,0.896559,0.287225,-0.337172
0.009168,-0.072564,-0.861602,0.718179,-2.489374,-1.962094,0.879184,0.301766,-0.368745
-0.107735,0.036593,-0.852948,0.581628,-0.740131,-1.630753,0.867775,0.315260,-0.384159
-0.169497,0.125753,-0.895916,0.412866,-0.283886,-1.240399,0.861284,0.325800,-0.389927
-0.097810,0.080551,-0.339404,0.243202,-0.217624,-0.776831,0.857026,0.333268,-0.392987
-0.115491,0.186771,-0.197345,0.123228,-0.398803,-0.252137,0.854108,0.337017,-0.396130
-0.058588,0.256889,-0.032151,0.056715,-0.650172,0.312435,0.852076,0.336418,-0.400985
-0.027862,0.273617,0.068919,0.016981,-0.831927,0.862156,0.851043,0.331226,-0.407450
-0.009214,0.252998,0.046524,0.034236,-1.133485,1.188234,0.850507,0.322136,-0.415771
0.122338,0.106360,0.128800,0.076338,-1.507044,1.223143,0.848731,0.311487,-0.427354
0.152771,-0.015315,0.177480,0.075446,-1.691762,1.134760,0.845322,0.301066,-0.441350
0.039986,-0.065064,0.088969,0.087252,-1.831191,0.920304,0.840522,0.291901,-0.456416
-0.031566,-0.180427,0.141822,0.230810,-2.087559,0.498618,0.833476,0.285133,-0.473304
-0.048819,-0.356048,0.283746,0.501227,-2.306718,0.004504,0.823462,0.281295,-0.492730
-0.073972,-0.418503,0.329908,0.818731,-2.334564,-0.394853,0.811078,0.279618,-0.513776
