ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.009142,0.128607,0.038407,-0.866320,-2.024470,0.499713,0.923341,-0.041373,-0.381745
0.004274,0.143490,0.039848,-0.799637,-2.167935,0.573236,0.914901,-0.043072,-0.401375
0.005781,0.133447,0.079234,-0.742590,-2.402036,0.603393,0.905169,-0.045282,-0.422633
-0.002411,0.116679,0.123246,-0.722689,-2.674913,0.606340,0.893799,-0.047572,-0.445939
-0.014747,0.105956,0.157063,-0.732497,-3.039575,0.598262,0.880363,-0.049605,-0.471700
-0.015956,0.099066,0.230760,-0.723282,-3.561614,0.572047,0.863963,-0.051184,-0.500947
-0.012606,0.090676,0.329164,-0.654518,-4.199695,0.552556,0.843493,-0.052407,-0.534578
-0.008207,0.101179,0.402768,-0.515830,-4.900779,0.543706,0.817839,-0.053724,-0.572934
-0.018105,0.117927,0.437567,-0.330776,-5.555237,0.553460,0.786293,-0.055595,-0.615348
-0.042678,0.142341,0.428730,-0.137158,-6.238854,0.614465,0.748138,-0.058570,-0.660953
-0.044835,0.170676,0.446538,0.076595,-6.867285,0.719869,0.702520,-0.063208,-0.708852
-0.066952,0.194650,0.408871,0.316064,-7.379992,0.840276,0.649426,-0.069971,-0.757199
-0.101577,0.188158,0.331912,0.531489,-7.791657,0.922084,0.589064,-0.078829,-0.804232
-0.133440,0.160071,0.229544,0.706317,-7.941268,0.992332,0.522783,-0.089362,-0.847769
-0.183481,0.140552,0.134260,0.748317,-8.140419,0.996731,0.451776,-0.100727,-0.886427
-0.188386,0.084540,0.139669,0.616262,-8.355809,0.908917,0.375611,-0.110968,-0.920110
-0.188650,0.054640,0.140247,0.372035,-8.591998,0.809241,0.295248,-0.118590,-0.948032
-0.221613,0.061022,0.270129,-0.062058,-9.352329,0.797281,0.208170,-0.122301,-0.970416
-0.214068,0.084576,0.556020,-0.875731,-11.003675,0.914473,0.107134,-0.119137,-0.987081
-0.226617,0.117597,0.939516,-1.725370,-12.791767,1.202396,-0.012687,-0.106626,-0.994218
-0.278813,0.205980,0.978399,-2.656383,-13.265208,1.582215,-0.145748,-0.083773,-0.985769
-0.391651,0.251940,-0.065439,-2.133484,-6.845886,1.535208,-0.248943,-0.055788,-0.966910
-0.417047,0.051652,-2.776799,-1.900439,-3.877070,1.754818,-0.301322,-0.031602,-0.952999
-0.272295,0.198541,-1.062279,-1.893041,-3.186749,2.113496,-0.334822,-0.007334,-0.942253
-0.205740,0.360924,-0.331090,-1.748263,-2.584477,2.418688,-0.361582,0.017799,-0.932170
-0.220723,0.402895,-0.457902,-1.580634,-2.513226,2.713808,-0.384471,0.043028,-0.922134
-0.226477,0.454058,-0.206804,-1.271485,-2.381027,2.849335,-0.405512,0.067365,-0.911604
-0.253868,0.376697,-0.220553,-0.878703,-2.354603,2.782507,-0.424629,0.088986,-0.900984
-0.290978,0.261063,-0.101431,-0.494256,-2.942043,2.630044,-0.445472,0.106994,-0.888879
-0.239393,0.191545,0.174196,-0.115114,-3.743709,2.484343,-0.472201,0.121489,-0.873079
-0.183191,0.143095,0.226846,0.231307,-4.339965,2.324905,-0.504370,0.132768,-0.853220
-0.116822,0.067980,0.162920,0.509872,-4.605917,2.147640,-0.539322,0.141325,-0.830156
-0.045241,-0.000874,0.080329,0.694499,-4.628637,1.992049,-0.574372,0.147908,-0.805121
-0.018247,-0.021484,0.010538,0.775057,-4.539916,1.866248,-0.607989,0.153473,-0.778971
0.000213,-0.037110,-0.012703,0.769116,-4.412342,1.738987,-0.639648,0.158814,-0.752083
0.018525,-0.070823,-0.027707,0.678643,-4.267371,1.585124,-0.669175,0.164344,-0.724704
0.020854,-0.097547,-0.049746,0.494164,-4.114638,1.410581,-0.696620,0.170393,-0.696912
0.016378,-0.103953,-0.072208,0.227579,-3.976152,1.238169,-0.722082,0.177318,-0.668697
0.035948,-0.100399,-0.086914,-0.088733,-3.853631,1.098006,-0.745726,0.185451,-0.639923
0.068291,-0.098030,-0.098994,-0.403259,-3.720569,0.978795,-0.767571,0.194893,-0.610616
0.086506,-0.102200,-0.111843,-0.684340,-3.558432,0.856938,-0.787540,0.205350,-0.581044
0.052446,-0.110501,-0.163038,-0.909459,-3.427562,0.699979,-0.805742,0.216168,-0.551409
-0.008367,-0.096116,-0.186909,-1.070117,-3.494194,0.500129,-0.822977,0.226441,-0.520992
-0.038045,-0.052321,-0.110143,-1.161181,-3.803065,0.306771,-0.840480,0.235473,-0.488002
-0.043794,-0.010951,0.009715,-1.194884,-4.276580,0.167029,-0.858977,0.243052,-0.450648
-0.040733,-0.029343,0.124698,-1.183927,-4.759037,0.075804,-0.878212,0.249222,-0.408206
-0.064254,-0.060438,0.175783,-1.117421,-5.069717,0.034668,-0.897156,0.254179,-0.361253
-0.083500,-0.051850,0.169231,-1.041161,-4.856742,0.038174,-0.914059,0.258133,-0.312832
0.007582,-0.094736,0.071609,-0.977385,-4.191252,0.061048,-0.927351,0.261514,-0.267638
0.049519,-0.117556,0.101661,-0.956928,-1.593761,0.199525,-0.934574,0.264986,-0.237388
