ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.600554,0.411459,0.016450,0.155932,0.369685,-3.829747,0.915557,0.254846,-0.311143
-0.555911,0.426115,0.015946,0.122255,0.341670,-4.112312,0.905765,0.290789,-0.308274
-0.519151,0.426161,0.017111,0.092646,0.333932,-4.386821,0.893556,0.328921,-0.305563
-0.478049,0.432457,0.005871,0.072216,0.354520,-4.651468,0.878745,0.368950,-0.302792
-0.427396,0.451784,-0.015860,0.076039,0.400589,-4.920233,0.861127,0.410597,-0.299783
-0.372612,0.475697,-0.039893,0.114859,0.449968,-5.189637,0.840432,0.453579,-0.296548
-0.313779,0.505350,-0.051278,0.197444,0.502416,-5.449968,0.816388,0.497473,-0.293312
-0.255076,0.536213,-0.057287,0.333750,0.561918,-5.677906,0.788859,0.541653,-0.290369
-0.202702,0.564083,-0.061635,0.521931,0.596544,-5.859046,0.757832,0.585316,-0.288264
-0.143824,0.608561,-0.060931,0.752320,0.611378,-5.995071,0.723398,0.627661,-0.287641
-0.078266,0.665508,-0.070037,1.004926,0.606826,-6.087877,0.685779,0.667957,-0.289033
-0.001223,0.718515,-0.060565,1.244478,0.535308,-6.154284,0.645159,0.705649,-0.292966
0.085158,0.761290,-0.019120,1.436778,0.390290,-6.209057,0.601564,0.740419,-0.299834
0.172792,0.777887,0.027536,1.535827,0.228657,-6.245106,0.555129,0.772085,-0.309381
0.254456,0.772770,0.055273,1.536916,0.086966,-6.265821,0.506134,0.800594,-0.320746
0.331854,0.752093,0.071673,1.463367,-0.024069,-6.293097,0.454859,0.826001,-0.332904
0.398341,0.720588,0.088934,1.351289,-0.132972,-6.289771,0.401571,0.848321,-0.345099
0.458403,0.702585,0.114228,1.226637,-0.234508,-6.218077,0.346910,0.867331,-0.356919
0.519908,0.690586,0.138306,1.084401,-0.321911,-6.067126,0.291752,0.882870,-0.367997
0.589043,0.673948,0.151947,0.913300,-0.396284,-5.831268,0.237144,0.894961,-0.377899
0.663742,0.647949,0.167620,0.713233,-0.426624,-5.525647,0.184128,0.903869,-0.386157
0.742020,0.601323,0.171648,0.490167,-0.353839,-5.156884,0.133788,0.910060,-0.392291
0.812963,0.543303,0.165099,0.284783,-0.180249,-4.692950,0.087458,0.914019,-0.396133
0.867755,0.480917,0.170159,0.120076,0.070901,-4.118270,0.046613,0.916193,-0.398018
0.907874,0.415505,0.182158,-0.002439,0.367495,-3.465539,0.012491,0.917091,-0.398482
0.929298,0.338679,0.196303,-0.099761,0.709629,-2.785664,-0.014198,0.917272,-0.398009
0.930553,0.268843,0.195703,-0.183017,1.090033,-2.103983,-0.033168,0.917253,-0.396921
0.920643,0.216534,0.194452,-0.276938,1.448905,-1.440625,-0.044437,0.917469,-0.395319
0.891568,0.173194,0.204920,-0.381804,1.777267,-0.843503,-0.048535,0.918237,-0.393046
0.844253,0.132957,0.205567,-0.495752,2.078665,-0.340777,-0.046355,0.919686,-0.389908
0.783042,0.109899,0.188537,-0.587848,2.359998,0.064188,-0.038917,0.921747,-0.385833
0.726878,0.096409,0.168722,-0.633369,2.589016,0.375421,-0.027277,0.924191,-0.380957
0.668391,0.083602,0.166630,-0.626383,2.759267,0.601194,-0.012507,0.926698,-0.375599
0.608738,0.074802,0.169544,-0.564507,2.886583,0.750025,0.004437,0.928967,-0.370136
0.550968,0.064913,0.170958,-0.475581,2.975692,0.818046,0.022656,0.930784,-0.364867
0.497349,0.050020,0.169414,-0.382267,3.024009,0.817412,0.041286,0.932081,-0.359889
0.449990,0.032467,0.175144,-0.304377,3.051637,0.759068,0.059623,0.932911,-0.355137
0.407485,0.013256,0.172314,-0.241575,3.073786,0.670357,0.077210,0.933384,-0.350475
0.364118,0.000642,0.172453,-0.184837,3.070235,0.571683,0.093813,0.933592,-0.345839
0.333902,-0.004372,0.187040,-0.144950,3.023147,0.462840,0.109198,0.933632,-0.341184
0.309307,-0.002499,0.197334,-0.121630,2.971480,0.360044,0.123265,0.933605,-0.336433
0.279782,0.007061,0.201609,-0.111014,2.903306,0.268434,0.136081,0.933582,-0.331522
0.253608,0.003860,0.212406,-0.112174,2.817487,0.193447,0.147698,0.933625,-0.326389
0.231047,0.000008,0.221772,-0.118675,2.724620,0.151361,0.158311,0.933738,-0.321046
0.209467,0.009107,0.224047,-0.131193,2.624062,0.132647,0.168204,0.933901,-0.315493
0.195477,0.018408,0.227473,-0.167199,2.504186,0.113780,0.177432,0.934152,-0.309642
0.186797,0.022200,0.230484,-0.236526,2.369091,0.099760,0.185945,0.934572,-0.303314
0.176261,0.013385,0.234115,-0.343517,2.217376,0.094927,0.193765,0.935254,-0.296234
0.162891,-0.005479,0.231584,-0.477846,2.075354,0.099868,0.200986,0.936266,-0.288118
0.149280,-0.027726,0.217925,-0.623543,1.945303,0.110012,0.207699,0.937623,-0.278792
