ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.181505,0.502354,0.022899,-4.086649,0.778453,-1.689776,0.757551,0.362362,-0.542964
0.181064,0.478703,-0.000620,-4.164676,0.603439,-1.664632,0.754849,0.397228,-0.521932
0.189426,0.454200,-0.020672,-4.238759,0.414681,-1.632390,0.750591,0.431329,-0.500568
0.210239,0.445559,-0.065221,-4.315400,0.282445,-1.590140,0.745022,0.464521,-0.478709
0.233741,0.440720,-0.121332,-4.398486,0.196091,-1.530087,0.738595,0.496643,-0.455877
0.251127,0.427624,-0.154985,-4.489303,0.129254,-1.452216,0.731631,0.527515,-0.431792
0.270580,0.411235,-0.191562,-4.572470,0.110035,-1.373731,0.724415,0.556965,-0.406217
0.296788,0.403406,-0.254873,-4.645863,0.134851,-1.297654,0.717234,0.584845,-0.378855
0.312877,0.389184,-0.309551,-4.696993,0.192595,-1.236495,0.710209,0.611060,-0.349583
0.319287,0.365793,-0.372078,-4.693605,0.263550,-1.202992,0.703342,0.635519,-0.318474
0.346536,0.336731,-0.438910,-4.644195,0.285530,-1.172874,0.696463,0.658081,-0.286127
0.373808,0.331180,-0.495093,-4.571094,0.248425,-1.143812,0.689410,0.678662,-0.253244
0.382350,0.323483,-0.539663,-4.479223,0.153442,-1.140817,0.682011,0.697314,-0.220484
0.378513,0.284385,-0.584026,-4.375388,0.021536,-1.163957,0.674024,0.714272,-0.188435
0.357953,0.238977,-0.637165,-4.251058,-0.124189,-1.193561,0.665362,0.729727,-0.157452
0.326416,0.194424,-0.687544,-4.106271,-0.216363,-1.204813,0.656219,0.743702,-0.127611
0.285028,0.141539,-0.747338,-3.938420,-0.245267,-1.214509,0.646826,0.756212,-0.098792
0.242207,0.075805,-0.801721,-3.755896,-0.186898,-1.228675,0.637279,0.767381,-0.070731
0.204459,0.006281,-0.857036,-3.544016,-0.051004,-1.275499,0.627496,0.777426,-0.043110
0.186982,-0.064167,-0.911845,-3.247940,0.123279,-1.343939,0.617202,0.786640,-0.016103
0.185396,-0.127356,-0.961070,-2.825258,0.240591,-1.437234,0.606154,0.795294,0.009272
0.198076,-0.192780,-0.971068,-2.306050,0.319507,-1.544077,0.594115,0.803757,0.031646
0.208236,-0.262279,-0.982004,-1.734860,0.390811,-1.645583,0.580994,0.812358,0.050195
0.213103,-0.329878,-0.994718,-1.153677,0.438061,-1.703087,0.566972,0.821211,0.064466
0.213964,-0.385262,-0.993905,-0.596665,0.427816,-1.697957,0.552516,0.830193,0.074197
0.228222,-0.421612,-0.966199,-0.090511,0.389045,-1.647392,0.538135,0.839123,0.079267
0.236650,-0.451089,-0.950788,0.361419,0.343979,-1.532776,0.524306,0.847756,0.080076
0.246199,-0.461040,-0.910991,0.713377,0.178452,-1.338845,0.511751,0.855694,0.076809
0.270308,-0.468733,-0.817792,0.939653,-0.054644,-1.090806,0.501177,0.862516,0.069913
0.285987,-0.471110,-0.762030,1.047569,-0.270831,-0.817483,0.492974,0.867945,0.060400
0.294428,-0.480778,-0.719254,1.065885,-0.504102,-0.539202,0.487249,0.871876,0.049210
0.299125,-0.501181,-0.647030,0.993972,-0.726760,-0.265292,0.483986,0.874289,0.037090
0.289285,-0.515398,-0.586249,0.835513,-0.723944,0.005286,0.483069,0.875216,0.025336
0.291105,-0.515325,-0.592113,0.638361,-0.569372,0.301227,0.484545,0.874624,0.015804
0.233730,-0.503267,-0.553375,0.478313,-0.718977,0.534550,0.488361,0.872607,0.007828
0.171170,-0.527304,-0.482795,0.364361,-0.897043,0.623238,0.493534,0.869727,0.000083
0.212184,-0.572933,-0.506089,0.303175,-0.745174,0.642874,0.499028,0.866558,-0.006957
0.246557,-0.550261,-0.537355,0.308951,-0.556676,0.701829,0.504770,0.863158,-0.012846
0.223873,-0.477237,-0.510702,0.391610,-0.396883,0.805140,0.511219,0.859256,-0.018289
0.199973,-0.429193,-0.520469,0.552613,-0.170429,0.873192,0.518426,0.854791,-0.023797
0.228854,-0.416149,-0.541834,0.770479,-0.009014,0.868427,0.525907,0.850017,-0.029867
0.263348,-0.380570,-0.528400,1.004059,0.068868,0.811396,0.533099,0.845231,-0.037289
0.258119,-0.328473,-0.535290,1.241732,0.186003,0.750312,0.539779,0.840543,-0.046116
0.231622,-0.293115,-0.542531,1.492885,0.371805,0.727079,0.546119,0.835824,-0.056147
0.217396,-0.263086,-0.557617,1.756377,0.653724,0.771357,0.552685,0.830698,-0.066941
0.211862,-0.214651,-0.581822,2.016047,0.966835,0.862522,0.560065,0.824759,-0.078106
0.214319,-0.161157,-0.567825,2.252520,1.255928,0.944694,0.568487,0.817819,-0.089416
0.230374,-0.117442,-0.540436,2.465065,1.431964,0.991071,0.577731,0.809962,-0.100937
0.231077,-0.097087,-0.496662,2.678703,1.512738,1.010303,0.587434,0.801326,-0.113125
0.240970,-0.077106,-0.446701,2.885498,1.529793,1.041968,0.597470,0.791873,-0.126358
