ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.038860,0.088553,-0.073910,0.059124,0.669710,-0.835777,-0.551381,0.036523,-0.833454
-0.022519,0.055628,-0.062553,0.228793,0.524838,-0.605755,-0.546588,0.031332,-0.836815
-0.004298,0.032666,-0.033214,0.403571,0.346021,-0.378079,-0.543050,0.025973,-0.839299
0.016979,0.021744,0.009917,0.585890,0.162718,-0.163761,-0.540981,0.020325,-0.840789
0.038262,0.019513,0.040822,0.761353,0.042924,0.024272,-0.540169,0.014255,-0.841436
0.057175,0.027308,0.041749,0.924433,-0.002999,0.183580,-0.540024,0.007681,-0.841615
0.083480,0.036928,0.043095,1.056212,-0.024490,0.314571,-0.540145,0.000639,-0.841572
0.116531,0.043237,0.064240,1.151917,-0.001546,0.410446,-0.540299,-0.006738,-0.841446
0.140843,0.060296,0.084450,1.225898,0.130908,0.482516,-0.539876,-0.014367,-0.841622
0.154009,0.074940,0.101298,1.290223,0.449429,0.529821,-0.537600,-0.022282,-0.842906
0.153319,0.084666,0.122823,1.333263,0.822572,0.571131,-0.532363,-0.030482,-0.845967
0.145356,0.087846,0.157342,1.347653,1.342273,0.618690,-0.523499,-0.038774,-0.851143
0.094274,0.087572,0.155968,1.369835,2.252326,0.670835,-0.508489,-0.047105,-0.859779
0.015749,0.078151,0.139530,1.386087,3.436237,0.713380,-0.484225,-0.055644,-0.873172
-0.037193,0.061704,0.135958,1.395537,4.944504,0.733744,-0.447609,-0.064588,-0.891894
-0.107059,0.040752,0.132772,1.384007,6.729232,0.716899,-0.395245,-0.074139,-0.915579
-0.191417,0.016788,0.132654,1.326885,8.609311,0.686152,-0.324162,-0.084278,-0.942240
-0.277859,-0.007395,0.145086,1.234563,10.245532,0.654103,-0.233585,-0.094656,-0.967718
-0.279376,-0.006765,0.308147,1.156101,4.618410,0.546849,-0.154538,-0.106318,-0.982250
0.947497,-0.077270,1.086976,0.543023,2.186756,0.352994,-0.127322,-0.113312,-0.985368
0.731919,-0.139955,-0.228504,0.420310,4.141997,0.632683,-0.096131,-0.117705,-0.988385
0.109699,0.067374,-0.515985,0.069983,4.707195,1.041701,-0.052876,-0.119331,-0.991446
0.071523,0.066918,-0.121941,0.046343,5.440529,1.351726,-0.003729,-0.119561,-0.992820
-0.118964,0.061652,-0.381377,-0.243500,6.403390,1.421502,0.053763,-0.119224,-0.991411
-0.180741,0.019425,-0.465298,-0.851301,6.672292,1.375736,0.117615,-0.115006,-0.986377
-0.188447,-0.025994,-0.297662,-1.403181,6.457711,1.332680,0.181138,-0.105858,-0.977744
-0.169914,-0.031099,-0.225151,-1.825018,6.295244,1.222097,0.241981,-0.092696,-0.965843
-0.125524,-0.045407,-0.289147,-2.102988,6.428047,1.010754,0.302221,-0.076770,-0.950142
-0.134248,-0.044180,-0.301606,-2.292202,6.565048,0.721322,0.363115,-0.058832,-0.929885
-0.129362,-0.038054,-0.224080,-2.411854,6.644638,0.420948,0.423796,-0.039339,-0.904903
-0.131626,-0.022794,-0.164072,-2.496188,6.718116,0.178405,0.483586,-0.018679,-0.875098
-0.133433,-0.019789,-0.110471,-2.532912,6.663936,-0.006242,0.541422,0.002638,-0.840747
-0.104488,-0.048808,-0.039820,-2.545358,6.471296,-0.100231,0.595744,0.023982,-0.802816
-0.063397,-0.058911,-0.005004,-2.545125,6.203043,-0.125373,0.645657,0.044751,-0.762315
-0.044607,-0.062537,0.016611,-2.502601,5.857563,-0.101400,0.690558,0.064368,-0.720408
-0.040264,-0.089522,0.043471,-2.408464,5.547960,-0.026406,0.730617,0.082167,-0.677825
-0.035582,-0.115636,0.039937,-2.255672,5.269287,0.112357,0.766325,0.097279,-0.635045
-0.021205,-0.097918,0.042908,-2.040069,5.095469,0.241299,0.798458,0.109164,-0.592072
-0.062551,-0.052356,0.033849,-1.731455,4.890439,0.342852,0.827475,0.117618,-0.549046
-0.097296,0.011973,0.027162,-1.375600,4.701342,0.398767,0.853369,0.122732,-0.506655
-0.106816,0.059645,0.018629,-1.024558,4.591460,0.447432,0.876561,0.124925,-0.464796
-0.141905,0.067730,-0.007600,-0.687698,4.652014,0.504933,0.897734,0.124515,-0.422575
-0.196599,0.035423,-0.066855,-0.400554,4.870513,0.588858,0.917561,0.121727,-0.378503
-0.251073,0.005768,-0.113509,-0.210471,5.202615,0.672686,0.936299,0.116897,-0.331178
-0.288921,-0.024918,-0.140539,-0.143683,5.338882,0.678869,0.953365,0.110932,-0.280696
-0.236690,-0.071052,-0.113908,-0.207388,5.194871,0.589336,0.967602,0.105201,-0.229522
-0.156907,-0.117075,-0.081491,-0.328217,4.930055,0.507818,0.978577,0.100428,-0.179724
-0.096914,-0.110966,-0.080392,-0.480246,4.864625,0.494401,0.986700,0.096135,-0.131080
-0.102027,-0.078430,-0.108972,-0.678067,5.022865,0.533489,0.992453,0.091644,-0.081473
-0.160693,-0.082976,-0.110151,-0.937283,5.281977,0.573777,0.995821,0.086531,-0.029192
