ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.674227,0.115414,-0.562517,0.926305,1.575549,0.708030,-0.039675,0.875996,0.480685
0.687467,0.119241,-0.530007,1.121863,1.429421,0.924829,-0.039671,0.881232,0.471016
0.701078,0.112727,-0.499872,1.306893,1.236197,1.156957,-0.036680,0.887319,0.459696
0.713711,0.110754,-0.456607,1.474112,0.992347,1.394877,-0.030361,0.894098,0.446841
0.715998,0.110228,-0.411393,1.611483,0.725202,1.636488,-0.020472,0.901323,0.432663
0.698782,0.113069,-0.378823,1.714431,0.471375,1.880376,-0.007010,0.908690,0.417412
0.680514,0.132631,-0.355100,1.792233,0.223610,2.115977,0.009900,0.915892,0.401304
0.665320,0.165972,-0.321946,1.855002,-0.022393,2.335127,0.030085,0.922651,0.384462
0.649261,0.200140,-0.291664,1.916100,-0.266049,2.543947,0.053360,0.928751,0.366844
0.642140,0.239964,-0.271142,1.999835,-0.466826,2.747954,0.079478,0.934017,0.348275
0.635307,0.279535,-0.253652,2.112058,-0.611660,2.963387,0.108193,0.938315,0.328421
0.613175,0.335639,-0.231374,2.248473,-0.686518,3.200693,0.139404,0.941446,0.306997
0.576884,0.412416,-0.219240,2.381433,-0.669982,3.457585,0.172994,0.943099,0.283968
0.535302,0.480941,-0.212537,2.512879,-0.574902,3.717743,0.208732,0.942902,0.259550
0.485921,0.556423,-0.188263,2.648153,-0.437634,3.960886,0.246394,0.940510,0.233948
0.443684,0.640616,-0.149630,2.777339,-0.250045,4.143610,0.285457,0.935678,0.207416
0.416015,0.701049,-0.129266,2.906101,-0.050873,4.270099,0.325227,0.928284,0.180322
0.386218,0.739425,-0.094317,3.049948,0.094562,4.370673,0.365323,0.918259,0.152774
0.361671,0.797749,-0.037575,3.211619,0.174469,4.460081,0.405648,0.905498,0.124596
0.328484,0.864580,0.004822,3.385072,0.242431,4.523652,0.446022,0.889891,0.095703
0.277742,0.909362,0.025805,3.575078,0.330509,4.541561,0.485976,0.871461,0.066205
0.223651,0.935684,0.042663,3.765427,0.452895,4.547641,0.525144,0.850236,0.036378
0.161870,0.949314,0.062683,3.904517,0.626935,4.561898,0.563426,0.826138,0.006928
0.098398,0.965213,0.063121,4.123347,1.174340,4.786165,0.601507,0.798597,-0.020808
-0.084727,1.081705,-0.036383,4.388903,1.864219,5.081467,0.641078,0.766180,-0.044580
-0.134158,1.055721,0.004485,4.413992,1.998215,4.784986,0.679523,0.730809,-0.064559
0.043459,0.987847,0.151376,4.269358,1.250898,4.706110,0.714689,0.694359,-0.084176
-0.109122,1.127589,0.333443,4.131173,0.329607,4.663175,0.747336,0.655782,-0.106957
-0.192483,1.082798,0.329434,4.008797,-0.461196,4.451602,0.776437,0.615886,-0.133526
-0.168527,1.020459,0.270375,3.946692,-1.322452,4.233359,0.801110,0.575503,-0.164372
-0.208508,1.063133,0.314985,3.964357,-2.153852,4.026349,0.820965,0.534539,-0.200711
-0.286350,1.022159,0.343985,4.016622,-2.771401,3.787291,0.835652,0.493069,-0.242011
-0.331381,0.928067,0.343572,4.050037,-3.067734,3.528694,0.845221,0.451420,-0.286046
-0.378709,0.871816,0.333891,4.046868,-3.091421,3.292236,0.850404,0.409785,-0.329985
-0.438076,0.825400,0.352263,4.010440,-2.931594,3.065287,0.852185,0.368326,-0.371641
-0.482128,0.759905,0.392576,3.941275,-2.635329,2.841271,0.851574,0.327406,-0.409422
-0.488973,0.709893,0.409227,3.854189,-2.348917,2.651377,0.849386,0.287208,-0.442781
-0.512871,0.672239,0.462836,3.735396,-2.085788,2.449499,0.846062,0.247973,-0.471899
-0.546826,0.625782,0.499264,3.558099,-1.822053,2.214815,0.841916,0.210369,-0.496914
-0.581618,0.575374,0.502264,3.339313,-1.545377,1.959659,0.837370,0.175115,-0.517828
-0.612283,0.541679,0.512611,3.103534,-1.294463,1.707785,0.832804,0.142647,-0.534874
-0.646315,0.523633,0.542531,2.793750,-1.157398,1.429137,0.828261,0.113284,-0.548772
-0.735812,0.498794,0.646064,2.083286,-1.406341,0.814160,0.822360,0.090088,-0.561790
-0.936889,0.448973,0.858295,1.182385,-1.785723,0.000198,0.813521,0.077424,-0.576358
-1.081027,0.407021,0.882618,0.687427,-1.715061,-0.513454,0.802798,0.074547,-0.591572
-1.001344,0.344979,0.650509,0.635060,-1.247548,-0.530007,0.793412,0.075004,-0.604046
-0.818809,0.371443,0.513731,0.593601,-0.649906,-0.405968,0.787223,0.074892,-0.612104
-0.716901,0.369139,0.490161,0.438894,0.000524,-0.424974,0.784910,0.074877,-0.615069
-0.706223,0.303816,0.450377,0.244594,0.583229,-0.555472,0.786392,0.076601,-0.612959
-0.712797,0.260642,0.465253,0.046451,0.990722,-0.702826,0.790800,0.080697,-0.606732
