ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.592271,-0.383471,-0.478529,-0.143112,-0.726407,-1.509988,-0.097030,0.920824,0.377714
-0.600592,-0.352001,-0.497038,-0.186785,-0.797162,-1.544907,-0.108286,0.918606,0.380049
-0.614385,-0.311589,-0.513096,-0.179855,-0.838469,-1.516284,-0.119303,0.916127,0.382725
-0.643922,-0.238513,-0.537046,-0.104327,-0.849087,-1.431639,-0.129622,0.913714,0.385129
-0.644079,-0.182698,-0.549943,0.033062,-0.858759,-1.343522,-0.139048,0.911687,0.386644
-0.633547,-0.162247,-0.553316,0.220526,-0.877067,-1.286443,-0.147703,0.910279,0.386751
-0.637066,-0.164447,-0.554691,0.432567,-0.888088,-1.267324,-0.155949,0.909595,0.385120
-0.643402,-0.161503,-0.552375,0.661303,-0.892120,-1.280205,-0.164139,0.909657,0.381553
-0.645714,-0.157143,-0.549057,0.898117,-0.897101,-1.343057,-0.172722,0.910409,0.375931
-0.641706,-0.161795,-0.539156,1.140101,-0.919289,-1.465143,-0.182177,0.911719,0.368211
-0.643378,-0.169875,-0.522648,1.390395,-0.964664,-1.639752,-0.192956,0.913421,0.358372
-0.651241,-0.176321,-0.500732,1.642969,-1.015342,-1.849193,-0.205479,0.915304,0.346405
-0.660697,-0.169673,-0.478708,1.883448,-1.054148,-2.074284,-0.220041,0.917125,0.332361
-0.678012,-0.133525,-0.457684,2.107258,-1.073265,-2.295035,-0.236738,0.918621,0.316372
-0.693969,-0.083450,-0.435913,2.298621,-1.091142,-2.510829,-0.255601,0.919495,0.298661
-0.702485,-0.039421,-0.406837,2.453735,-1.123847,-2.730876,-0.276626,0.919396,0.279625
-0.724960,0.011472,-0.388277,2.580748,-1.132853,-2.928795,-0.299729,0.918017,0.259630
-0.761301,0.086636,-0.386999,2.686513,-1.089122,-3.100183,-0.324743,0.915150,0.238837
-0.789440,0.159680,-0.386042,2.786507,-1.066177,-3.280297,-0.351551,0.910587,0.217356
-0.798365,0.201738,-0.357610,2.881459,-1.090927,-3.508339,-0.380270,0.903990,0.195440
-0.806952,0.229144,-0.324473,2.978590,-1.139356,-3.815660,-0.411295,0.894864,0.173365
-0.810208,0.249592,-0.315975,3.081820,-1.180041,-4.187650,-0.445163,0.882580,0.151272
-0.805572,0.279538,-0.314662,3.174739,-1.194235,-4.576194,-0.482056,0.866549,0.129283
-0.810607,0.351141,-0.312079,3.267334,-1.238384,-4.944238,-0.521653,0.846338,0.107657
-0.812366,0.451385,-0.308770,3.366211,-1.318676,-5.281194,-0.563336,0.821656,0.086801
-0.801302,0.549171,-0.299469,3.477457,-1.394718,-5.581761,-0.606413,0.792321,0.067017
-0.773813,0.657667,-0.296341,3.567352,-1.420709,-5.827558,-0.650137,0.758272,0.048431
-0.738920,0.775932,-0.305317,3.600601,-1.397394,-5.987445,-0.693560,0.719719,0.031300
-0.706816,0.889062,-0.322940,3.570833,-1.296430,-6.038235,-0.735567,0.677268,0.015780
-0.668003,1.001883,-0.347522,3.476104,-1.102165,-5.987502,-0.775143,0.631784,0.001681
-0.609130,1.101116,-0.363650,3.305717,-0.842026,-5.863505,-0.811738,0.583912,-0.011365
-0.537768,1.173287,-0.359165,3.080560,-0.535995,-5.689465,-0.844419,0.535163,-0.023601
-0.454017,1.211225,-0.344147,2.825049,-0.199290,-5.486059,-0.873254,0.485964,-0.035598
-0.358712,1.224416,-0.321769,2.571702,0.123359,-5.272226,-0.898246,0.436884,-0.047814
-0.262164,1.224049,-0.280846,2.343941,0.372171,-5.067327,-0.919569,0.388271,-0.060325
-0.178199,1.214113,-0.224425,2.170746,0.568374,-4.870917,-0.937463,0.340345,-0.072999
-0.103789,1.191083,-0.182946,2.060638,0.742180,-4.686758,-0.952165,0.293246,-0.085960
-0.032144,1.157952,-0.158293,1.982085,0.923290,-4.512303,-0.963888,0.247031,-0.099474
0.038656,1.132904,-0.130562,1.908862,1.085341,-4.336268,-0.972799,0.201844,-0.113670
0.111732,1.116249,-0.087019,1.834543,1.205934,-4.159080,-0.979087,0.157860,-0.128328
0.178903,1.099968,-0.042777,1.761935,1.273744,-3.974437,-0.982980,0.115257,-0.143060
0.236340,1.082967,0.000239,1.695388,1.307964,-3.774585,-0.984722,0.074275,-0.157496
0.287661,1.073965,0.039157,1.625059,1.326377,-3.556148,-0.984561,0.035211,-0.171466
0.338702,1.068817,0.072023,1.541928,1.328512,-3.328263,-0.982760,-0.001693,-0.184877
0.386987,1.060485,0.100118,1.449199,1.304338,-3.108646,-0.979608,-0.036346,-0.197606
0.427874,1.052804,0.128508,1.360756,1.250100,-2.887760,-0.975405,-0.068704,-0.209440
0.456407,1.049725,0.152510,1.283271,1.178160,-2.659087,-0.970445,-0.098706,-0.220213
0.482382,1.048553,0.177986,1.213714,1.088254,-2.417524,-0.965002,-0.126250,-0.229851
0.508408,1.046400,0.204658,1.143213,0.980173,-2.164102,-0.959366,-0.151213,-0.238227
0.532642,1.042687,0.226886,1.075781,0.866643,-1.899398,-0.953800,-0.173470,-0.245303
