ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.119282,0.057651,-0.148073,1.873076,-0.857690,-1.776863,0.260777,0.387051,-0.884413
-0.142470,0.050423,-0.132380,1.426221,-1.038912,-2.212008,0.244658,0.377326,-0.893178
-0.127623,0.006499,-0.112072,0.962258,-1.183107,-2.601094,0.225493,0.372300,-0.900303
-0.122946,-0.085948,-0.101332,0.575789,-1.292554,-2.755746,0.204153,0.371181,-0.905840
-0.149698,-0.092977,-0.060665,0.245063,-1.317016,-2.654069,0.182031,0.372716,-0.909916
-0.182433,0.001845,-0.046717,-0.098954,-1.333512,-2.346593,0.160460,0.376375,-0.912466
-0.180834,0.065398,-0.007767,-0.386061,-1.544954,-2.024662,0.139147,0.381944,-0.913650
-0.159872,0.035745,0.093675,-0.629769,-1.926198,-1.826155,0.115652,0.389090,-0.913911
-0.169467,-0.037534,0.076233,-0.799019,-1.986309,-1.750450,0.090487,0.397565,-0.913101
-0.169305,-0.117488,-0.013895,-0.896732,-1.994867,-1.691596,0.065332,0.406718,-0.911215
-0.176372,-0.152926,0.044876,-1.018953,-2.112721,-1.580018,0.039729,0.416308,-0.908355
-0.166051,-0.099566,0.109737,-1.259999,-2.212814,-1.459794,0.013616,0.427020,-0.904140
-0.129575,-0.027599,0.113484,-1.638281,-2.368708,-1.418193,-0.013369,0.440105,-0.897847
-0.114847,-0.013829,0.134298,-2.077323,-2.494439,-1.451309,-0.041693,0.456395,-0.888800
-0.137415,-0.055031,0.111368,-2.510792,-2.597362,-1.510247,-0.071203,0.475930,-0.876596
-0.115823,-0.085472,0.102984,-2.927168,-2.847388,-1.505642,-0.102317,0.498374,-0.860903
-0.056376,-0.051067,0.187308,-3.332624,-3.183039,-1.473935,-0.135717,0.523402,-0.841208
0.060750,-0.034209,0.243499,-3.726404,-3.811517,-1.443171,-0.172536,0.550582,-0.816757
0.145677,-0.079986,0.233734,-3.348317,-1.366179,-1.214803,-0.203630,0.577331,-0.790711
0.056109,-0.048292,-1.167505,-1.857488,0.348702,-0.537536,-0.211870,0.596616,-0.774054
-0.288103,0.094841,-0.433848,0.250019,1.292126,-0.231720,-0.207594,0.602028,-0.771017
-0.120990,-0.157611,-0.104975,1.677636,2.144977,-0.517308,-0.196148,0.593357,-0.780675
0.018360,-0.231654,-0.257480,2.384536,2.522197,-0.782405,-0.181308,0.575709,-0.797299
0.018489,0.016929,-0.043634,2.616306,2.611085,-0.902660,-0.165217,0.553735,-0.816138
-0.028502,0.106587,0.062994,2.454538,2.652432,-0.740328,-0.148332,0.531108,-0.834219
0.141314,0.143900,0.079566,1.837101,2.569263,-0.565225,-0.128847,0.511953,-0.849295
0.088987,-0.149678,0.231154,1.116831,2.007692,-0.600685,-0.112089,0.498571,-0.859572
0.124059,-0.255475,0.261442,0.562007,1.260503,-0.465158,-0.100896,0.490873,-0.865369
0.319623,-0.067875,0.079791,0.358734,1.393745,-0.105696,-0.091061,0.486759,-0.868777
0.171749,-0.094794,-0.037072,0.416636,1.684085,0.103163,-0.077419,0.483481,-0.871924
0.194097,-0.141999,0.012473,0.670719,1.607392,0.199410,-0.062017,0.478897,-0.875678
0.240709,-0.084131,0.029201,1.035692,1.399078,0.321207,-0.047517,0.471536,-0.880565
0.176443,-0.017772,-0.008111,1.383699,1.141120,0.457588,-0.034338,0.460902,-0.886786
0.063094,0.008997,-0.012845,1.675534,0.783606,0.454414,-0.023436,0.447332,-0.894061
0.033154,-0.055051,0.063208,2.069288,-0.038362,-0.052986,-0.018887,0.430494,-0.902396
0.112458,-0.300808,0.320644,2.379447,-0.318233,-0.619541,-0.022553,0.410015,-0.911800
0.051084,-0.157945,0.117340,2.497763,-0.088563,-0.864655,-0.027478,0.387238,-0.921570
-0.082287,0.102927,-0.097877,2.428589,-0.267923,-0.903883,-0.032063,0.363900,-0.930886
-0.041164,0.222914,0.006750,2.159802,-0.863723,-0.865876,-0.040638,0.341966,-0.938833
0.001626,0.224726,0.064248,1.935380,-1.440367,-0.683671,-0.054071,0.322256,-0.945107
-0.021382,0.184152,0.091074,1.797474,-2.044359,-0.508670,-0.072628,0.304144,-0.949853
0.014290,0.131729,0.121986,1.819506,-2.468174,-0.411688,-0.095619,0.286591,-0.953269
0.061548,0.059995,0.162480,2.056421,-3.132362,-0.357811,-0.123437,0.267672,-0.955570
0.070489,0.021633,0.343244,2.395881,-3.738583,-0.274057,-0.157312,0.245823,-0.956464
0.066229,0.046737,0.249753,2.626313,-4.079586,-0.216506,-0.195699,0.221115,-0.955411
0.066939,0.025459,0.057137,2.649084,-3.964937,-0.191649,-0.235137,0.195290,-0.952141
0.050375,0.016650,-0.151020,2.549389,-3.689312,-0.103249,-0.271902,0.170026,-0.947186
0.048534,0.039061,-0.165884,2.366008,-3.678671,0.000783,-0.306697,0.146470,-0.940470
0.086797,0.025640,-0.041836,2.079549,-3.724440,0.059613,-0.341603,0.125590,-0.931415
0.087842,0.004373,-0.076842,1.704826,-3.679862,0.127061,-0.375699,0.108267,-0.920396
