ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.114963,0.720375,0.146778,2.152433,-1.542533,5.336661,0.383557,0.650581,-0.655460
0.087388,0.723260,0.168145,2.166832,-1.505480,5.458299,0.407744,0.614600,-0.675286
0.046730,0.730596,0.142465,2.170287,-1.417469,5.545794,0.430748,0.576380,-0.694437
0.013949,0.729524,0.132536,2.157748,-1.351261,5.591403,0.452421,0.536146,-0.712645
-0.004401,0.706549,0.149135,2.168204,-1.302955,5.575782,0.471961,0.494378,-0.729961
-0.017685,0.686047,0.161595,2.179564,-1.289190,5.544953,0.488846,0.451313,-0.746556
-0.025409,0.696532,0.149025,2.208124,-1.257868,5.537648,0.503162,0.406999,-0.762352
-0.030093,0.718935,0.145048,2.274156,-1.314046,5.571523,0.514758,0.361220,-0.777524
-0.056068,0.714629,0.219530,2.397869,-1.402032,5.631516,0.523048,0.313523,-0.792543
-0.104028,0.697908,0.258146,2.535436,-1.366113,5.667399,0.528298,0.263762,-0.807051
-0.159142,0.687615,0.238862,2.651090,-1.255558,5.627962,0.531136,0.212379,-0.820237
-0.195365,0.673121,0.256434,2.722405,-1.190478,5.513514,0.531501,0.160222,-0.831766
-0.211947,0.651320,0.290469,2.764209,-1.193704,5.366506,0.528887,0.108065,-0.841784
-0.226731,0.630237,0.315394,2.791161,-1.230117,5.213364,0.523011,0.056377,-0.850459
-0.248761,0.632794,0.331190,2.798451,-1.221988,5.073729,0.514233,0.005466,-0.857633
-0.274525,0.647529,0.336516,2.821824,-1.280737,4.927692,0.502582,-0.044441,-0.863386
-0.291162,0.641214,0.373462,2.917579,-1.583627,4.805254,0.486902,-0.093607,-0.868426
-0.315831,0.619669,0.412824,3.098450,-2.055400,4.764937,0.465368,-0.142832,-0.873517
-0.353743,0.622205,0.457111,3.322893,-2.620688,4.781732,0.436781,-0.192792,-0.878666
-0.352119,0.669522,0.507905,3.523283,-3.207792,4.832736,0.400352,-0.243420,-0.883439
-0.332055,0.729142,0.545473,3.642395,-3.593376,4.866553,0.356835,-0.293886,-0.886736
-0.299570,0.770895,0.538701,3.642998,-3.686394,4.824206,0.308649,-0.342718,-0.887288
-0.261299,0.777290,0.483769,3.508137,-3.492754,4.700205,0.258995,-0.388268,-0.884404
-0.236913,0.751792,0.415055,3.240706,-3.053283,4.529617,0.210881,-0.429160,-0.878266
-0.216432,0.721578,0.362316,2.862713,-2.525780,4.272656,0.166536,-0.464406,-0.869823
-0.188368,0.684152,0.347130,2.391496,-2.114348,3.900169,0.126753,-0.493356,-0.860543
-0.171962,0.635242,0.348531,1.852068,-1.894639,3.474591,0.090816,-0.515690,-0.851949
-0.206799,0.603419,0.349225,1.288933,-1.736956,3.032505,0.058194,-0.531520,-0.845044
-0.254047,0.581650,0.361101,0.755156,-1.607749,2.600601,0.028827,-0.541397,-0.840272
-0.271978,0.577560,0.375295,0.271211,-1.469340,2.187684,0.002737,-0.546082,-0.837727
-0.264754,0.588029,0.374641,-0.158922,-1.292950,1.776870,-0.019808,-0.546357,-0.837318
-0.236122,0.614859,0.355567,-0.540400,-1.052772,1.348642,-0.038308,-0.542929,-0.838905
-0.189903,0.644536,0.321976,-0.895338,-0.772169,0.901742,-0.052148,-0.536336,-0.842392
-0.157113,0.661957,0.292232,-1.235926,-0.488358,0.440010,-0.061087,-0.526901,-0.847728
-0.134593,0.663261,0.286842,-1.589007,-0.217052,-0.025776,-0.065206,-0.514686,-0.854896
-0.129746,0.648818,0.284903,-1.958616,0.094771,-0.490784,-0.064453,-0.499526,-0.863898
-0.136657,0.632905,0.268450,-2.357852,0.385409,-0.972087,-0.058732,-0.481126,-0.874682
-0.136488,0.606694,0.240014,-2.771484,0.668335,-1.449012,-0.048357,-0.459050,-0.887093
-0.165038,0.592600,0.200822,-3.173012,0.995629,-1.924080,-0.033341,-0.433008,-0.900773
-0.193258,0.586799,0.164313,-3.548705,1.333392,-2.384268,-0.013621,-0.402809,-0.915183
-0.215964,0.582163,0.154911,-3.881425,1.565079,-2.822484,0.010016,-0.368357,-0.929631
-0.247519,0.570101,0.175290,-4.154850,1.624629,-3.221576,0.035773,-0.329760,-0.943387
-0.294225,0.563241,0.205252,-4.354150,1.541251,-3.567640,0.061498,-0.287408,-0.955832
-0.329254,0.586960,0.196948,-4.496845,1.423934,-3.847453,0.085693,-0.241837,-0.966525
-0.329726,0.637039,0.135078,-4.599562,1.339553,-4.101171,0.107863,-0.193512,-0.975151
-0.290072,0.680564,0.073843,-4.674191,1.248343,-4.351602,0.127749,-0.142844,-0.981466
-0.231524,0.689426,0.032282,-4.735316,1.241123,-4.572565,0.145205,-0.090167,-0.985284
-0.182269,0.683841,-0.042829,-4.802912,1.372644,-4.781729,0.161060,-0.035663,-0.986300
-0.130415,0.690654,-0.135377,-4.892660,1.553371,-5.024803,0.175901,0.020680,-0.984191
-0.063004,0.678353,-0.211574,-5.004180,1.771647,-5.334780,0.189682,0.079063,-0.978657
