ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.185214,0.944883,-0.269115,-1.038197,-0.448551,-6.650029,0.481671,0.513415,-0.710210
0.270584,0.951746,-0.318461,-0.984702,-0.388877,-6.611074,0.443131,0.551474,-0.706762
0.329631,0.934104,-0.355286,-0.937699,-0.275359,-6.563578,0.403035,0.586327,-0.702697
0.384378,0.910555,-0.395782,-0.891998,-0.121471,-6.531129,0.361975,0.617964,-0.697922
0.434311,0.881932,-0.415530,-0.840431,0.060232,-6.515097,0.320251,0.646404,-0.692533
0.479390,0.843963,-0.423527,-0.784316,0.256284,-6.502661,0.278194,0.671632,-0.686672
0.525517,0.800661,-0.426291,-0.720136,0.451405,-6.480885,0.236018,0.693602,-0.680597
0.560271,0.751219,-0.418887,-0.637063,0.668872,-6.448292,0.194093,0.712221,-0.674589
0.587156,0.687001,-0.409628,-0.518807,0.888539,-6.424163,0.152758,0.727367,-0.669031
0.621966,0.595517,-0.379944,-0.353833,1.095221,-6.422779,0.112043,0.738864,-0.664474
0.647591,0.504174,-0.340445,-0.135047,1.295585,-6.440467,0.071937,0.746467,-0.661523
0.670241,0.449897,-0.301307,0.135308,1.490135,-6.436412,0.032701,0.749871,-0.660775
0.696768,0.414587,-0.257727,0.422034,1.664084,-6.377759,-0.005148,0.748895,-0.662668
0.724927,0.389038,-0.208519,0.685408,1.815175,-6.250102,-0.040967,0.743698,-0.667260
0.749761,0.366506,-0.160666,0.882832,1.960371,-6.048497,-0.074025,0.734813,-0.674218
0.771909,0.343970,-0.122140,1.003638,2.078393,-5.790890,-0.103681,0.723046,-0.682975
0.792727,0.318340,-0.073153,1.054350,2.137336,-5.471408,-0.129671,0.709279,-0.692899
0.806900,0.295768,-0.009166,1.054512,2.101956,-5.098698,-0.152085,0.694360,-0.703374
0.825381,0.284488,0.061284,1.023201,1.981474,-4.678658,-0.171312,0.678982,-0.713888
0.841713,0.272919,0.123935,0.966953,1.810676,-4.229836,-0.187676,0.663726,-0.724048
0.850318,0.253082,0.174038,0.894509,1.578152,-3.761854,-0.201621,0.649078,-0.733516
0.860825,0.236521,0.235557,0.808211,1.259628,-3.279066,-0.213806,0.635397,-0.741996
0.874387,0.227283,0.299626,0.706726,0.883859,-2.784420,-0.224957,0.623013,-0.749166
0.897030,0.217380,0.344073,0.574291,0.496879,-2.285052,-0.235500,0.612286,-0.754749
0.917551,0.199211,0.367203,0.407331,0.145297,-1.810563,-0.245600,0.603584,-0.758529
0.936485,0.168839,0.370737,0.204517,-0.134601,-1.375995,-0.255210,0.597229,-0.760385
0.955527,0.135771,0.348213,-0.022961,-0.330654,-0.981396,-0.264075,0.593462,-0.760308
0.973199,0.102180,0.328855,-0.244205,-0.464085,-0.615658,-0.271905,0.592340,-0.758420
0.986079,0.071348,0.310062,-0.444782,-0.527131,-0.280555,-0.278361,0.593737,-0.754978
0.993587,0.044841,0.277419,-0.614106,-0.543315,0.020058,-0.283199,0.597401,-0.750273
0.999633,0.021543,0.248927,-0.739012,-0.522173,0.288010,-0.286285,0.602954,-0.744640
1.001606,-0.004093,0.223282,-0.822824,-0.469827,0.522780,-0.287525,0.609974,-0.738418
1.002497,-0.020588,0.193122,-0.876544,-0.362723,0.724476,-0.286783,0.618076,-0.731941
1.001675,-0.030353,0.148021,-0.908814,-0.174257,0.909024,-0.283657,0.626971,-0.725566
0.999961,-0.038656,0.097566,-0.923930,0.064321,1.081812,-0.277747,0.636450,-0.719575
0.999004,-0.050887,0.059957,-0.918166,0.321624,1.250394,-0.268826,0.646301,-0.714163
0.989682,-0.062452,0.029004,-0.897027,0.582715,1.413905,-0.256864,0.656324,-0.709408
0.971150,-0.058525,-0.002179,-0.859340,0.834641,1.595197,-0.241826,0.666344,-0.705341
0.945713,-0.037426,-0.032719,-0.810767,1.073082,1.800948,-0.223606,0.676235,-0.701930
0.921049,-0.001891,-0.064687,-0.754860,1.270793,2.020852,-0.202238,0.685851,-0.699077
0.894538,0.035358,-0.075211,-0.689744,1.419374,2.253517,-0.177940,0.695004,-0.696640
0.851824,0.060175,-0.077427,-0.635705,1.546410,2.498371,-0.150866,0.703558,-0.694439
0.809198,0.084625,-0.096148,-0.602106,1.677147,2.748344,-0.120951,0.711457,-0.692243
0.772825,0.114409,-0.129493,-0.592816,1.799333,3.006793,-0.088163,0.718629,-0.689782
0.728005,0.156815,-0.151308,-0.587681,1.869876,3.279903,-0.052606,0.724929,-0.686812
0.682097,0.215389,-0.150569,-0.594665,1.860797,3.545052,-0.014739,0.730152,-0.683126
0.637712,0.274586,-0.143892,-0.618856,1.830734,3.787668,0.024916,0.734111,-0.678572
0.586558,0.326903,-0.154929,-0.655326,1.783884,4.001799,0.066030,0.736650,-0.673043
0.535697,0.373634,-0.159048,-0.710834,1.714667,4.200171,0.108239,0.737649,-0.666452
0.491379,0.418264,-0.167925,-0.779215,1.625605,4.380208,0.151214,0.737009,-0.658750
