ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.151028,1.015597,0.059709,2.764067,0.015341,4.638154,0.638409,0.078016,-0.765733
-0.185995,0.988633,0.093087,2.489108,0.020614,4.430862,0.640982,0.028639,-0.767022
-0.214447,0.975881,0.117515,2.212335,0.022297,4.206003,0.641388,-0.017340,-0.767021
-0.235400,0.939719,0.137049,1.946531,0.006738,3.990291,0.639926,-0.059775,-0.766108
-0.249949,0.927167,0.158789,1.700542,-0.026607,3.772787,0.636759,-0.098737,-0.764715
-0.264618,0.909285,0.177340,1.482259,-0.057745,3.542753,0.632142,-0.134306,-0.763124
-0.285494,0.893354,0.194492,1.272638,-0.094954,3.329115,0.626375,-0.166608,-0.761509
-0.312609,0.884684,0.218361,1.078930,-0.143041,3.131284,0.619585,-0.195826,-0.760109
-0.335157,0.877165,0.241970,0.912245,-0.174152,2.950605,0.611982,-0.222258,-0.758999
-0.358065,0.870877,0.266878,0.770924,-0.186048,2.774626,0.603869,-0.246167,-0.758119
-0.373678,0.866343,0.282473,0.637745,-0.185523,2.596044,0.595556,-0.267725,-0.757388
-0.392283,0.864575,0.300381,0.530569,-0.162712,2.400784,0.587291,-0.287030,-0.756772
-0.406139,0.839592,0.325206,0.428813,-0.128483,2.190881,0.579372,-0.304146,-0.756190
-0.427161,0.819045,0.347226,0.327400,-0.078865,1.965751,0.572059,-0.319060,-0.755612
-0.451580,0.804598,0.364470,0.224250,-0.014306,1.724520,0.565670,-0.331713,-0.754973
-0.476289,0.786867,0.384431,0.111459,0.049227,1.467105,0.560395,-0.342027,-0.754304
-0.502151,0.766270,0.402847,-0.011837,0.106499,1.178481,0.556380,-0.349842,-0.753692
-0.520761,0.741968,0.419079,-0.145880,0.155493,0.857556,0.553766,-0.354944,-0.753232
-0.533092,0.717951,0.429905,-0.285741,0.199808,0.515724,0.552653,-0.357142,-0.753010
-0.544585,0.701528,0.434724,-0.432175,0.240769,0.166447,0.553099,-0.356329,-0.753068
-0.542845,0.694077,0.438333,-0.576410,0.276150,-0.196844,0.555113,-0.352417,-0.753427
-0.542160,0.682196,0.441101,-0.716953,0.301882,-0.558431,0.558640,-0.345389,-0.754074
-0.542006,0.666305,0.441669,-0.862137,0.318799,-0.914552,0.563521,-0.335235,-0.755024
-0.540116,0.649925,0.434350,-1.009708,0.329646,-1.268462,0.569596,-0.321906,-0.756265
-0.529016,0.632523,0.419216,-1.155010,0.328098,-1.620805,0.576669,-0.305329,-0.757778
-0.510735,0.619971,0.405769,-1.294508,0.331198,-1.964990,0.584511,-0.285499,-0.759498
-0.494000,0.614141,0.387271,-1.421098,0.342360,-2.290082,0.592953,-0.262502,-0.761249
-0.476995,0.609424,0.367588,-1.530338,0.360999,-2.588671,0.601781,-0.236515,-0.762837
-0.455526,0.607584,0.350682,-1.616850,0.371975,-2.862183,0.610693,-0.207789,-0.764119
-0.432242,0.607250,0.338049,-1.680777,0.385496,-3.113211,0.619376,-0.176601,-0.764974
-0.409371,0.610173,0.315438,-1.722734,0.410373,-3.351505,0.627633,-0.143224,-0.765221
-0.382771,0.621862,0.284556,-1.735769,0.446231,-3.580055,0.635304,-0.107885,-0.764689
-0.356079,0.635100,0.254370,-1.728995,0.492188,-3.805404,0.642227,-0.070830,-0.763235
-0.327837,0.640738,0.222496,-1.704306,0.541148,-4.028214,0.648226,-0.032248,-0.760765
-0.301086,0.643988,0.192477,-1.670664,0.559848,-4.266967,0.652954,0.007776,-0.757358
-0.258405,0.646495,0.165878,-1.636798,0.568184,-4.531577,0.655973,0.049290,-0.753174
-0.213078,0.649010,0.118601,-1.613746,0.578038,-4.829231,0.656971,0.092460,-0.748225
-0.161033,0.651796,0.072614,-1.586543,0.569212,-5.155083,0.655509,0.137404,-0.742582
-0.109292,0.657051,0.035059,-1.558761,0.555865,-5.477146,0.651085,0.184044,-0.736353
-0.058462,0.676212,-0.015545,-1.545590,0.561935,-5.788957,0.643392,0.232174,-0.729480
-0.003232,0.705169,-0.078180,-1.545421,0.574840,-6.080909,0.632199,0.281556,-0.721838
0.063868,0.746043,-0.141076,-1.533280,0.579752,-6.339966,0.617193,0.331731,-0.713462
0.129624,0.791220,-0.193642,-1.497812,0.580390,-6.556966,0.598175,0.381998,-0.704460
0.197833,0.829608,-0.238446,-1.441337,0.549998,-6.736177,0.574964,0.431592,-0.695086
0.269997,0.853728,-0.261867,-1.366219,0.476880,-6.881628,0.547309,0.479813,-0.685735
0.340181,0.866039,-0.273616,-1.273937,0.381164,-6.993324,0.515151,0.525959,-0.676747
0.409466,0.875149,-0.281072,-1.175624,0.266026,-7.070424,0.478580,0.569416,-0.668376
0.476701,0.875454,-0.287008,-1.085411,0.156442,-7.104109,0.437926,0.609669,-0.660701
0.538385,0.858393,-0.287232,-1.016353,0.054655,-7.094376,0.393729,0.646322,-0.653640
0.591982,0.806911,-0.272947,-1.001908,-0.043353,-7.040585,0.346616,0.679234,-0.646914
