ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.60577455,0.50958105,-0.75692204,0.10036670,-0.30364960,-0.17667811,0.45045299,1.52185760,-0.07241336
0.57158929,0.75599836,-0.69225776,0.21447631,-0.52754635,-0.23100693,0.43209920,1.51357512,-0.08402194
0.58572369,0.92517510,-0.67665781,0.40981148,-0.85337652,-0.31474311,0.39805657,1.49522977,-0.10728971
0.64593312,1.02377201,-0.73708305,0.66313413,-1.18959606,-0.34345080,0.34975579,1.46294157,-0.14350968
0.70388712,1.12506368,-0.81564011,0.94820690,-1.42947905,-0.28836996,0.28987870,1.41288883,-0.19287632
0.71371160,1.19688958,-0.88823279,1.25718649,-1.41783337,-0.19636557,0.22623259,1.34237015,-0.25327343
0.60792216,1.18629975,-0.92652041,1.58035122,-1.14402490,-0.08943008,0.16956710,1.24918289,-0.32185835
0.36850476,1.07735253,-0.86265213,1.87484750,-0.71514789,0.05124010,0.12877331,1.13282624,-0.39511351
0.11183496,0.93707379,-0.70101450,2.08269028,-0.22103651,0.25495154,0.10929994,0.99633369,-0.46791489
-0.07795323,0.82125314,-0.48521937,2.15609861,0.24042428,0.51773179,0.11283479,0.84684169,-0.53398663
-0.23178887,0.72238325,-0.21093687,2.09356255,0.58423100,0.77936916,0.13605085,0.69395360,-0.58794893
-0.38444827,0.56876214,0.10623669,1.93978525,0.80849579,0.97473270,0.17255397,0.54622436,-0.62729216
-0.54162931,0.30340189,0.40399087,1.74272392,0.95708398,1.08475085,0.21683401,0.40906153,-0.65239376
-0.69122169,-0.02937364,0.65445546,1.53139668,1.04752181,1.11760066,0.26516650,0.28514553,-0.66525182
-0.81911452,-0.36270940,0.87714685,1.32282054,1.07528555,1.07264881,0.31447955,0.17550785,-0.66847633
-0.91337982,-0.71536577,1.08800466,1.12778559,1.03458836,0.94393209,0.36181260,0.08022440,-0.66480869
-0.98233356,-1.12541117,1.27399099,0.95031730,0.97389348,0.74457619,0.40534221,-0.00113519,-0.65668925
-1.03506410,-1.54925450,1.36793038,0.78533604,1.00604600,0.52533933,0.44723735,-0.06912596,-0.64545010
-1.04513952,-1.82955070,1.37556669,0.61866978,1.14827322,0.35385807,0.49293322,-0.12405765,-0.63118715
-0.99037116,-1.82187588,1.43126751,0.42795950,1.28172509,0.25213565,0.54498817,-0.16533655,-0.61413749
-0.88357505,-1.61828682,1.54941681,0.19609840,1.32643404,0.19573517,0.60088839,-0.19096203,-0.59563943
-0.74874538,-1.42048255,1.60349366,-0.06877082,1.29776960,0.18028978,0.65682708,-0.19858644,-0.57743887
-0.62827164,-1.27096723,1.56153267,-0.34263086,1.22923768,0.22265873,0.71025061,-0.18733755,-0.56071246
-0.59057434,-1.13221927,1.47917617,-0.61019369,1.13949278,0.30231796,0.75979581,-0.15791139,-0.54580389
-0.65235600,-1.03140325,1.38109546,-0.87063252,1.03993523,0.35399500,0.80491603,-0.11111580,-0.53236682
-0.72779275,-1.02560171,1.26795868,-1.13001195,0.94353487,0.31620344,0.84576313,-0.04670071,-0.51940575
-0.72312800,-1.12119316,1.14036344,-1.38764426,0.85484243,0.17242560,0.88280342,0.03644333,-0.50523604
-0.65237560,-1.23815771,1.00723435,-1.63079093,0.76547426,-0.05633275,0.91597549,0.13896422,-0.48768819
-0.59774349,-1.27053429,0.87071381,-1.84602804,0.67461176,-0.34656250,0.94447156,0.26022421,-0.46433072
-0.58434815,-1.15958064,0.71062604,-2.01986190,0.57672156,-0.67024177,0.96699590,0.39826672,-0.43275880
-0.57322490,-0.88193148,0.52955341,-2.12775208,0.44328586,-0.98073978,0.98129117,0.54924905,-0.39158707
-0.53253801,-0.47422160,0.34746098,-2.13657831,0.27467616,-1.22712982,0.98466540,0.70654235,-0.34141763
-0.42187798,-0.06337145,0.15855914,-2.02173794,0.11903870,-1.38055241,0.97639989,0.86100479,-0.28480716
