ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.15057519,-0.25206978,-0.24621014,-0.78511983,-0.26676076,0.52613507,1.34819163,0.50111495,-0.17442711
0.12284745,-0.20493644,-0.30701394,-0.74914814,-0.11876815,0.57368603,1.34557593,0.52782005,-0.16931550
0.11334348,-0.18326272,-0.37612217,-0.67602662,0.07663283,0.58780164,1.34750666,0.56012451,-0.15883652
0.11622819,-0.22119382,-0.42352547,-0.58223430,0.23690714,0.54481085,1.35648684,0.58725521,-0.14385069
0.12284353,-0.29869984,-0.44717807,-0.49314577,0.31763507,0.47064345,1.36982855,0.60959914,-0.12643072
0.16262080,-0.37610034,-0.45187561,-0.42302730,0.29791269,0.38407095,1.38374524,0.62842365,-0.10924342
0.22504546,-0.42718623,-0.44342259,-0.37263676,0.19676898,0.29567178,1.39457112,0.64518651,-0.09486413
0.26756140,-0.45249345,-0.43317122,-0.33603296,0.06709444,0.21167154,1.40019799,0.66098361,-0.08477145
0.27600871,-0.47253255,-0.43287767,-0.30634713,-0.03796726,0.13615613,1.40063259,0.67637476,-0.07887480
0.26537556,-0.48837709,-0.44140153,-0.27973691,-0.08590665,0.07471024,1.39753167,0.69146296,-0.07583146
0.28290536,-0.44882645,-0.46206776,-0.25751750,-0.07163585,0.03615316,1.39336045,0.70610318,-0.07369215
0.36627482,-0.33561432,-0.50141187,-0.24047089,-0.02937437,0.02851641,1.39012591,0.72005281,-0.07092499
0.48564290,-0.21368397,-0.54757848,-0.21809853,-0.01006138,0.04954969,1.38822082,0.73271746,-0.06747048
0.60166852,-0.14425807,-0.59079251,-0.16979408,-0.04423791,0.08172465,1.38637241,0.74274509,-0.06494575
0.71495939,-0.12486879,-0.63261472,-0.07699083,-0.13588653,0.10663734,1.38244278,0.74797306,-0.06601230
0.82538124,-0.07556909,-0.68299421,0.07124489,-0.25504138,0.12017721,1.37466045,0.74558137,-0.07324990
0.92776157,0.08521770,-0.77384987,0.27973347,-0.35594123,0.13015863,1.36273457,0.73216512,-0.08808476
1.01870695,0.33106054,-0.89826074,0.54331732,-0.41385206,0.15529115,1.34785826,0.70392430,-0.11053375
