ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.10025167,-0.31355373,-0.39549214,0.42076926,0.06898064,-0.00981442,-2.03290461,0.26776052,0.55656693
-0.12042897,-0.25804466,-0.37186605,0.45277192,0.03406518,-0.01885034,-2.03283240,0.24945516,0.55370830
-0.10425577,-0.20125269,-0.36090987,0.49659679,-0.01258255,-0.02908485,-2.03361792,0.22352402,0.55137184
-0.05462852,-0.16743074,-0.37927202,0.55514940,-0.05440063,-0.04695662,-2.03572952,0.19482845,0.55129547
-0.04963345,-0.10547533,-0.45415898,0.65606889,-0.06271985,-0.07530096,-2.03865363,0.16172969,0.55275542
-0.13826459,0.02402014,-0.61594048,0.83119232,-0.00117189,-0.09250886,-2.04081718,0.12140435,0.55353424
-0.29128569,0.17979254,-0.82564626,1.09330775,0.15566091,-0.06192065,-2.03971516,0.07079520,0.55039765
-0.45684347,0.33620556,-1.00767728,1.41684880,0.40499151,0.03558401,-2.03250443,0.00790973,0.54025258
-0.59872564,0.53563523,-1.09964974,1.74969358,0.68997351,0.17878864,-2.01729272,-0.06752518,0.52213194
-0.67155899,0.78466357,-1.07782165,2.05057929,0.92643073,0.30963121,-1.99438438,-0.15480673,0.49884463
-0.63138278,1.00896082,-0.98716872,2.32016701,1.03474325,0.37619343,-1.96653212,-0.25390374,0.47709986
-0.51840753,1.19577583,-0.83327130,2.58709913,0.98949864,0.38504583,-1.93821017,-0.36590330,0.46635002
-0.46307261,1.44293424,-0.58365793,2.85278695,0.89335458,0.38784298,-1.91291626,-0.49116526,0.47465239
-0.56205363,1.77937007,-0.31393490,3.06299294,0.90103538,0.42422912,-1.89025289,-0.62676796,0.50347580
-0.75276320,2.05980612,-0.09306295,3.14715039,1.02903193,0.48623033,-1.86718867,-0.76604597,0.54795107
-0.86797722,2.06487828,0.14988414,3.06957658,1.13349207,0.52717225,-1.84254531,-0.90097839,0.60262914
-0.77939606,1.65763483,0.48040007,2.83884129,1.09352003,0.47974590,-1.81842495,-1.02521632,0.66485030
-0.43020081,0.83964674,0.83599929,2.49313243,0.92717311,0.28233739,-1.79678263,-1.13599800,0.73249566
0.10520689,-0.21081418,1.10696591,2.08570368,0.74418100,-0.04190429,-1.77640834,-1.23391035,0.80111166
0.59613728,-1.08717275,1.23836640,1.66460984,0.63545445,-0.35888858,-1.75421399,-1.32010890,0.86399797
0.80079698,-1.37260810,1.26662208,1.24880226,0.60699853,-0.53902116,-1.72872370,-1.39365092,0.91446135
0.72351453,-1.04853488,1.27176430,0.83458865,0.64777959,-0.55870964,-1.70088898,-1.45175097,0.94701457
0.64136541,-0.54274310,1.26022028,0.42541185,0.78000421,-0.47479854,-1.67157771,-1.49193399,0.95654511
0.64360712,-0.26027048,1.20964751,0.03608221,0.98367378,-0.35736887,-1.64016969,-1.51347007,0.93908873
0.58795266,-0.25285442,1.15799536,-0.31533860,1.18268987,-0.24562856,-1.60583755,-1.51719620,0.89441898
0.50363339,-0.38332798,1.13060289,-0.62104808,1.30469020,-0.14601493,-1.56904898,-1.50450715,0.82671056
0.44715066,-0.52813959,1.14358560,-0.89298886,1.31810179,-0.06795309,-1.53146949,-1.47655436,0.74230505
0.37605618,-0.63160852,1.19076982,-1.14347015,1.22973409,-0.03093803,-1.49492048,-1.43418094,0.64725538
0.31324042,-0.71225983,1.20575179,-1.37500690,1.05656948,-0.03789622,-1.46109448,-1.37818522,0.54683835
0.26679390,-0.78873417,1.16941294,-1.58419132,0.83663071,-0.07246143,-1.43151529,-1.30935475,0.44550840
0.20442315,-0.82302841,1.10126384,-1.77083794,0.61737875,-0.11828364,-1.40703727,-1.22837333,0.34640390
0.13810123,-0.78097561,1.00590938,-1.94445364,0.41564406,-0.17452997,-1.38780955,-1.13566388,0.25146702
0.09532261,-0.68155470,0.88195882,-2.10789513,0.21397154,-0.25490322,-1.37394753,-1.03162760,0.16249782
0.06489149,-0.55915875,0.71967087,-2.23968459,-0.00190199,-0.36537825,-1.36607410,-0.91765451,0.08226348
-0.02288492,-0.42178246,0.52078032,-2.30491977,-0.20589945,-0.49424254,-1.36474937,-0.79709731,0.01409861
-0.21517555,-0.26701997,0.29112983,-2.27983665,-0.35022752,-0.62788227,-1.36929514,-0.67526464,-0.03977400
-0.48237264,-0.10943710,0.02222933,-2.16059486,-0.38949747,-0.75293081,-1.37726642,-0.55841461,-0.07959323
-0.74959031,0.05143510,-0.28103728,-1.96496803,-0.28966759,-0.83875434,-1.38459525,-0.45205576,-0.10852854
-0.90581958,0.23707021,-0.55576410,-1.73316813,-0.05746166,-0.84890814,-1.38649427,-0.35900541,-0.13192241
-0.86593645,0.42043845,-0.73122621,-1.51670461,0.23517987,-0.77471170,-1.37943605,-0.27841165,-0.15493887
-0.66064060,0.54149205,-0.78859133,-1.35644101,0.48258023,-0.64004273,-1.36311557,-0.20650634,-0.17998096
-0.39158899,0.57379494,-0.73938931,-1.26472314,0.62134707,-0.49237535,-1.34039822,-0.13856368,-0.20618196
-0.12414881,0.49505208,-0.64802284,-1.21657640,0.66028943,-0.39912729,-1.31505841,-0.07145260,-0.23120186
0.08694979,0.29469456,-0.61796009,-1.15568536,0.63352347,-0.40213989,-1.28997572,-0.00587723,-0.25301678
0.16968800,0.07913227,-0.65729875,-1.02975186,0.56592341,-0.46989630,-1.26710451,0.05370839,-0.27052023
0.13490384,0.00153665,-0.68258259,-0.83048893,0.47829734,-0.54101194,-1.24767703,0.10183299,-0.28369266
0.09960704,0.06676631,-0.66540989,-0.59273350,0.37610448,-0.58659153,-1.23234519,0.13487414,-0.29324363
0.15196216,0.16015288,-0.62710484,-0.36171289,0.24404838,-0.60541369,-1.22190870,0.15218054,-0.29958252
0.27835922,0.20169738,-0.57059784,-0.16706460,0.07813765,-0.59806717,-1.21759238,0.15558069,-0.30233548
0.39308020,0.20067072,-0.51851336,-0.04401168,-0.05753206,-0.57869713,-1.21780968,0.15208905,-0.30238165
