ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-2.41209224,-0.10285928,1.21452851,-0.29242085,-0.08999811,-0.05737533,1.28223147,-2.15455634,1.64391551
-2.24965442,-0.18496684,1.28181295,-0.42327293,-0.29871690,-0.23106552,1.28489239,-2.14399060,1.61646947
-2.02870682,-0.27548362,1.33636245,-0.59481847,-0.60279006,-0.46772875,1.28994159,-2.12365070,1.56551765
-1.82973225,-0.38916805,1.32569618,-0.76838713,-0.90683085,-0.72618469,1.29708282,-2.09319575,1.49311945
-1.64477544,-0.56979044,1.23256115,-0.95632509,-1.15248987,-0.99663478,1.30640042,-2.05113137,1.40003504
-1.46739847,-0.70782661,1.07065322,-1.16529749,-1.31494412,-1.25416347,1.31790925,-1.99574493,1.28778652
-1.29404716,-0.73267158,0.88495427,-1.38565346,-1.40063815,-1.48716795,1.33117943,-1.92541939,1.15863577
-1.10014901,-0.70860874,0.69759392,-1.59387108,-1.42420423,-1.68147506,1.34537820,-1.83917476,1.01624155
-0.91480503,-0.62283586,0.50899871,-1.76665309,-1.40707103,-1.82782533,1.35923752,-1.73722723,0.86573943
-0.78066443,-0.45095765,0.32891209,-1.88781274,-1.36214218,-1.93383372,1.37146438,-1.62098444,0.71303140
-0.69580508,-0.25740572,0.15487595,-1.94700063,-1.28676531,-2.00877069,1.38135156,-1.49294448,0.56431604
-0.64416648,-0.08784042,-0.01742613,-1.94834339,-1.18396428,-2.05839482,1.38887204,-1.35641262,0.42526532
-0.60055174,0.03794535,-0.15872414,-1.91549018,-1.08550981,-2.09584026,1.39409265,-1.21452130,0.29944209
-0.52207835,0.07082187,-0.21584911,-1.88189540,-1.06651048,-2.15802077,1.39586683,-1.06872832,0.18665542
-0.37856024,0.01806117,-0.18295985,-1.85344016,-1.16050171,-2.26437798,1.39116382,-0.91868465,0.08361775
-0.21925414,0.04792805,-0.19312911,-1.78179124,-1.27128537,-2.34110262,1.37725996,-0.76588602,-0.01133867
-0.10963703,0.30257286,-0.37727276,-1.62441240,-1.28993448,-2.28624364,1.35449335,-0.61698974,-0.09549375
-0.01038548,0.71017472,-0.65553563,-1.39955962,-1.19843237,-2.08036093,1.32588728,-0.48089162,-0.16532638
0.14475087,1.10933889,-0.90123475,-1.15242092,-1.00574864,-1.76052376,1.29583368,-0.36396229,-0.21956575
0.37322342,1.33448527,-1.09855292,-0.91888415,-0.73013471,-1.37819069,1.26941344,-0.26879270,-0.25849871
0.62787598,1.28351243,-1.22320720,-0.72211205,-0.42844327,-1.00837281,1.25059940,-0.19454042,-0.28355235
0.79180762,1.03715374,-1.22701682,-0.56976907,-0.16549541,-0.72101501,1.24069873,-0.13767179,-0.29731711
0.84182792,0.74307385,-1.12224912,-0.45352447,0.01394929,-0.52689886,1.23839885,-0.09384668,-0.30300595
0.86847059,0.45017303,-0.96313210,-0.35954809,0.08933395,-0.39538717,1.24051652,-0.05974489,-0.30404675
0.89386056,0.16419755,-0.79198097,-0.27958554,0.07457871,-0.30424420,1.24336302,-0.03328513,-0.30359473
0.88159637,-0.06732232,-0.63188920,-0.21193173,0.00706104,-0.23847063,1.24421805,-0.01303808,-0.30387535
0.82195644,-0.22563541,-0.49587874,-0.15764259,-0.08115925,-0.18962519,1.24173125,0.00218092,-0.30604042
0.73108653,-0.36412461,-0.39406144,-0.11350865,-0.16025040,-0.16095549,1.23570284,0.01350775,-0.31035900
0.63083518,-0.47601616,-0.35140254,-0.06944038,-0.19963659,-0.14244433,1.22715457,0.02158217,-0.31620147
