ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.07335155,-0.47819843,-0.21088528,0.43219689,-0.28812502,-0.07899550,-0.11936162,0.19442453,-0.68669554
0.13027830,-0.43337549,-0.14548095,0.46512499,-0.30126639,-0.03814154,-0.13077259,0.16731009,-0.68749745
0.15033994,-0.41251490,-0.06669319,0.43404945,-0.28617426,0.01571521,-0.14567657,0.13209140,-0.68808623
0.12318071,-0.44806944,-0.00996785,0.30532332,-0.22696832,0.05853986,-0.15880706,0.10292413,-0.68802673
0.09495503,-0.52598244,0.01807530,0.11971980,-0.12850696,0.08586475,-0.16831969,0.08555742,-0.68762888
0.06954937,-0.62088973,0.00878450,-0.06997925,0.00362389,0.10087487,-0.17257662,0.08218235,-0.68731806
0.03380462,-0.70021795,-0.02727678,-0.22643637,0.13795280,0.10789519,-0.17067288,0.09157562,-0.68730386
0.01198157,-0.74912575,-0.05020968,-0.33626491,0.22707276,0.11213659,-0.16358700,0.11073356,-0.68742818
0.02726575,-0.76887678,-0.04909215,-0.39614099,0.24782841,0.11414713,-0.15397853,0.13610760,-0.68732872
0.05495428,-0.75656023,-0.05480621,-0.40505059,0.20158199,0.10755093,-0.14496124,0.16395670,-0.68672218
0.07233999,-0.72333954,-0.08832945,-0.37217586,0.10003593,0.08654483,-0.13932290,0.19080412,-0.68553930
0.08550302,-0.68041499,-0.14231656,-0.32172738,-0.04554276,0.04786484,-0.13932357,0.21440048,-0.68383691
0.09157140,-0.63265192,-0.20771980,-0.28110994,-0.22236817,-0.02018282,-0.14678602,0.23445235,-0.68158837
0.08022075,-0.58432109,-0.31451147,-0.24915972,-0.40043762,-0.12245785,-0.16261387,0.25172825,-0.67866136
0.06441217,-0.48354861,-0.51830119,-0.18375892,-0.54113320,-0.23044842,-0.18604048,0.26533223,-0.67512071
0.05777136,-0.24890439,-0.82542500,-0.04599810,-0.62271031,-0.30084429,-0.21481053,0.27125284,-0.67146905
0.05434754,0.13053303,-1.17652506,0.16680873,-0.63721090,-0.30407621,-0.24587843,0.26411639,-0.66846922
0.05052576,0.58274178,-1.50849675,0.43939719,-0.56808445,-0.23318833,-0.27559192,0.23927504,-0.66678992
0.03990241,0.95509391,-1.77907463,0.74679537,-0.39009484,-0.10943209,-0.29941737,0.19356043,-0.66673486
0.01701095,1.10117754,-1.94979307,1.04440984,-0.09800845,0.03272472,-0.31225227,0.12621078,-0.66796037
-0.01356720,1.06574191,-1.97623549,1.28366043,0.26091061,0.16734304,-0.31011571,0.03981095,-0.66924804
-0.05107042,0.98253400,-1.82242563,1.44327076,0.61493143,0.28307471,-0.29196706,-0.06050055,-0.66867170
-0.09623778,0.88222209,-1.51393179,1.53604775,0.91849723,0.38154191,-0.25952113,-0.16937850,-0.66415597
-0.14883109,0.77958722,-1.12876718,1.58116964,1.15313416,0.46412306,-0.21589771,-0.28279857,-0.65395584
-0.23769846,0.67384725,-0.71505006,1.57538801,1.32375603,0.51250133,-0.16443528,-0.39732468,-0.63704117
-0.37781432,0.48246169,-0.28247379,1.50616956,1.43905401,0.49811321,-0.10771579,-0.50884441,-0.61354072
-0.48135128,0.18105702,0.16643522,1.38063102,1.46281647,0.42169924,-0.04848048,-0.61295863,-0.58475905
-0.46303536,-0.13870021,0.62179907,1.22591431,1.36442700,0.32277786,0.00895164,-0.70651185,-0.55266319
-0.36600297,-0.36835853,1.02359942,1.07144175,1.18080832,0.24713936,0.06018598,-0.78848478,-0.51927698
-0.27598289,-0.44818081,1.31582846,0.93034662,0.95448057,0.21217400,0.10245970,-0.85954023,-0.48627708
-0.21535493,-0.41803591,1.52039747,0.79270540,0.70560908,0.20593034,0.13426116,-0.92054501,-0.45513586
-0.16533658,-0.38127048,1.67191415,0.63773048,0.46233148,0.21160772,0.15518275,-0.97124090,-0.42757259
-0.11403713,-0.39278229,1.77078577,0.45397859,0.25366661,0.21427436,0.16624348,-1.01018640,-0.40558450
-0.05377575,-0.44416630,1.81357837,0.25447272,0.08756414,0.20278217,0.16944495,-1.03596233,-0.39081891
