ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.33605313,-0.08274314,1.08150841,-0.41681951,-0.19937700,0.08129344,0.35364358,-2.18249218,0.89545266
-0.25207791,-0.24082008,1.01961324,-0.60627879,-0.27217893,-0.00326094,0.34909714,-2.16568459,0.86195812
-0.13529558,-0.41269410,0.94329995,-0.83848995,-0.39281419,-0.11661028,0.34331034,-2.13582943,0.80488409
-0.02965317,-0.51239387,0.86265171,-1.03590674,-0.53309829,-0.21969337,0.33710850,-2.09524519,0.73130568
0.02513088,-0.54861833,0.76336301,-1.19638775,-0.68183162,-0.31743643,0.32933427,-2.04472889,0.64484700
0.02003681,-0.58148397,0.64666984,-1.32287008,-0.82753718,-0.43470470,0.31950648,-1.98505856,0.54914017
-0.03936003,-0.62753538,0.50852350,-1.41912296,-0.93581570,-0.57970459,0.30830606,-1.91696070,0.44763261
-0.15638839,-0.63147202,0.34110496,-1.48942148,-0.96075239,-0.72987771,0.29747815,-1.84127164,0.34363763
-0.29759422,-0.55264876,0.14590450,-1.54299048,-0.87046179,-0.84990801,0.28942588,-1.75883922,0.24002894
-0.38718007,-0.41609983,-0.05144855,-1.59989461,-0.68731016,-0.92075046,0.28642686,-1.66997111,0.13856490
-0.36433958,-0.32022031,-0.17741872,-1.68262650,-0.48573995,-0.94574099,0.28927876,-1.57376256,0.03935561
-0.22522450,-0.33632528,-0.18236257,-1.79558990,-0.33003943,-0.93174289,0.29664944,-1.46835050,-0.05842659
-0.02820248,-0.40727107,-0.10041406,-1.92629044,-0.25936456,-0.90043458,0.30562894,-1.35196674,-0.15514312
0.14554287,-0.44976519,0.00366226,-2.04666680,-0.28741710,-0.90211098,0.31278906,-1.22386239,-0.24991838
0.21142468,-0.44450712,0.04207849,-2.10365635,-0.37301646,-0.98003977,0.31579820,-1.08581175,-0.33998876
0.09718400,-0.36358198,-0.08459031,-2.03890471,-0.42597483,-1.12073394,0.31496612,-0.94376727,-0.42066180
-0.15649523,-0.15278453,-0.40717566,-1.82602877,-0.35458515,-1.24418120,0.31364814,-0.80757495,-0.48696887
-0.39740742,0.17723092,-0.83397248,-1.49942988,-0.13183866,-1.26844555,0.31711213,-0.68778494,-0.53603180
-0.47193651,0.48180014,-1.18548307,-1.14523189,0.18653600,-1.17283206,0.33005568,-0.59092713,-0.56835679
-0.30128367,0.61022876,-1.33625062,-0.84715456,0.50325305,-0.98568845,0.35429684,-0.51706861,-0.58707420
0.04058071,0.56587477,-1.27957759,-0.64615159,0.71531344,-0.75738967,0.38766934,-0.46136771,-0.59625130
0.37834787,0.40793181,-1.06776029,-0.53844762,0.76177362,-0.55279994,0.42452202,-0.41724371,-0.59986122
0.60820151,0.15261540,-0.80181418,-0.48196182,0.66688767,-0.42839822,0.45857477,-0.37935073,-0.60111425
0.68824517,-0.14681634,-0.60735413,-0.42046195,0.51407682,-0.40076250,0.48612267,-0.34567184,-0.60179628
0.59327413,-0.36891373,-0.55677227,-0.32033991,0.40442425,-0.43958701,0.50743634,-0.31742492,-0.60208756
