ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.46594295,-0.61429098,-0.40255442,0.23196361,-0.63159141,0.18723734,0.97550369,-0.06588847,-0.45891451
0.45375227,-0.61847215,-0.38881314,0.20158987,-0.65273653,0.14929433,0.95375744,-0.07880253,-0.46877630
0.40439360,-0.57044948,-0.42842246,0.19268306,-0.66310761,0.09419037,0.92429837,-0.09481379,-0.48181019
0.32629269,-0.42412217,-0.53962937,0.22452364,-0.65109015,0.04876948,0.89485618,-0.11099449,-0.49418871
0.25876121,-0.18465616,-0.68244235,0.29195557,-0.59792882,0.03040960,0.86665367,-0.13021681,-0.50511349
0.21842327,0.10198422,-0.86612823,0.39750089,-0.44624455,0.06036045,0.84263049,-0.15554070,-0.51298959
0.21493378,0.39853361,-1.08638548,0.52892864,-0.19616034,0.14860378,0.82712590,-0.18992782,-0.51555162
0.23112169,0.66117983,-1.24686562,0.67550368,0.10935742,0.28321805,0.82312744,-0.23530357,-0.51097372
0.25515998,0.83912169,-1.30752155,0.83653558,0.44677725,0.45983742,0.83209479,-0.29315150,-0.49761835
0.26723597,0.94182188,-1.26092806,0.99448412,0.75100888,0.66634551,0.85348810,-0.36427269,-0.47417563
0.24470326,0.98826017,-1.06504167,1.13415750,0.95327593,0.86513681,0.88349919,-0.44785386,-0.44057896
0.18898901,0.95014066,-0.75476365,1.25611080,1.02416125,1.02035517,0.91649243,-0.54207058,-0.39780697
0.08932872,0.81910185,-0.39045964,1.36541955,0.95704773,1.12181167,0.94650284,-0.64493304,-0.34751053
-0.03851020,0.62930485,-0.02188425,1.45894807,0.79369397,1.17833338,0.96861486,-0.75451243,-0.29143556
-0.19335446,0.38194964,0.30825966,1.51147780,0.58338272,1.17496589,0.98047596,-0.86791217,-0.23113703
-0.36465717,0.02853710,0.62773802,1.49622302,0.32361961,1.07887982,0.98163332,-0.98012182,-0.16911835
-0.51441127,-0.41260701,0.97041558,1.40384406,0.00802571,0.89252620,0.97206332,-1.08503169,-0.10956489
