ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.02572096,0.14690597,-0.69428827,1.93137727,-0.31481983,0.09676820,0.38291639,-1.15044846,-0.28899876
0.22608937,0.04842882,-0.59523573,1.96075059,-0.63226503,-0.08737953,0.36644542,-1.24510366,-0.22528212
0.53194238,0.14870053,-0.60883205,1.94926642,-0.89005281,-0.29412062,0.34073985,-1.36804510,-0.13590798
0.68361081,0.39811072,-0.75603848,1.89511123,-1.05261880,-0.42965658,0.31240575,-1.48432313,-0.04110341
0.74130702,0.53987669,-0.82950528,1.86307615,-1.25261034,-0.50714285,0.28206398,-1.59363754,0.05843357
0.83327866,0.50356179,-0.79795697,1.89414974,-1.49147759,-0.57012112,0.24802878,-1.69876631,0.16484582
0.87126512,0.39020646,-0.74423580,1.97463001,-1.70049657,-0.64298188,0.21101211,-1.80270364,0.28207540
0.77088047,0.31633729,-0.67473230,2.06491524,-1.81774306,-0.72184638,0.17440237,-1.90632244,0.41307507
0.58469645,0.28171478,-0.56244346,2.13513058,-1.84481849,-0.78988374,0.14207116,-2.00834317,0.55838388
0.38851249,0.24573735,-0.38588526,2.17197871,-1.80634948,-0.82386460,0.11627448,-2.10648527,0.71638201
0.24994730,0.23396595,-0.17076334,2.17287034,-1.70780633,-0.81871670,0.09770339,-2.19841670,0.88414425
0.21421039,0.24812730,0.03536716,2.14247237,-1.55846199,-0.78653853,0.08645302,-2.28227777,1.05826048
0.19308524,0.26450192,0.21553334,2.08591476,-1.37652293,-0.72631233,0.08191670,-2.35689466,1.23536765
0.14735329,0.31018152,0.36906854,1.99723860,-1.17670290,-0.63907106,0.08261382,-2.42159847,1.41186474
0.15746988,0.39319934,0.49695333,1.86809749,-0.97956477,-0.55133104,0.08702732,-2.47598390,1.58332037
0.24714787,0.46589950,0.62372023,1.70231076,-0.80735134,-0.47872523,0.09412265,-2.52010519,1.74505542
0.32858830,0.48838298,0.77969248,1.49120131,-0.66664603,-0.40300265,0.10269860,-2.55452686,1.89230017
0.32361186,0.45530297,0.94328469,1.21160463,-0.55577444,-0.31721762,0.11116994,-2.57992801,2.01871129
0.27930216,0.37877923,1.08221286,0.87149556,-0.47811502,-0.24284288,0.11850755,-2.59712801,2.11717106
0.26765844,0.28201038,1.20414962,0.50847414,-0.42497106,-0.18890424,0.12458859,-2.60734201,2.18304121
0.27971091,0.19788216,1.28874844,0.15346194,-0.35607335,-0.13721251,0.12948122,-2.61189226,2.21529604
0.29462947,0.14352369,1.28792410,-0.17303989,-0.23114456,-0.06549244,0.13287435,-2.61178721,2.21560420
0.31168583,0.11949854,1.20728966,-0.45479960,-0.04503076,0.03527537,0.13414711,-2.60763750,2.18760223
0.34915278,0.12762221,1.08818886,-0.68623826,0.19192736,0.16850060,0.13265368,-2.59974403,2.13612825
0.45073719,0.14105335,0.95185324,-0.87711538,0.45099827,0.33015781,0.12782448,-2.58813256,2.06583206
0.60227428,0.09397612,0.82087673,-1.04940276,0.68258900,0.49523400,0.11951644,-2.57244321,1.97971261
0.72804401,-0.01265904,0.71511648,-1.22586335,0.85374744,0.64283958,0.10824179,-2.55177801,1.87851587
0.77791434,-0.11723250,0.62589134,-1.41321437,0.96157283,0.77317294,0.09465645,-2.52476590,1.76165927
0.75318992,-0.21934734,0.54021604,-1.60122843,1.01889737,0.88681708,0.07932395,-2.48987863,1.62903802
0.70601316,-0.31591688,0.45572948,-1.77821708,1.03096666,0.97608628,0.06290223,-2.44570449,1.48191138
0.68697386,-0.36442692,0.37808868,-1.93935778,0.99174854,1.02943398,0.04612758,-2.39103576,1.32256430
0.67307470,-0.36210396,0.31344729,-2.08782022,0.91406919,1.04354790,0.02975783,-2.32479894,1.15361030
0.60473947,-0.31790739,0.24420900,-2.22876221,0.85109415,1.04057060,0.01467232,-2.24591509,0.97747643
0.50130445,-0.20334620,0.12637068,-2.35372359,0.84766418,1.05273224,0.00192109,-2.15354314,0.79684281
0.43464730,-0.04192048,-0.04392886,-2.43329844,0.87454009,1.08253349,-0.00771031,-2.04801315,0.61594544
0.41485032,0.05904125,-0.20606313,-2.43703990,0.86342094,1.09920802,-0.01427319,-1.93174935,0.44098379
0.41539236,0.07339019,-0.31590365,-2.35359458,0.77059809,1.07471557,-0.01882706,-1.80919558,0.27867417
0.40065906,0.09058630,-0.36186318,-2.18825850,0.58908070,1.00563546,-0.02346055,-1.68602982,0.13450385
0.34157882,0.14340060,-0.34094626,-1.97046471,0.36088878,0.89998280,-0.03048300,-1.56782162,0.01150284
