ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.17367347,-0.68309050,-0.18314113,-0.02351293,-0.14794743,0.16543972,-0.43965651,-0.72239164,-0.49541333
0.18505353,-0.75033999,-0.17974968,-0.05490658,-0.19200702,0.15074145,-0.44735718,-0.72065395,-0.49427307
0.17120632,-0.84624128,-0.20059721,-0.09741738,-0.25045891,0.10542710,-0.45904620,-0.71650423,-0.49308397
0.07172443,-0.93312372,-0.28900783,-0.13748011,-0.29374467,0.02916914,-0.47225429,-0.70992217,-0.49238863
-0.09389021,-0.94997566,-0.45705960,-0.17205315,-0.31278714,-0.05059037,-0.48589766,-0.70134013,-0.49224654
-0.23383453,-0.86376900,-0.67702257,-0.19064382,-0.29975377,-0.10647488,-0.49895661,-0.69137756,-0.49265593
-0.33441425,-0.71997819,-0.93830711,-0.16733315,-0.21639382,-0.13253095,-0.50969881,-0.68177284,-0.49343031
-0.42811789,-0.55671101,-1.26296475,-0.06543587,-0.00443814,-0.13748789,-0.51411703,-0.67646150,-0.49423755
-0.50588456,-0.37896845,-1.64591611,0.14339970,0.34617129,-0.13079073,-0.50644133,-0.68177962,-0.49426774
-0.59227498,-0.17440297,-2.00889406,0.46430732,0.77989771,-0.11106291,-0.48194306,-0.70525941,-0.49146328
-0.70524631,0.10839539,-2.25747637,0.87108384,1.22768237,-0.05458780,-0.43885547,-0.75359479,-0.48206595
-0.75109883,0.50471573,-2.30978937,1.29774990,1.60932747,0.06687375,-0.37916396,-0.82996835,-0.46110710
-0.65067497,0.92476310,-2.09168181,1.66555168,1.83848451,0.23973004,-0.30902178,-0.93213208,-0.42381792
-0.50212258,1.17851189,-1.61998922,1.92505574,1.88061986,0.40101056,-0.23704672,-1.05333786,-0.36733800
-0.43842758,1.14872204,-1.01104257,2.06750694,1.76001276,0.47719761,-0.17082202,-1.18509243,-0.29171175
-0.41214367,0.87670443,-0.37909328,2.10923156,1.52183592,0.43021379,-0.11461205,-1.31947455,-0.19958642
-0.32978675,0.50418314,0.20096518,2.06731841,1.22474029,0.29058416,-0.06938992,-1.45002412,-0.09533834
-0.21533140,0.19310728,0.68482957,1.94557424,0.92728440,0.13675871,-0.03416834,-1.57143932,0.01532323
-0.11211889,0.05084808,1.07271316,1.74383455,0.66602381,0.02427923,-0.00743430,-1.67918140,0.12546617
-0.01849267,0.05896756,1.37879175,1.47254004,0.46662261,-0.03579485,0.01245140,-1.76979668,0.22767707
0.06012284,0.14338552,1.60165752,1.14629567,0.34271826,-0.04254402,0.02723526,-1.84124182,0.31509928
0.11367283,0.28688575,1.75782959,0.77876450,0.27537405,-0.00125108,0.03815697,-1.89253954,0.38196227
0.16358629,0.43424726,1.88505098,0.39172355,0.22987614,0.06336493,0.04563089,-1.92350753,0.42414194
0.21391829,0.49300127,1.98883339,0.01959822,0.18370910,0.11826562,0.04985071,-1.93496719,0.44015702
0.22783804,0.49957992,2.04494584,-0.30508513,0.11205399,0.14654918,0.05106948,-1.92890493,0.43172677
0.20101697,0.53586552,2.06314269,-0.57734719,-0.02311766,0.15560215,0.04864273,-1.90778430,0.40258632
0.18050052,0.56900750,2.06375304,-0.81783946,-0.23750493,0.15836031,0.04055740,-1.87329349,0.35628345
0.18969181,0.54734467,2.02729358,-1.05066392,-0.51349170,0.16540646,0.02431317,-1.82574156,0.29515459
0.20223144,0.50684441,1.93281904,-1.29119773,-0.82918656,0.19343389,-0.00253694,-1.76420477,0.22068279
0.18544463,0.50095494,1.77436759,-1.53614164,-1.15735650,0.25028922,-0.04219901,-1.68718331,0.13458022
0.07707531,0.55078389,1.52490536,-1.75367712,-1.44104803,0.31216886,-0.09530672,-1.59403604,0.04031026
-0.19068343,0.65656908,1.15395759,-1.89654172,-1.60137896,0.33668006,-0.15901221,-1.48668162,-0.05622778
-0.56228397,0.75249298,0.67363905,-1.93232133,-1.57362107,0.29908418,-0.22655961,-1.37017790,-0.14811599
-0.89403666,0.75068335,0.13211453,-1.85816389,-1.34721169,0.21492591,-0.28910504,-1.25163965,-0.22995149
-1.09477755,0.68090574,-0.38637645,-1.70186307,-0.99198144,0.13373683,-0.33924680,-1.13805218,-0.29936051
-1.11335811,0.61805515,-0.76354000,-1.51769368,-0.62662531,0.10080328,-0.37419304,-1.03381530,-0.35682972
-0.93144285,0.55119589,-0.92438345,-1.36409756,-0.35252175,0.12022938,-0.39613634,-0.93928140,-0.40457745
-0.62455965,0.43891077,-0.90033048,-1.26622602,-0.21326793,0.15621453,-0.41009217,-0.85170640,-0.44510535
-0.31346651,0.26063897,-0.80900689,-1.19419426,-0.18844419,0.15774945,-0.42108744,-0.76854542,-0.47984583
-0.13644927,0.03900383,-0.79762963,-1.08627613,-0.21134159,0.09452906,-0.43190455,-0.69074389,-0.50871275
-0.18036100,-0.13018464,-0.91599401,-0.90770570,-0.22041023,-0.01808702,-0.44256240,-0.62288595,-0.53095483
