ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.10043138,-0.94177160,0.03094065,-0.10341716,-0.09311950,0.16856594,-0.36773949,-0.66117473,-0.53400172
0.10524512,-0.94922535,-0.00283908,-0.11970870,-0.11737253,0.16658479,-0.37326715,-0.65574140,-0.53486402
0.04156286,-0.85937682,-0.05663654,-0.13159584,-0.16172886,0.16768173,-0.38178439,-0.64792994,-0.53594300
-0.04604398,-0.71335767,-0.10767689,-0.14432160,-0.23956564,0.17299071,-0.39291193,-0.63932215,-0.53668629
-0.07228378,-0.60930675,-0.15467692,-0.17588105,-0.37240591,0.16907297,-0.40858119,-0.62916847,-0.53687279
-0.07799342,-0.55050082,-0.25101994,-0.21210927,-0.52935316,0.13063003,-0.43050762,-0.61656481,-0.53628845
-0.15207749,-0.48201281,-0.51105253,-0.18202783,-0.57502962,0.05368489,-0.45671190,-0.60368938,-0.53448749
-0.28609850,-0.34993060,-1.04333602,0.01861074,-0.33258756,-0.01602145,-0.47830833,-0.59898257,-0.53080386
-0.42479210,-0.04025321,-1.81945089,0.43731361,0.26168923,0.01971348,-0.48146797,-0.61608294,-0.52414882
-0.56053530,0.64138190,-2.54968071,0.98753067,1.03599956,0.26052205,-0.45592166,-0.66651046,-0.51198166
-0.62378529,1.60901845,-2.85540253,1.49997379,1.74306815,0.70963581,-0.40260340,-0.75201231,-0.48979109
-0.52080704,2.34883143,-2.69875598,1.83927450,2.34287501,1.26043807,-0.32956613,-0.86400169,-0.45357290
-0.44695233,2.55661338,-2.32763673,1.95840749,2.89756474,1.76911483,-0.24303665,-0.98876079,-0.40288750
-0.72412878,2.38939951,-1.85689564,1.90262731,3.35029992,2.09154351,-0.14681774,-1.11370015,-0.34017880
-1.28762003,1.90471704,-1.25686522,1.77362192,3.56979410,2.12035284,-0.04566570,-1.23179042,-0.26778593
-1.71557978,1.05656311,-0.54421173,1.65755448,3.44522107,1.87342674,0.05339972,-1.34180018,-0.18658361
-1.71569545,0.10980391,0.19404603,1.58587119,2.97142690,1.49870020,0.14115067,-1.44517093,-0.09722012
-1.40360153,-0.54925476,0.81239683,1.54385194,2.33659462,1.15617344,0.20999174,-1.54319036,-0.00150353
-1.07961100,-0.72759774,1.16319716,1.49091422,1.80172270,0.93651465,0.25906859,-1.63571006,0.09762850
-0.93139678,-0.46448425,1.24959579,1.39477806,1.49427485,0.85197126,0.29320839,-1.72109194,0.19661134
-0.97609854,-0.03810945,1.21021281,1.25454867,1.40326076,0.85176376,0.31860961,-1.79739434,0.29199580
-1.13908920,0.25710931,1.15038012,1.08759393,1.45331224,0.86892421,0.34062107,-1.86346580,0.38115948
-1.36252747,0.36399233,1.11735934,0.91573411,1.54715053,0.86129404,0.36261702,-1.91917212,0.46247191
-1.59090885,0.36532632,1.12598057,0.76170615,1.62046100,0.81809980,0.38590529,-1.96538080,0.53550773
-1.75556094,0.34247102,1.15344496,0.63751856,1.65778619,0.74980260,0.41069779,-2.00371837,0.60114255
-1.84361376,0.35881382,1.18230046,0.53537303,1.63889217,0.67039984,0.43648435,-2.03578631,0.66049176
-1.86787946,0.41514187,1.23574043,0.43588069,1.51239879,0.58654277,0.46149010,-2.06240804,0.71329871
-1.79433939,0.43240497,1.34341021,0.31612116,1.25404614,0.49985968,0.48283819,-2.08341143,0.75722339
-1.58110005,0.34849699,1.47712095,0.15189171,0.89847511,0.41444119,0.49789131,-2.09759216,0.78802537
-1.26627237,0.18490406,1.56713047,-0.07026662,0.50100421,0.33403300,0.50520800,-2.10289807,0.80042875
-0.95829919,-0.01616023,1.57053246,-0.33883826,0.09898873,0.24622814,0.50454732,-2.09707166,0.78980946
-0.73816124,-0.23433019,1.48755252,-0.62284028,-0.28918930,0.13359096,0.49656187,-2.07840439,0.75401753
-0.61301197,-0.41586536,1.33997334,-0.89869857,-0.64787244,0.00312759,0.48215120,-2.04600370,0.69383445
-0.55897483,-0.48733787,1.15168984,-1.16164592,-0.96266435,-0.13021819,0.46184642,-1.99932807,0.61174763
-0.56566858,-0.43455205,0.93423331,-1.40056722,-1.21793710,-0.27054783,0.43614962,-1.93795393,0.51125156
-0.60191225,-0.29221162,0.66816223,-1.58213736,-1.36771164,-0.40438021,0.40642264,-1.86256307,0.39788943
-0.61105551,-0.07388590,0.32131284,-1.67551582,-1.37413778,-0.47883582,0.37487358,-1.77611308,0.27964215
-0.58614484,0.23615660,-0.05867287,-1.67775682,-1.27801873,-0.45692981,0.34308021,-1.68342667,0.16472061
-0.55486096,0.59789043,-0.35985810,-1.60987395,-1.13974246,-0.34857979,0.31125581,-1.58955560,0.05900369
-0.49337532,0.87749326,-0.54374525,-1.50153860,-0.99431147,-0.20142348,0.27935582,-1.49841711,-0.03461533
-0.38350925,0.92298110,-0.63499073,-1.37455009,-0.88649207,-0.10114531,0.24766369,-1.41231480,-0.11563826
-0.26283359,0.63673514,-0.68377750,-1.22848831,-0.81966465,-0.12586434,0.21707560,-1.33270985,-0.18457573
-0.14165116,0.09704855,-0.77257976,-1.06190189,-0.73423785,-0.27569134,0.19018635,-1.26122743,-0.24173412
-0.04128611,-0.39082527,-0.90250559,-0.90169884,-0.61405077,-0.48534523,0.17015421,-1.19881298,-0.28788603
0.01328523,-0.59728831,-0.99495216,-0.77438011,-0.48397793,-0.67993346,0.15819256,-1.14458342,-0.32507841
0.09801030,-0.56827809,-1.02842889,-0.68063772,-0.33962095,-0.80152282,0.15390189,-1.09673804,-0.35565217
0.27760251,-0.42635385,-1.01326164,-0.61925466,-0.17190956,-0.82122345,0.15658373,-1.05349170,-0.38145354
0.50750124,-0.24705707,-0.95331851,-0.59586194,0.01930859,-0.73813646,0.16561317,-1.01277666,-0.40409702
0.69054863,-0.08071327,-0.87328498,-0.60847201,0.20804587,-0.57802920,0.18027016,-0.97228257,-0.42503277
0.76924060,0.02922880,-0.81043068,-0.63266088,0.32792917,-0.43368204,0.19372457,-0.94132339,-0.44027791
